region	region_group	order
#regions_to_region_groups_junctions_tables;0;db/regions_to_region_groups_junctions_tables/ovn_araby_only		
wh3_main_combi_region_el_kalabad	ovn_combi_jellabas_way_el_kalabad-sudenburg	1
wh3_main_combi_region_sudenburg	ovn_combi_jellabas_way_el_kalabad-sudenburg	2
wh3_main_combi_region_sudenburg	ovn_combi_jellabas_way_sudenburg-ka_sabar	1
wh3_main_combi_region_ka_sabar	ovn_combi_jellabas_way_sudenburg-ka_sabar	2
wh3_main_combi_region_ka_sabar	ovn_combi_jellabas_way_ka_sabar-oreons_camp	1
wh3_main_combi_region_oreons_camp	ovn_combi_jellabas_way_ka_sabar-oreons_camp	2
wh3_main_combi_region_oreons_camp	ovn_combi_jellabas_way_oreons_camp-teotiqua	1
wh3_main_combi_region_teotiqua	ovn_combi_jellabas_way_oreons_camp-teotiqua	2
wh3_main_combi_region_teotiqua	ovn_combi_jellabas_way_teotiqua-tor_surpindar	1
wh3_main_combi_region_tor_surpindar	ovn_combi_jellabas_way_teotiqua-tor_surpindar	2
wh3_main_combi_region_teotiqua	ovn_combi_jellabas_way_teotiqua-temple_of_skulls	1
wh3_main_combi_region_temple_of_skulls	ovn_combi_jellabas_way_teotiqua-temple_of_skulls	2
wh3_main_combi_region_oreons_camp	ovn_combi_jellabas_way_oreons_camp-karak_zorn	1
wh3_main_combi_region_karak_zorn	ovn_combi_jellabas_way_oreons_camp-karak_zorn	2
wh3_main_combi_region_sudenburg	ovn_combi_jellabas_way_sudenburg-tlaqua	1
wh3_main_combi_region_tlaqua	ovn_combi_jellabas_way_sudenburg-tlaqua	2
wh3_main_combi_region_tlaqua	ovn_combi_jellabas_way_tlaqua-zlatlan	1
wh3_main_combi_region_zlatlan	ovn_combi_jellabas_way_tlaqua-zlatlan	2
wh3_main_combi_region_zlatlan	ovn_combi_jellabas_way_zlatlan-tor_surpindar	1
wh3_main_combi_region_tor_surpindar	ovn_combi_jellabas_way_zlatlan-tor_surpindar	2
wh3_main_combi_region_el_kalabad	ovn_combi_jellabas_way_el_kalabad-khemri	1
wh3_main_combi_region_khemri	ovn_combi_jellabas_way_el_kalabad-khemri	2
wh3_main_combi_region_khemri	ovn_combi_jellabas_way_khemri-karag_orrud	1
wh3_main_combi_region_karag_orrud	ovn_combi_jellabas_way_khemri-karag_orrud	2
wh3_main_combi_region_karag_orrud	ovn_combi_jellabas_way_karag_orrud-lahmia	1
wh3_main_combi_region_lahmia	ovn_combi_jellabas_way_karag_orrud-lahmia	2
wh3_main_combi_region_lahmia	ovn_combi_jellabas_way_lahmia-rasetra	1
wh3_main_combi_region_rasetra	ovn_combi_jellabas_way_lahmia-rasetra	2
wh3_main_combi_region_rasetra	ovn_combi_jellabas_way_rasetra-temple_of_skulls	1
wh3_main_combi_region_temple_of_skulls	ovn_combi_jellabas_way_rasetra-temple_of_skulls	2
wh3_main_combi_region_khemri	ovn_combi_jellabas_way_khemri-agrul_migdhal	1
wh3_main_combi_region_agrul_migdhal	ovn_combi_jellabas_way_khemri-agrul_migdhal	2
wh3_main_combi_region_agrul_migdhal	ovn_combi_jellabas_way_agrul_migdhal-galbaraz	1
wh3_main_combi_region_galbaraz	ovn_combi_jellabas_way_agrul_migdhal-galbaraz	2
