ancillary	agent
#ancillary_to_included_agents_tables;0;db/ancillary_to_included_agents_tables/ovn_araby_only	
ovn_anc_mount_arb_magician_life_magic_carpet	wizard
ovn_anc_mount_arb_magician_life_djinn_vessel	wizard
ovn_anc_mount_arb_magician_desert_magic_carpet	wizard
ovn_anc_mount_arb_magician_desert_djinn_vessel	wizard
ovn_anc_mount_arb_magician_fire_magic_carpet	wizard
ovn_anc_mount_arb_magician_fire_djinn_vessel	wizard
ovn_anc_mount_arb_magician_heavens_magic_carpet	wizard
ovn_anc_mount_arb_magician_heavens_djinn_vessel	wizard
Serpent_Staff	general
Black_Book_Of_Ibn_Naggazar	general
roy_anc_mount_arb_nomad_horse	spy
roy_anc_mount_arb_champion_horse	champion
roy_anc_mount_arb_champion_warhorse	champion
roy_anc_mount_arb_champion_elephant	champion
roy_anc_mount_arb_lord_horse	general
roy_anc_mount_arb_nomad_assassin	spy
roy_anc_mount_arb_nomad_horse_jezzail	spy
sword	general
Helm	general
Talisman	general
Mount	general
Mount_Elephant	general
rattlesnake_staff	general
arb_fatandira_warhorse	general
arb_fatandira_roc	general
arb_golden_magus_camel_mount	general
arb_golden_magus_djinnskiff_mount	general
wh_main_anc_mount_arb_vizier_fire_camel	general
wh_main_anc_mount_arb_vizier_fire_carpet	general
wh_main_anc_mount_arb_vizier_life_camel	general
wh_main_anc_mount_arb_vizier_life_carpet	general
wh_main_anc_mount_arb_vizier_heavens_camel	general
wh_main_anc_mount_arb_vizier_heavens_carpet	general
wh_main_anc_mount_arb_vizier_desert_camel	general
wh_main_anc_mount_arb_vizier_desert_carpet	general
