battle_personality	land_unit	attach	riders_attachment_point
#land_units_to_battle_personalities_junctions_tables;0;db/land_units_to_battle_personalities_junctions_tables/ovn_araby_only			
ovn_arb_elephant_cannon	ovn_arb_mon_war_elephant_ror_2	autonomous_rider	ap_crewposition_0
ovn_arb_elephant_cannon_rider1	ovn_arb_mon_war_elephant_ror_2	autonomous_rider	ap_crewposition_1
ovn_arb_elephant_cannon_rider2	ovn_arb_mon_war_elephant_ror_2	autonomous_rider	ap_crewposition_2
ovn_arb_cha_magician_fire_camel	ovn_arb_cha_magician_life_1	autonomous_rider	ap_riderposition_0
ovn_arb_cha_magician_life_camel	ovn_arb_cha_magician_fire_1	autonomous_rider	ap_riderposition_0
ovn_arb_cha_magician_desert_camel	ovn_arb_cha_magician_desert_1	autonomous_rider	ap_riderposition_0
ovn_arb_cha_magician_heavens_camel	ovn_arb_cha_magician_heavens_1	autonomous_rider	ap_riderposition_0
ovn_arb_cha_golden_magus_camel	ovn_arb_cha_golden_magus_1	autonomous_rider	ap_crewposition_0
ovn_arb_cha_sultan_jaffar_camel	ovn_arb_cha_sultan_jaffar_1	autonomous_rider	ap_crewposition_0
ovn_arb_cha_vizier_life_djinncarriage	ovn_arb_cha_vizier_life_3	autonomous_rider	ap_crewposition_0
ovn_arb_djinn_carriage_rider_1	ovn_arb_cha_vizier_life_3	autonomous_rider	ap_crewposition_1
ovn_arb_djinn_carriage_rider_2	ovn_arb_cha_vizier_life_3	autonomous_rider	ap_crewposition_2
ovn_arb_djinn_carriage_rider_dummy	ovn_arb_cha_vizier_life_3	autonomous_rider	ap_crewposition_3
ovn_arb_cha_vizier_desert_djinncarriage	ovn_arb_cha_vizier_desert_3	autonomous_rider	ap_crewposition_0
ovn_arb_djinn_carriage_rider_1	ovn_arb_cha_vizier_desert_3	autonomous_rider	ap_crewposition_1
ovn_arb_djinn_carriage_rider_2	ovn_arb_cha_vizier_desert_3	autonomous_rider	ap_crewposition_2
ovn_arb_djinn_carriage_rider_dummy	ovn_arb_cha_vizier_desert_3	autonomous_rider	ap_crewposition_3
ovn_arb_cha_vizier_fire_djinncarriage	ovn_arb_cha_vizier_fire_3	autonomous_rider	ap_crewposition_0
ovn_arb_djinn_carriage_rider_1	ovn_arb_cha_vizier_fire_3	autonomous_rider	ap_crewposition_1
ovn_arb_djinn_carriage_rider_2	ovn_arb_cha_vizier_fire_3	autonomous_rider	ap_crewposition_2
ovn_arb_djinn_carriage_rider_dummy	ovn_arb_cha_vizier_fire_3	autonomous_rider	ap_crewposition_3
ovn_arb_cha_vizier_heavens_djinncarriage	ovn_arb_cha_vizier_heavens_3	autonomous_rider	ap_crewposition_0
ovn_arb_djinn_carriage_rider_1	ovn_arb_cha_vizier_heavens_3	autonomous_rider	ap_crewposition_1
ovn_arb_djinn_carriage_rider_2	ovn_arb_cha_vizier_heavens_3	autonomous_rider	ap_crewposition_2
ovn_arb_djinn_carriage_rider_dummy	ovn_arb_cha_vizier_heavens_3	autonomous_rider	ap_crewposition_3
ovn_arb_cha_magician_life_rider	ovn_arb_cha_magician_life_2	autonomous_rider	ap_riderposition_0
ovn_arb_cha_magician_desert_rider	ovn_arb_cha_magician_desert_2	autonomous_rider	ap_riderposition_0
ovn_arb_cha_magician_fire_rider	ovn_arb_cha_magician_fire_2	autonomous_rider	ap_riderposition_0
ovn_arb_cha_magician_heavens_rider	ovn_arb_cha_magician_heavens_2	autonomous_rider	ap_riderposition_0
wh_main_arb_sheikh_rider	ovn_arb_cha_sheikh_1	officer	
wh_main_arb_sheikh_rider	ovn_arb_cha_sheikh_2	officer	
wh_main_arb_elephant_rider_sheikh	ovn_arb_cha_sheikh_3	autonomous_rider	ap_crewposition_0
wh_main_arb_elephant_rider_mahout	ovn_arb_cha_sheikh_3	autonomous_rider	ap_mahoutposition_0
wh_main_arb_elephant_rider1	ovn_arb_cha_sheikh_3	autonomous_rider	ap_crewposition_1
wh_main_arb_elephant_rider2	ovn_arb_cha_sheikh_3	autonomous_rider	ap_crewposition_2
wh_main_arb_elephant_rider3	ovn_arb_cha_sheikh_3	autonomous_rider	ap_crewposition_3
wh_main_arb_elephant_rider_sheikh	ovn_arb_cha_champion_3	autonomous_rider	ap_crewposition_0
wh_main_arb_elephant_rider_mahout	ovn_arb_cha_champion_3	autonomous_rider	ap_mahoutposition_0
wh_main_arb_elephant_rider1	ovn_arb_cha_champion_3	autonomous_rider	ap_crewposition_1
wh_main_arb_elephant_rider2	ovn_arb_cha_champion_3	autonomous_rider	ap_crewposition_2
wh_main_arb_elephant_rider3	ovn_arb_cha_champion_3	autonomous_rider	ap_crewposition_3
wh_main_arb_elephant_rider_jaffar	ovn_arb_cha_sultan_jaffar_2	autonomous_rider	ap_crewposition_0
