key	bonus_v_large	bonus_v_infantry	damage	ap_damage	weapon_length	melee_weapon_type	audio_type	splash_attack_target_size	splash_attack_max_attacks	splash_attack_power_multiplier	building_damage_multiplier	ignition_amount	is_magical	contact_phase	collision_attack_max_targets	collision_attack_max_targets_cooldown	melee_attack_interval	scaling_damage	is_spell
#melee_weapons_tables;25;db/melee_weapons_tables/ovn_araby_only																			
ovn_arb_flying_carpet	28	0	19	36	4.0	axe	dlc15_troll_hag_net	small	3	0.25	1.0	0.0	false		0	10	5.4		false
ovn_arb_flying_carpet_rider	16	0	8	20	4.0	spear	halberd		1	1.0	1.0	0.0	false		0	10	5.6		false
ovn_arb_sword_genie	0	0	115	280	8.0	sword	sword	medium	10	1.2	1.25	0.0	true		0	10	4.0		false
ovn_arb_sword_sea_nymph	0	140	190	0	4.0	sword	sword	medium	10	1.2	1.0	0.0	true	ovn_unit_contact_pressure_of_the_abyss	0	10	4.0		false
ovn_arb_sword_desert_spirit	0	25	140	280	5.0	axe	claw	large	10	1.2	1.25	0.0	true	ovn_unit_contact_pocket_sand	0	10	3.0		false
ovn_arb_sword_fire_efreet	0	0	170	350	6.0	axe	club_huge	large	10	1.2	1.25	10.0	true		0	10	4.0		false
ovn_arb_sword_tempest_djinn	0	0	135	315	6.0	axe	claw	large	10	1.2	1.0	0.0	true	ovn_unit_contact_four_winds	0	10	4.0		false
ovn_arb_spear_mirage	0	0	0	0	1.0	spear	spear		1	1.0	1.0	0.0	false		0	10	4.4		false
ovn_small_scorpion_claws	0	8	45	110	5.0	axe	claw	medium	4	1.0	1.0	0.0	false	wh_main_unit_contact_poison	0	10	3.7		false
ovn_large_scorpion_claws	0	12	95	250	7.0	axe	claw	medium	5	1.0	1.0	0.0	false	wh_main_unit_contact_poison	0	10	3.7		false
ovn_small_tusks	0	34	40	100	8.0	axe	claw	large	10	1.0	1.0	0.0	false		4	2	3.5		false
roy_arb_champion_sword	0	0	110	260	3.0	axe	axe	medium	6	1.0	1.0	0.0	false		0	10	4.0		false
roy_arb_nomad_sword	0	0	235	110	3.0	sword	sword	medium	3	1.0	1.0	0.0	false		0	10	4.0		false
roy_arb_nomad_camel_spear	18	0	200	140	3.0	spear	spear	medium	5	1.0	1.0	0.0	false		0	10	4.0		false
roy_arb_nomad_sword_assassin	0	0	140	210	3.0	sword	sword	medium	3	1.0	1.0	0.0	false	wh_main_unit_contact_poison	0	10	4.0		false
roy_arb_nomad_sword_assassin_summoned	0	0	0	0	3.0	sword	sword	medium	0	1.0	1.0	0.0	false	wh_main_unit_contact_poison	0	10	4.0		false
arb_fatandira_dual_khopesh	0	20	120	180	3.0	sword	sword	medium	8	1.0	1.0	0.0	false		0	10	4.0		false
ovn_arb_cha_golden_magus_0_flaming_scimitar	0	0	210	90	3.0	sword	staff	medium	5	1.0	1.0	10.0	false		0	10	4.0		false
ovn_arb_cha_golden_magus_0_djinn_skiff	0	20	105	155	5.0	sword	staff	large	5	1.0	1.0	0.0	false		3	2	4.8		false
ovn_arb_mon_giant_vulture_beak	25	0	150	300	8.0	sword	claw	large	6	1.0	1.0	0.0	false		0	10	4.0		false
ovn_arb_magician_djinn_carriage	0	18	60	140	4.0	axe	unarmed	very_large	4	1.0	1.25	0.0	false		4	4	4.0		false
ovn_arb_waghzen_club	0	25	36	84	3.0	axe	club_huge	large	4	1.0	1.25	0.0	false		0	10	3.2		false
ovn_arb_enchanted_rope	10	0	50	100	4.0	axe	claw	medium	4	1.0	1.25	0.0	false		0	10	4.0		false
ovn_naphtha_thrower_ror	0	18	60	140	4.0	axe	unarmed	very_large	4	1.0	1.25	10.0	false		4	4	4.0		false
ovn_arb_palace_guard_halberd	24	0	14	30	2.0	spear	halberd		4	1.0	0.75	0.0	false		0	10	4.9		false
ovn_arb_warriors_sword	0	0	21	7	1.0	sword	sword		4	1.0	1.0	0.0	false		0	10	4.4		false
ovn_arb_southlander_greatsword	0	10	11	25	1.0	sword	sword		1	1.0	1.0	0.0	false		0	10	4.3		false
ovn_arb_jaffar_sword_staff_magic	0	0	260	140	3.0	sword	sword	medium	7	1.0	1.0	0.0	true		0	10	4.0		false
arb_jezzail_ror_totokia_mace	0	0	7	27	1.0	axe	club_medium		1	1.0	1.25	0.0	false		0	10	4.6		false
ovn_arb_daughters_camel_ror_sword	0	11	26	0	1.0	sword	sword		4	1.0	1.0	10.0	false		0	10	4.4		false
