model	animation_set	variant	scale	actor	ignore_rider_variant_scale	vfx_filter	banner_relative_to_mount
#campaign_mounts_tables;8;db/campaign_mounts_tables/ovn_araby_only							
ovn_cam_mnt_arb_magic_carpet	cam_fc1_flying_carpet	ovn_arb_mnt_flying_carpet	1.0000	vo_culture_None	false	0	false
ovn_cam_mnt_arb_camel	cam_cm1_camel	ovn_arb_mnt_camel	1.0000	wh_main_vo_culture_Stag	false	0	false
ovn_cam_mnt_arb_camel_armoured	cam_cm1_camel	ovn_arb_mnt_camel_armoured	1.0000	wh_main_vo_culture_Stag	false	0	false
ovn_cam_mnt_arb_sipahis_warhorse	cam_hr1_warhorse	ovn_arb_mnt_sipahis_warhorse	1.0000	wh_main_vo_culture_Horse	false	0	false
ovn_cam_mnt_arb_griffon	cam_bc2_griffon	wh_dlc03_emp_amber_wizard_griffon	0.5000	wh_main_vo_culture_Griffin_DemiGryph_Hippogryph	false	0	false
ovn_cam_mnt_arb_royal_war_elephant	cam_lord_hq3_mammoth	ovn_arb_mnt_royal_war_elephant	0.4000	vo_culture_Invalid	true	0	false
ovn_cam_mnt_arb_fatandira_warhorse	cam_hr1_warhorse	ovn_arb_mnt_fatandira_warhorse	1.0000	wh_main_vo_culture_Horse	true	0	false
ovn_cam_mnt_arb_fatandira_roc	cam_bi1_eagle	ovn_arb_mnt_fatandira_roc	0.6000	wh_main_vo_culture_Hawk	true	0	false
ovn_cam_mnt_arb_djinn_skiff	wm_djinn_skifff	ovn_arb_mnt_djinn_siff_campaign	0.3500	vo_culture_None	false	0	false
ovn_cam_mnt_arb_giant_vulture_mir	cam_bi2_wyvern	ovn_arb_mnt_giant_vulture_mir	0.7000	wh_main_vo_culture_Wyvern	false	0	false
