ancillary	skill	use_quest_for_prefix
#character_skills_to_quest_ancillaries_tables;1;db/character_skills_to_quest_ancillaries_tables/ovn_araby_only		
roy_anc_mount_arb_nomad_assassin	roy_skill_nomad_mount_assassin	false
roy_anc_mount_arb_nomad_horse_jezzail	roy_skill_nomad_jezzail	false
sword	sword	false
Helm	Helm	false
Talisman	Talisman	false
rattlesnake_staff	rattlesnake_staff	false
Serpent_Staff	Serpent_Staff	false
Black_Book_Of_Ibn_Naggazar	Black_Book_Of_Ibn_Naggazar	false
arb_fatandira_blades_demise	arb_fatandira_anc_blades_demise	false
arb_fatandira_scythan_armour	arb_fatandira_anc_scythan_armour	false
arb_golden_magus_fire_scimitar	arb_golden_magus_anc_fire_scimitar	false
arb_golden_magus_auric_robe	arb_golden_magus_anc_auric_robe	false
