key	num_instances
#building_instances_tables;0;db/building_instances_tables/ovn_araby_only	
ovn_arb_hosp	1
ovn_cd_slave	1
ovn_cd_work	1
ovn_arb_haikk	1
ovn_arb_bel	1
ovn_arb_fyrus	1
ovn_arb_Sabar	1
ovn_arb_Madrasat	1
ovn_arb_Sartosa	1
ovn_arb_Magritta	1
ovn_arb_Crypt	1
ovn_arb_Twilight	1
ovn_arb_forge	1
ovn_arb_nomad	1
ovn_arb_xp	1
ovn_arb_barracks	1
ovn_arb_industry_basic	1
ovn_arb_stables	1
ovn_arb_tavern	1
ovn_arb_worship	1
ovn_araby_walls	1
ovn_araby_coffee	1
ovn_Nehekharan	1
arb_fatandira_landmark	1
arb_flaming_scimitar_main	1
arb_flaming_scimitar_barracks	1
arb_flaming_scimitar_support_monsters	1
arb_flaming_scimitar_support_mages	1
arb_flaming_scimitar_structure_movement	1
arb_flaming_scimitar_structure_upkeep	1
arb_flaming_scimitar_structure_replenishment	1
arb_flaming_scimitar_structure_growth	1
arb_flaming_scimitar_defense_bombardment	1
arb_flaming_scimitar_unique_minaret	1
arb_flaming_scimitar_defense_magical_bombardment	1
ovn_arb_scy_tmb	1
ovn_araby_settlement_minor	1
ovn_araby_settlement_major	1
