key	accuracy	armour	campaign_action_points	category	charge_bonus	class	historical_description_text	man_animation	man_entity	melee_attack	melee_defence	morale	bonus_hit_points	mount	num_mounts	primary_melee_weapon	primary_missile_weapon	rank_depth	shield	short_description_text	spacing	training_level	articulated_record	engine	is_male	visibility_spotting_range_min	visibility_spotting_range_max	attribute_group	spot_dist_tree	spot_dist_scrub	reload	selection_vo	selected_vo_secondary	selected_vo_tertiary	hiding_scalar	ground_stat_effect_group	secondary_ammo	primary_ammo	damage_mod_flame	damage_mod_magic	num_engines	damage_mod_physical	damage_mod_missile	damage_mod_all	ai_usage_group	can_skirmish	can_brace	mounted_draughts	sync_locomotion	capture_tier	key_building_capture_tier	score_capture_tier	harmony_amplification_type	first_person
#land_units_tables;50;db/land_units_tables/ovn_araby_only																																																						
ovn_arb_art_ballista	10	wh2_main_leather_15	2100	artillery	5	art_fld	ovn_unit_long_text_arb_art_ballista	hu1_empire_hammer	wh_main_infantry_standard_blood_dismembers	10	6	40	45		0	wh_main_brt_hammer		5	none	ovn_unit_short_text_arb_art_ballista	wh_main_artillery	trained		ovn_arb_art_ballista	true	40.0	1500.0	ovn_arb_art_ballista_attributes	60	80	10	vo_sel_artillery	vo_sel_artillery	vo_sel_culture	1.0	small	0	22	0	0	4	0	0	0	ranged_direct	false	false	false	false	medium	medium	domination_artillery		wh_dlc06_dwf_art_bolt_thrower
ovn_arb_art_grand_bombard	46	wh2_main_leather_20	2100	artillery	5	art_fld	ovn_unit_long_text_arb_art_grand_bombard	hu1_empire_hammer	wh_main_infantry_standard_blood_dismembers	10	9	52	100		0	wh_main_emp_sword_short		5	none	ovn_unit_short_text_arb_art_grand_bombard	wh_main_artillery	trained		ovn_arb_art_grand_bombard	true	40.0	1500.0	ovn_arb_art_grand_bombard_attributes	60	80	30	vo_sel_great_cannon	vo_sel_artillery	vo_sel_culture	1.0	small	0	20	0	0	1	0	0	0	ranged_direct_highvalue	false	false	false	false	medium	medium	domination_artillery		emp_great_cannon
ovn_arb_art_grand_bombard_ror	10	wh2_main_leather_20	2100	artillery	5	art_fld	ovn_unit_long_text_arb_art_grand_bombard_ror	hu1_empire_hammer	wh_main_infantry_standard_blood_dismembers	10	6	50	100		0	wh_main_emp_sword_short		5	none	ovn_unit_short_text_arb_art_grand_bombard_ror	wh_main_artillery	trained		ovn_arb_art_grand_bombard_ror	true	40.0	1500.0	ovn_arb_art_grand_bombard_ror_attributes	60	80	30	vo_sel_great_cannon	vo_sel_artillery	vo_sel_culture	1.0	small	0	18	0	10	1	0	10	0	ranged_direct_highvalue	false	false	false	false	medium	medium	domination_artillery		emp_great_cannon
ovn_arb_art_trebuchet	10	wh2_main_leather_15	2100	artillery	5	art_fld	ovn_unit_long_text_arb_art_trebuchet	hu1_empire_hammer	wh_main_infantry_standard_blood_dismembers	10	6	40	45		0	wh_main_brt_hammer		5	none	ovn_unit_short_text_arb_art_trebuchet	wh_main_artillery	trained		ovn_arb_art_trebuchet	true	40.0	1500.0	ovn_arb_art_trebuchet_attributes	60	80	10	vo_sel_bretonnian_field_trebuchet	vo_sel_artillery	vo_sel_culture	1.0	small	0	22	0	0	4	0	0	0	ranged_indirect_arty	false	false	false	false	medium	medium	domination_artillery		brt_field_trebuchet
ovn_arb_art_naphtha_thrower	10	wh2_main_leather_15	2100	artillery	5	art_fld	ovn_unit_long_text_arb_art_naphtha_thrower	hu1_empire_hammer	wh_main_infantry_standard_blood_dismembers	10	6	40	45		0	wh_main_brt_hammer		5	none	ovn_unit_short_text_arb_art_naphtha_thrower	wh_main_artillery	trained		ovn_arb_art_naphtha_thrower	true	40.0	1500.0	ovn_arb_art_naphtha_thrower_attributes	60	80	10	vo_sel_artillery	vo_sel_artillery	vo_sel_culture	1.0	small	0	22	0	0	4	0	0	0	ranged_indirect_arty	false	false	false	false	medium	medium	domination_artillery		dwf_flame_cannon
ovn_arb_veh_naphtha_thrower_ror	10	wh2_main_plate_80	2100	war_machine	60	chariot	ovn_unit_long_text_arb_art_naphtha_thrower_ror	wm_naphtha_thrower01	wh_main_infantry_standard_blood_dismembers	60	10	80	8000		0	ovn_naphtha_thrower_ror	ovn_arb_naphtha_thrower_ror	5	none	ovn_unit_short_text_arb_art_naphtha_thrower_ror	wh_main_monster	trained		ovn_arb_veh_naphtha_thrower_ror	true	40.0	1500.0	ovn_arb_veh_naphtha_thrower_ror_attributes	60	80	10	vo_sel_artillery	vo_sel_artillery	vo_sel_culture	1.0	large	0	22	0	0	1	0	0	0	hybrid_direct_shock_arty	false	false	false	false	medium	medium	domination_cav		emp_steamtank
ovn_arb_cav_lancer_camels	10	wh2_main_chainmail_50	2100	cavalry	30	cav_mel	ovn_unit_long_text_arb_lancer_camel	hu1_araby_cm1_camel_spear_and_shield	wh_main_cavalry_rider_standard_blood	24	26	48	88	ovn_arb_mnt_camel	60	wh_main_brt_cavalry_spear		5	wh_missile_block_30_wood	ovn_unit_short_text_arb_lancer_camel	wh_main_cavalry_ordered	trained			true	40.0	1500.0	ovn_arb_cav_lancer_camel_attributes	60	80	0	vo_sel_default	vo_sel_generic	vo_sel_generic	1.0	large	0	0	0	0	0	0	0	0	melee_flanker_shock	false	false	false	false	medium	medium	domination_cav		
ovn_arb_cav_lancer_camels_ror	10	wh2_main_chainmail_30	2100	cavalry	24	cav_mel	ovn_unit_long_text_arb_lancer_camel_ror	hu1_araby_cm1_camel_spear_and_shield	ovn-arb_daughters_camel_ror	31	28	48	88	ovn_arb_mnt_camel	60	ovn_arb_daughters_camel_ror_sword		5	none	ovn_unit_short_text_arb_lancer_camel_ror	wh_main_cavalry_ordered	trained			true	40.0	1500.0	ovn_arb_cav_lancer_camel_ror_attributes	60	80	0	vo_sel_default	vo_sel_generic	vo_sel_generic	1.0	large	0	0	0	0	0	0	0	0	melee_flanker_shock	false	false	false	false	medium	medium	domination_cav		
ovn_arb_cav_archer_camels	10	wh2_main_leather_35	2100	cavalry	12	cav_mis	ovn_unit_long_text_arb_cav_archer_camel	hu1_araby_cm1_camel_sword_and_bow	wh_main_cavalry_rider_standard_blood	18	14	50	88	ovn_arb_mnt_camel	60	wh_main_emp_sword_cav	wh_main_brt_horse_bow	3	none	ovn_unit_short_text_arb_cav_archer_camel	wh_main_cavalry_chaotic	trained			true	40.0	1500.0	ovn_arb_cav_archer_camel_attributes	60	80	15	vo_sel_default	vo_sel_generic	vo_sel_generic	1.0	large	0	20	0	0	0	0	0	0	ranged_direct_flanker_harasser	true	false	false	false	low	low	domination_cav		
