base_unit	mounted_unit	icon_name
#units_custom_battle_mounts_tables;1;db/units_custom_battle_mounts_tables/ovn_araby_only		
ovn_arb_cha_sultan_jaffar_0	ovn_arb_cha_sultan_jaffar_1	ui/campaign ui/mounts/ovn_cam_arb_camel5.png
ovn_arb_cha_sultan_jaffar_0	ovn_arb_cha_sultan_jaffar_2	ui/campaign ui/mounts/mount_mammoth.png
ovn_arb_cha_sultan_jaffar_0	ovn_arb_cha_sultan_jaffar_3	ui/campaign ui/mounts/mount_black_dragon.png
ovn_arb_cha_fatandira_0	ovn_arb_cha_fatandira_1	ui/campaign ui/mounts/mount_warhorse.png
ovn_arb_cha_fatandira_0	ovn_arb_cha_fatandira_2	ui/campaign ui/mounts/mount_great_eagle.png
ovn_arb_cha_golden_magus_0	ovn_arb_cha_golden_magus_1	ui/campaign ui/mounts/ovn_cam_arb_camel5.png
ovn_arb_cha_golden_magus_0	ovn_arb_cha_golden_magus_2	ui/campaign ui/mounts/mount_djinnskiff.png
ovn_arb_cha_vizier_desert_0	ovn_arb_cha_vizier_desert_1	ui/campaign ui/mounts/ovn_cam_arb_camel5.png
ovn_arb_cha_vizier_desert_0	ovn_arb_cha_vizier_desert_2	ui/campaign ui/mounts/mount_magic_carpet.png
ovn_arb_cha_vizier_desert_0	ovn_arb_cha_vizier_desert_3	ui/campaign ui/mounts/mount_djinn_vessel.png
ovn_arb_cha_vizier_fire_0	ovn_arb_cha_vizier_fire_1	ui/campaign ui/mounts/ovn_cam_arb_camel5.png
ovn_arb_cha_vizier_fire_0	ovn_arb_cha_vizier_fire_2	ui/campaign ui/mounts/mount_magic_carpet.png
ovn_arb_cha_vizier_fire_0	ovn_arb_cha_vizier_fire_3	ui/campaign ui/mounts/mount_djinn_vessel.png
ovn_arb_cha_vizier_heavens_0	ovn_arb_cha_vizier_heavens_1	ui/campaign ui/mounts/ovn_cam_arb_camel5.png
ovn_arb_cha_vizier_heavens_0	ovn_arb_cha_vizier_heavens_2	ui/campaign ui/mounts/mount_magic_carpet.png
ovn_arb_cha_vizier_heavens_0	ovn_arb_cha_vizier_heavens_3	ui/campaign ui/mounts/mount_djinn_vessel.png
ovn_arb_cha_vizier_life_0	ovn_arb_cha_vizier_life_1	ui/campaign ui/mounts/ovn_cam_arb_camel5.png
ovn_arb_cha_vizier_life_0	ovn_arb_cha_vizier_life_2	ui/campaign ui/mounts/mount_magic_carpet.png
ovn_arb_cha_vizier_life_0	ovn_arb_cha_vizier_life_3	ui/campaign ui/mounts/mount_djinn_vessel.png
ovn_arb_cha_sheikh_0	ovn_arb_cha_sheikh_3	ui/campaign ui/mounts/mount_mammoth.png
ovn_arb_cha_sheikh_0	ovn_arb_cha_sheikh_2	ui/campaign ui/mounts/mount_imperial_griffon.png
ovn_arb_cha_sheikh_0	ovn_arb_cha_sheikh_1	ui/campaign ui/mounts/mount_warhorse.png
ovn_arb_cha_magician_desert_0	ovn_arb_cha_magician_desert_1	ui/campaign ui/mounts/ovn_cam_arb_camel5.png
ovn_arb_cha_magician_desert_0	ovn_arb_cha_magician_desert_2	ui/campaign ui/mounts/mount_magic_carpet.png
ovn_arb_cha_magician_fire_0	ovn_arb_cha_magician_fire_1	ui/campaign ui/mounts/ovn_cam_arb_camel5.png
ovn_arb_cha_magician_fire_0	ovn_arb_cha_magician_fire_2	ui/campaign ui/mounts/mount_magic_carpet.png
ovn_arb_cha_magician_heavens_0	ovn_arb_cha_magician_heavens_1	ui/campaign ui/mounts/ovn_cam_arb_camel5.png
ovn_arb_cha_magician_heavens_0	ovn_arb_cha_magician_heavens_2	ui/campaign ui/mounts/mount_magic_carpet.png
ovn_arb_cha_magician_life_0	ovn_arb_cha_magician_life_1	ui/campaign ui/mounts/ovn_cam_arb_camel5.png
ovn_arb_cha_magician_life_0	ovn_arb_cha_magician_life_2	ui/campaign ui/mounts/mount_magic_carpet.png
ovn_arb_cha_champion_0	ovn_arb_cha_champion_1	ui/campaign ui/mounts/mount_warhorse.png
ovn_arb_cha_champion_0	ovn_arb_cha_champion_2	ui/campaign ui/mounts/mount_barded_warhorse.png
ovn_arb_cha_champion_0	ovn_arb_cha_champion_3	ui/campaign ui/mounts/mount_mammoth.png
