key	active_time	recharge_time	num_uses	effect_range	affect_self	num_effected_friendly_units	num_effected_enemy_units	update_targets_every_frame	initial_recharge	activated_projectile	target_friends	target_enemies	target_ground	target_intercept_range	always_affect_self	only_affect_target	wind_up_time	passive	unique_id	bombardment	spawned_unit	wind_up_stance	mana_cost	min_range	targetting_aoe	passive_aoe	active_aoe	activation_effect	vortex	miscast_chance	miscast_explosion	ai_usage	audio	special_ability_display	voiceover_state	additional_melee_cp	additional_missile_cp	parent_ability	spawn_type	spawn_proxy_vfx	target_ground_under_allies	target_ground_under_enemies	miscast_global_bonus	target_self	composite_scene_group_on_wind_up	composite_scene_group_on_active	wind_down_stance	use_loop_stance	update_phase_by_ability_duration	spawn_is_transformation	spawn_is_decoy	only_affect_owned_units	formation	behaviour	current_mana_moves_to_reserve	spawn_shares_health_and_fatigue	affect_siege_equipment	shared_recharge_time	intensity_based_activation	autoresolver_usage	autoresolver_targets	display_stops_when_display_expires	autoresolve_cp_multiplier	ability_available_ui_event	can_be_copied_to_transformation_unit	audio_switch_casting_override	audio_switch_override	ai_usage_template_group
#unit_special_abilities_tables;70;db/unit_special_abilities_tables/ovn_araby_only																																																																				
ovn_unit_abilities_pot_of_naphtha	-1.0000	60.0000	3	0.0000	false	0	0	false	0.0000	ovn_arb_flying_carpet_naphtha	false	true	false	55.0000	false	false	3.0000	false	7878060			killshot	0.0000	0.0000	wh_spell_generic_missiles	wh_spell_generic_missiles				0.0000		projectile_single	wh_main_spell_bound_fireball		vo_battle_special_ability_generic_response	0.0000	163.0000				false	false	true	false				false	false	false	false	false			false	false	true	-1.0000	false	default	1	false	1.0000		true			
ovn_hero_abilities_summon_genie	-1.0000	-1.0000	1	0.0000	false	0	0	true	5.0000		false	true	true	60.0000	false	false	5.0000	false	63513122		ovn_arb_mon_genie_summoned	cast_up_long	0.0000	0.0000	wh_army_abilities_generic_spawn	wh_army_abilities_generic_spawn				0.0000		hex_ranged_summon	wh_group_unit		vo_battle_special_ability_generic_response	126.0000	126.0000			wh_main_targeting_pre_spawn_solo_ui_central	false	false	true	false				false	false	false	false	false			false	false	true	-1.0000	false	default	1	false	1.0000		true			
ovn_hero_abilities_summon_sea_nymph	-1.0000	-1.0000	1	0.0000	false	0	0	true	5.0000		false	true	true	60.0000	false	false	5.0000	false	7878155		ovn_arb_mon_sea_nymph_summoned	cast_up_long	0.0000	0.0000	wh_army_abilities_generic_spawn	wh_army_abilities_generic_spawn				0.0000		hex_ranged_summon	wh_group_unit		vo_battle_special_ability_generic_response	126.0000	126.0000			wh_main_targeting_pre_spawn_solo_ui_central	false	false	true	false				false	false	false	false	false			false	false	true	-1.0000	false	default	1	false	1.0000		true			
ovn_hero_abilities_summon_desert_spirit	-1.0000	-1.0000	1	0.0000	false	0	0	true	5.0000		false	true	true	60.0000	false	false	5.0000	false	7878156		ovn_arb_mon_desert_spirit_summoned	cast_up_long	0.0000	0.0000	wh_army_abilities_generic_spawn	wh_army_abilities_generic_spawn				0.0000		hex_ranged_summon	wh_group_unit		vo_battle_special_ability_generic_response	126.0000	126.0000			wh_main_targeting_pre_spawn_solo_ui_central	false	false	true	false				false	false	false	false	false			false	false	true	-1.0000	false	default	1	false	1.0000		true			
ovn_hero_abilities_summon_fire_efreet	-1.0000	-1.0000	1	0.0000	false	0	0	true	5.0000		false	true	true	60.0000	false	false	5.0000	false	7878157		ovn_arb_mon_fire_efreet_summoned	cast_up_long	0.0000	0.0000	wh_army_abilities_generic_spawn	wh_army_abilities_generic_spawn				0.0000		hex_ranged_summon	wh_group_unit		vo_battle_special_ability_generic_response	126.0000	126.0000			wh_main_targeting_pre_spawn_solo_ui_central	false	false	true	false				false	false	false	false	false			false	false	true	-1.0000	false	default	1	false	1.0000		true			
ovn_hero_abilities_summon_tempest_djinn	-1.0000	-1.0000	1	0.0000	false	0	0	true	5.0000		false	true	true	60.0000	false	false	5.0000	false	7878158		ovn_arb_mon_tempest_djinn_summoned	cast_up_long	0.0000	0.0000	wh_army_abilities_generic_spawn	wh_army_abilities_generic_spawn				0.0000		hex_ranged_summon	wh_group_unit		vo_battle_special_ability_generic_response	126.0000	126.0000			wh_main_targeting_pre_spawn_solo_ui_central	false	false	true	false				false	false	false	false	false			false	false	true	-1.0000	false	default	1	false	1.0000		true			
ovn_unit_passive_unbinding_djinn	120.0000	-1.0000	-1	0.0000	true	0	0	false	-1.0000		false	false	false	0.0000	false	false	0.0000	true	7878164				0.0000	0.0000						0.0000					vo_battle_special_ability_generic_response	0.0000	0.0000				false	false	true	false				false	false	false	false	false			false	false	true	-1.0000	false	default	1	false	1.0000		true			
ovn_unit_passive_unbinding_arb_spearmen_mirage	60.0000	-1.0000	-1	0.0000	true	0	0	false	-1.0000		false	false	false	0.0000	false	false	0.0000	true	7878152				0.0000	0.0000						0.0000					vo_battle_special_ability_generic_response	0.0000	0.0000				false	false	true	false				false	false	false	false	false			false	false	true	-1.0000	false	default	1	false	1.0000		true			
ovn_unit_passive_unbinding_arb_spearmen_mirage_upgraded	90.0000	-1.0000	-1	0.0000	true	0	0	false	-1.0000		false	false	false	0.0000	false	false	0.0000	true	7878153				0.0000	0.0000						0.0000					vo_battle_special_ability_generic_response	0.0000	0.0000				false	false	true	false				false	false	false	false	false			false	false	true	-1.0000	false	default	1	false	1.0000		true			
blood_howl	-1.0000	-1.0000	-1	25.0000	false	0	-1	true	-1.0000		false	false	false	0.0000	false	false	0.0000	true	7878079				0.0000	0.0000	wh_abilities_generic_debuff					0.0000					vo_battle_special_ability_spell_cast_negative	79.0000	79.0000				false	false	true	false				false	false	false	false	false			false	false	true	-1.0000	false	default	1	false	1.0000		true			
arb_jaffar_aura_will	-1.0000	-1.0000	-1	55.0000	false	-1	0	false	0.0000		false	false	false	0.0000	false	false	0.0000	true	7878058				0.0000	0.0000	wh_abilities_generic_buff					0.0000					vo_battle_special_ability_spell_cast_positive	75.0000	0.0000				false	false	true	false				false	false	false	false	false			false	false	true	-1.0000	false	default	1	false	1.0000		true			
