ancillary	subculture
#ancillary_included_subcultures_tables;0;db/ancillary_included_subcultures_tables/ovn_crafting_araby_slaves	
wh2_main_anc_follower_skv_trainee_assassin	ovn_sc_arb_araby
wh2_main_anc_follower_skv_slave_skv	ovn_sc_arb_araby
wh2_main_anc_follower_skv_slave_human	ovn_sc_arb_araby
wh2_main_anc_follower_skv_scribe	ovn_sc_arb_araby
wh2_main_anc_follower_skv_scavenger_1	ovn_sc_arb_araby
wh2_main_anc_follower_skv_sacrificial_victim_lizardman	ovn_sc_arb_araby
wh2_main_anc_follower_skv_sacrificial_victim_dwarf	ovn_sc_arb_araby
wh2_main_anc_follower_skv_saboteur	ovn_sc_arb_araby
wh2_main_anc_follower_skv_pet_wolf_rat	ovn_sc_arb_araby
wh2_main_anc_follower_skv_messenger	ovn_sc_arb_araby
wh2_main_anc_follower_skv_mechanic	ovn_sc_arb_araby
wh2_main_anc_follower_skv_hell_pit_attendant	ovn_sc_arb_araby
wh2_main_anc_follower_skv_female	ovn_sc_arb_araby
wh2_main_anc_follower_skv_clerk	ovn_sc_arb_araby
wh2_main_anc_follower_skv_chemist	ovn_sc_arb_araby
wh2_main_anc_follower_skv_bodyguard	ovn_sc_arb_araby
wh2_main_anc_follower_skv_artefact_hunter	ovn_sc_arb_araby
wh2_main_anc_follower_lzd_zoat	ovn_sc_arb_araby
wh2_main_anc_follower_lzd_veteran_warrior	ovn_sc_arb_araby
wh2_main_anc_follower_lzd_temple_cleaner	ovn_sc_arb_araby
wh2_main_anc_follower_lzd_sacrificial_victim_skv	ovn_sc_arb_araby
wh2_main_anc_follower_lzd_sacrificial_victim_human	ovn_sc_arb_araby
wh2_main_anc_follower_lzd_librarian	ovn_sc_arb_araby
wh2_main_anc_follower_lzd_gardener	ovn_sc_arb_araby
wh2_main_anc_follower_lzd_fan_waver	ovn_sc_arb_araby
wh2_main_anc_follower_lzd_defence_expert	ovn_sc_arb_araby
wh2_main_anc_follower_lzd_clerk	ovn_sc_arb_araby
wh2_main_anc_follower_lzd_attendant	ovn_sc_arb_araby
wh2_main_anc_follower_lzd_astronomer	ovn_sc_arb_araby
wh2_main_anc_follower_lzd_artefact_hunter	ovn_sc_arb_araby
wh2_main_anc_follower_lzd_archivist	ovn_sc_arb_araby
wh2_main_anc_follower_lzd_acolyte_priest	ovn_sc_arb_araby
wh2_dlc12_anc_follower_swamp_trawler_skink	ovn_sc_arb_araby
wh2_dlc12_anc_follower_prophets_spawn_brother	ovn_sc_arb_araby
wh2_dlc12_anc_follower_priest_of_the_star_chambers	ovn_sc_arb_araby
wh2_dlc12_anc_follower_piqipoqi_qupacoco	ovn_sc_arb_araby
wh2_dlc12_anc_follower_obsinite_miner_skink	ovn_sc_arb_araby
wh2_dlc12_anc_follower_lotl_botls_spawn_brother	ovn_sc_arb_araby
wh2_dlc12_anc_follower_consul_of_calith	ovn_sc_arb_araby
wh2_dlc12_anc_follower_chameleon_spotter	ovn_sc_arb_araby
wh2_main_anc_follower_hef_wine_merchant	ovn_sc_arb_araby
wh2_main_anc_follower_hef_trappist	ovn_sc_arb_araby
wh2_main_anc_follower_hef_shrine_keeper	ovn_sc_arb_araby
wh2_main_anc_follower_hef_scout	ovn_sc_arb_araby
wh2_main_anc_follower_hef_raven_keeper	ovn_sc_arb_araby
wh2_main_anc_follower_hef_priestess_isha	ovn_sc_arb_araby
wh2_main_anc_follower_hef_priest_vaul	ovn_sc_arb_araby
wh2_main_anc_follower_hef_poisoner	ovn_sc_arb_araby
wh2_main_anc_follower_hef_minstrel	ovn_sc_arb_araby
wh2_main_anc_follower_hef_librarian	ovn_sc_arb_araby
wh2_main_anc_follower_hef_food_taster	ovn_sc_arb_araby
wh2_main_anc_follower_hef_dragon_armourer	ovn_sc_arb_araby
wh2_main_anc_follower_hef_counterspy	ovn_sc_arb_araby
wh2_main_anc_follower_hef_counsellor	ovn_sc_arb_araby
wh2_main_anc_follower_hef_beard_weaver	ovn_sc_arb_araby
wh2_main_anc_follower_hef_bard	ovn_sc_arb_araby
wh2_main_anc_follower_hef_assassin	ovn_sc_arb_araby
wh2_main_anc_follower_hef_admiral	ovn_sc_arb_araby
wh2_main_anc_follower_def_slave_trader	ovn_sc_arb_araby
wh2_main_anc_follower_def_slave	ovn_sc_arb_araby
wh2_main_anc_follower_def_propagandist	ovn_sc_arb_araby
wh2_main_anc_follower_def_overseer	ovn_sc_arb_araby
wh2_main_anc_follower_def_organ_merchant	ovn_sc_arb_araby
wh2_main_anc_follower_def_musician_flute	ovn_sc_arb_araby
wh2_main_anc_follower_def_musician_drum	ovn_sc_arb_araby
wh2_main_anc_follower_def_musician_choirmaster	ovn_sc_arb_araby
wh2_main_anc_follower_def_merchant	ovn_sc_arb_araby
wh2_main_anc_follower_def_harem_keeper	ovn_sc_arb_araby
wh2_main_anc_follower_def_gravedigger	ovn_sc_arb_araby
wh2_main_anc_follower_def_fanatic	ovn_sc_arb_araby
wh2_main_anc_follower_def_diplomat_slaanesh	ovn_sc_arb_araby
wh2_main_anc_follower_def_diplomat	ovn_sc_arb_araby
wh2_main_anc_follower_def_cultist	ovn_sc_arb_araby
wh2_main_anc_follower_def_bodyguard	ovn_sc_arb_araby
wh2_main_anc_follower_def_beastmaster	ovn_sc_arb_araby
wh2_main_anc_follower_def_apprentice_assassin	ovn_sc_arb_araby
wh2_dlc15_anc_follower_mandelour	ovn_sc_arb_araby
wh2_dlc14_anc_follower_malus_urial	ovn_sc_arb_araby
