character_item	character_name
#battle_set_piece_armies_characters_items_tables;0;db/battle_set_piece_armies_characters_items_tables/ovn_araby_only	
Serpent_Staff	ovn_arb_cha_sultan_jaffar_0
Black_Book_Of_Ibn_Naggazar	ovn_arb_cha_sultan_jaffar_0
ovn_arb_baz_tal_02_sun_flask	ovn_arb_cha_sheikh_0
ovn_arb_baz_arm_09_faith_shield	ovn_arb_cha_sheikh_0
arb_fatandira_blades_demise	ovn_arb_cha_fatandira_0
arb_golden_magus_fire_scimitar	ovn_arb_cha_golden_magus_0
wh_main_anc_weapon_sword_of_anti-heroes	ovn_arb_cha_champion_0
wh_main_anc_enchanted_item_potion_of_foolhardiness	ovn_arb_cha_champion_0
wh2_main_anc_enchanted_item_enchanted_spyglass	ovn_arb_cha_nomad_0
wh_main_anc_weapon_warrior_bane	ovn_arb_cha_nomad_0
wh2_main_anc_enchanted_item_enchanted_spyglass	ovn_arb_cha_nomad_3
wh_main_anc_weapon_warrior_bane	ovn_arb_cha_nomad_3
