building_level	campaign_bmd_layer_group
#building_levels_campaign_bmd_layer_group_junctions_tables;0;db/building_levels_campaign_bmd_layer_group_junctions_tables/ovn_araby_only	
ovn_araby_walls_1	settlement_towers_level_1
ovn_araby_walls_2	settlement_towers_level_2
ovn_araby_walls_3	settlement_towers_level_3
ovn_araby_settlement_major_2	settlement_level_1
ovn_araby_settlement_major_3	settlement_level_2
ovn_araby_settlement_major_4	settlement_level_3
ovn_araby_settlement_major_5	settlement_level_4
ovn_araby_settlement_major_ruin	razed_settlement_generic
ovn_araby_settlement_minor_2	settlement_level_1
ovn_araby_settlement_minor_3	settlement_level_2
ovn_araby_settlement_minor_ruin	razed_settlement_generic
