member	context	faction
#campaign_group_member_criteria_factions_tables;1;db/campaign_group_member_criteria_factions_tables/ovn_araby_climate		
ovn_araby_scy_climate_chaotic	ACTOR	ovn_arb_aswad_scythans
ovn_araby_scy_climate_desert	ACTOR	ovn_arb_aswad_scythans
ovn_araby_scy_climate_frozen	ACTOR	ovn_arb_aswad_scythans
ovn_araby_scy_climate_island	ACTOR	ovn_arb_aswad_scythans
ovn_araby_scy_climate_jungle	ACTOR	ovn_arb_aswad_scythans
ovn_araby_scy_climate_magicforest	ACTOR	ovn_arb_aswad_scythans
ovn_araby_scy_climate_mountain	ACTOR	ovn_arb_aswad_scythans
ovn_araby_scy_climate_ocean	ACTOR	ovn_arb_aswad_scythans
ovn_araby_scy_climate_savannah	ACTOR	ovn_arb_aswad_scythans
ovn_araby_scy_climate_temperate	ACTOR	ovn_arb_aswad_scythans
ovn_araby_scy_climate_wasteland	ACTOR	ovn_arb_aswad_scythans
ovn_araby_climate_chaotic	ACTOR	ovn_arb_sultanate_of_all_araby
ovn_araby_climate_desert	ACTOR	ovn_arb_sultanate_of_all_araby
ovn_araby_climate_frozen	ACTOR	ovn_arb_sultanate_of_all_araby
ovn_araby_climate_island	ACTOR	ovn_arb_sultanate_of_all_araby
ovn_araby_climate_jungle	ACTOR	ovn_arb_sultanate_of_all_araby
ovn_araby_climate_magicforest	ACTOR	ovn_arb_sultanate_of_all_araby
ovn_araby_climate_mountain	ACTOR	ovn_arb_sultanate_of_all_araby
ovn_araby_climate_ocean	ACTOR	ovn_arb_sultanate_of_all_araby
ovn_araby_climate_savannah	ACTOR	ovn_arb_sultanate_of_all_araby
ovn_araby_climate_temperate	ACTOR	ovn_arb_sultanate_of_all_araby
ovn_araby_climate_wasteland	ACTOR	ovn_arb_sultanate_of_all_araby
ovn_araby_scim_climate_chaotic	ACTOR	ovn_arb_sultanate_of_all_araby
ovn_araby_scim_climate_desert	ACTOR	ovn_arb_golden_fleet
ovn_araby_scim_climate_frozen	ACTOR	ovn_arb_golden_fleet
ovn_araby_scim_climate_island	ACTOR	ovn_arb_golden_fleet
ovn_araby_scim_climate_jungle	ACTOR	ovn_arb_golden_fleet
ovn_araby_scim_climate_magicforest	ACTOR	ovn_arb_golden_fleet
ovn_araby_scim_climate_mountain	ACTOR	ovn_arb_golden_fleet
ovn_araby_scim_climate_ocean	ACTOR	ovn_arb_golden_fleet
ovn_araby_scim_climate_savannah	ACTOR	ovn_arb_golden_fleet
ovn_araby_scim_climate_temperate	ACTOR	ovn_arb_golden_fleet
ovn_araby_scim_climate_wasteland	ACTOR	ovn_arb_golden_fleet
