key	image	max_displays	weighting	first_shown_weighting	category
#loading_screen_quotes_tables;5;db/loading_screen_quotes_tables/ovn_araby_only					
ovn_arb_mon_genie	ui/units/infopics/ovn_arb_genie.png	-1	1	3	unit
ovn_arb_mon_sea_nymph	ui/units/infopics/ovn_arb_sea_nymph.png	-1	1	3	unit
ovn_arb_mon_desert_spirit	ui/units/infopics/ovn_arb_desert_spirit.png	-1	1	3	unit
ovn_arb_mon_fire_efreet	ui/units/infopics/ovn_arb_fire_efreet.png	-1	1	3	unit
ovn_arb_mon_tempest_djinn	ui/units/infopics/ovn_arb_tempest_djinn.png	-1	1	3	unit
ovn_arb_mon_cannon_elephant	ui/units/infopics/ovn_arb_cannon_elephant.png	-1	1	3	unit
ovn_arb_mon_elephant	ui/units/infopics/ovn_arb_elephant.png	-1	1	3	unit
ovn_arb_mon_war_elephant	ui/units/infopics/ovn_arb_war_elephant.png	-1	1	3	unit
ovn_arb_mon_war_elephant_ror_1	ui/units/infopics/ovn_arb_war_elephant_ror.png	-1	1	3	unit
ovn_game_hint_lore_of_djinns_unit	ui/skins/default/pre_battle_lore_desert.png	-1	1	2	battle
