from	to
#building_downgrade_junctions_tables;0;db/building_downgrade_junctions_tables/ovn_araby_only	
arb_flaming_scimitar_main_1	arb_flaming_scimitar_main_1
arb_flaming_scimitar_main_2	arb_flaming_scimitar_main_2
arb_flaming_scimitar_main_3	arb_flaming_scimitar_main_3
arb_flaming_scimitar_main_4	arb_flaming_scimitar_main_4
arb_flaming_scimitar_main_5	arb_flaming_scimitar_main_5
arb_golden_magus_special_galleon_graveyard_1	arb_golden_magus_special_galleon_graveyard_1
arb_golden_magus_special_galleon_graveyard_ruin	arb_golden_magus_special_galleon_graveyard_ruin
ovn_araby_settlement_major_1	ovn_araby_settlement_major_1
ovn_araby_settlement_major_2	ovn_araby_settlement_major_2
ovn_araby_settlement_major_3	ovn_araby_settlement_major_3
ovn_araby_settlement_major_4	ovn_araby_settlement_major_4
ovn_araby_settlement_major_5	ovn_araby_settlement_major_5
ovn_araby_settlement_major_ruin	ovn_araby_settlement_major_ruin
ovn_araby_settlement_minor_1	ovn_araby_settlement_minor_1
ovn_araby_settlement_minor_2	ovn_araby_settlement_minor_2
ovn_araby_settlement_minor_3	ovn_araby_settlement_minor_3
ovn_araby_settlement_minor_ruin	ovn_araby_settlement_minor_ruin
