technology	effect	effect_scope	value
#technology_effects_junction_tables;0;db/technology_effects_junction_tables/ovn_araby_only			
araby_tech_neu_2	wh2_main_effect_building_recruitment_cost_reduction_arb_ovn_elephant	faction_to_province_own	15.0000
araby_tech_neu_2	wh2_main_effect_building_upkeep_reduction_arb_ovn_elephant	faction_to_force_own_unseen	10.0000
araby_tech_neu_2	ovn_effect_tech_unit_xp_arb_elephants	faction_to_province_own	3.0000
araby_tech_neu_2	wh2_dlc09_effect_melee_attack_arb_ovn_elephant	faction_to_force_own_unseen	6.0000
araby_tech_neu_2	wh2_dlc09_effect_melee_defence_arb_ovn_elephant	faction_to_force_own_unseen	6.0000
araby_tech_bad_1	wh_main_effect_public_order_tech	faction_to_province_own	-15.0000
araby_tech_bad_4	wh_main_effect_agent_recruitment_xp_wizard_vampire_counts	faction_to_province_own	4.0000
araby_tech_bad_4	wh_main_effect_force_all_campaign_replenishment_rate	faction_to_force_own	5.0000
araby_tech_bad_7	wh_main_effect_public_order_tech	faction_to_province_own	-15.0000
araby_tech_bad_7	wh_main_faction_political_diplomacy_mod_technology_chaos	faction_to_faction_own_unseen	40.0000
araby_tech_bad_7	wh2_main_faction_political_diplomacy_mod_technology_order	faction_to_faction_own_unseen	-35.0000
araby_tech_bad_7	wh_main_effect_tech_recruitment_cost_reduction_chaos_warriors	faction_to_province_own	-10.0000
araby_tech_bad_8	wh_main_effect_public_order_tech	faction_to_province_own	-15.0000
araby_tech_bad_8	wh2_main_faction_political_diplomacy_mod_technology_order	faction_to_faction_own_unseen	-35.0000
araby_tech_bad_8	wh_main_faction_political_diplomacy_mod_technology_vampire_counts	faction_to_faction_own_unseen	40.0000
araby_tech_bad_8	wh_main_effect_agent_recruitment_xp_wizard_vampire_counts	faction_to_province_own	6.0000
araby_tech_bad_9	wh_main_effect_agent_action_success_chance_enemy	faction_to_character_own	-15.0000
araby_tech_bad_9	roy_effect_agent_recruitment_xp_arb_nomad	faction_to_province_own	1.0000
araby_tech_bad_9	wh_main_effect_agent_action_success_chance	faction_to_character_own_unseen	6.0000
araby_tech_bad_6	wh2_dlc11_effect_attrition_immunity_chaos	faction_to_force_own	1.0000
araby_tech_bad_6	wh_main_effect_tech_unit_xp_levels_chaos_warriors	faction_to_province_own	4.0000
araby_tech_bad_6	wh_main_effect_tech_recruitment_cost_reduction_chaos_warriors	faction_to_province_own	-30.0000
araby_tech_bad_6	wh_main_effect_public_order_tech	faction_to_province_own	-25.0000
araby_tech_bad_3	wh_main_effect_force_stat_melee_defence_chaos_warriors_knights	faction_to_force_own_unseen	6.0000
araby_tech_bad_3	wh_main_effect_force_stat_melee_attack_chaos_spawns	faction_to_force_own_unseen	5.0000
araby_tech_bad_2	wh_main_effect_force_all_campaign_replenishment_rate	faction_to_force_own	5.0000
araby_tech_good_6	wh_main_effect_recruitment_cost_reduction_giants	faction_to_province_own	-40.0000
araby_tech_good_6	wh_main_effect_force_stat_weapon_strength_giants	faction_to_force_own_unseen	6.0000
araby_tech_good_6	wh_main_effect_force_stat_armour_giants	faction_to_force_own_unseen	10.0000
araby_tech_good_1	wh_main_effect_public_order_tech	faction_to_province_own_unseen	1.0000
araby_tech_good_1	wh_main_effect_technology_research_points	faction_to_faction_own_unseen	5.0000
araby_tech_good_2	wh_main_effect_force_stat_leadership	faction_to_force_own_unseen	3.0000
araby_tech_good_7	wh_main_effect_technology_research_points	faction_to_faction_own_unseen	15.0000
araby_tech_good_7	wh_main_effect_building_construction_time_mod_settlement	faction_to_region_own_unseen	-2.0000
araby_tech_good_7	wh_main_effect_building_construction_cost_mod	faction_to_region_own_unseen	-10.0000
araby_tech_good_8	wh_dlc07_effect_economy_gdp_mod_industry	faction_to_region_own_unseen	10.0000
araby_tech_good_8	wh_main_effect_economy_gdp_mod_trade_sea	faction_to_region_own_unseen	10.0000
araby_tech_good_8	wh_main_effect_building_construction_cost_mod	faction_to_region_own_unseen	-5.0000
araby_tech_good_8	wh_main_effect_economy_trade_tariff_mod	faction_to_faction_own_unseen	10.0000
araby_tech_good_9	roy_effect_agent_cap_increase_arb_champion	faction_to_faction_own_unseen	2.0000
araby_tech_good_9	roy_effect_agent_recruitment_xp_arb_champion	faction_to_province_own	3.0000
araby_tech_good_9	roy_effect_agent_action_success_chance_arb_champion	faction_to_character_own_unseen	10.0000
araby_tech_good_3	wh2_main_effect_slave_income_modifier	faction_to_province_own_unseen	-75.0000
araby_tech_good_3	wh2_main_effect_slave_decline_modifier	faction_to_province_own_unseen	75.0000
araby_tech_good_3	wh2_main_effect_slave_public_order_modifier	faction_to_province_own_unseen	35.0000
araby_tech_good_3	wh_main_effect_public_order_tech	faction_to_province_own_unseen	3.0000
araby_tech_good_3	wh_main_effect_force_stat_leadership	faction_to_force_own_unseen	5.0000
araby_tech_good_4	wh_main_effect_province_growth_tech	faction_to_province_own_unseen	15.0000
araby_tech_good_4	wh_main_effect_unit_recruitment_points	faction_to_province_own	1.0000
araby_tech_good_4	wh_main_effect_force_all_campaign_recruitment_cost_all	faction_to_force_own_unseen	-25.0000
araby_tech_good_4	wh_main_effect_public_order_tech	faction_to_province_own_unseen	-1.0000
araby_tech_good_5	wh_main_faction_xp_increase_generals	faction_to_province_own_unseen	3.0000
araby_tech_neu_eco_6	wh_main_effect_force_all_campaign_replenishment_rate	faction_to_force_own	6.0000
araby_tech_neu_eco_5	wh_main_effect_force_all_campaign_movement_range	faction_to_force_own	15.0000
araby_tech_neu_eco_5	wh_main_effect_force_army_campaign_ambush_attack_success_chance	faction_to_force_own_unseen	20.0000
araby_tech_neu_eco_5	wh_main_effect_force_army_campaign_ambush_defence_success_chance	force_to_force_own	20.0000
araby_tech_neu_eco_2	wh_dlc07_effect_economy_gdp_mod_industry	faction_to_region_own_unseen	10.0000
araby_tech_neu_eco_2	wh_main_effect_force_all_campaign_recruitment_cost_all	faction_to_force_own_unseen	-5.0000
araby_tech_neu_eco_1	wh2_dlc09_effect_force_stat_leadership_vs_tomb_kings	faction_to_force_own	10.0000
araby_tech_neu_eco_1	wh_main_effect_technology_research_points	faction_to_faction_own_unseen	10.0000
araby_tech_neu_eco_0	wh_main_effect_technology_research_points	faction_to_faction_own_unseen	6.0000
araby_tech_neu_eco_0	wh_dlc07_effect_economy_gdp_mod_industry	faction_to_region_own_unseen	6.0000
araby_tech_neu_0	ovn_effect_tech_armour_arb_camels	faction_to_force_own_unseen	20.0000
araby_tech_neu_1	wh3_main_effect_winds_of_magic_pooled_resource_change_positive_mod	faction_to_force_own_unseen	8.0000
