ability_group	unit
#special_ability_groups_to_units_junctions_tables;0;db/special_ability_groups_to_units_junctions_tables/ovn_araby_only	
ovn_lore_golden_magus	ovn_arb_cha_golden_magus_0
ovn_lore_golden_magus	ovn_arb_cha_golden_magus_1
ovn_lore_golden_magus	ovn_arb_cha_golden_magus_2
ovn_lore_desert	ovn_arb_cha_magician_desert_0
ovn_lore_desert	ovn_arb_cha_magician_desert_1
ovn_lore_desert	ovn_arb_cha_magician_desert_2
wh_main_lore_fire	ovn_arb_cha_magician_fire_0
wh_main_lore_fire	ovn_arb_cha_magician_fire_1
wh_main_lore_fire	ovn_arb_cha_magician_fire_2
wh_main_lore_heavens	ovn_arb_cha_magician_heavens_0
wh_main_lore_heavens	ovn_arb_cha_magician_heavens_1
wh_main_lore_heavens	ovn_arb_cha_magician_heavens_2
wh_dlc05_lore_life	ovn_arb_cha_magician_life_0
wh_dlc05_lore_life	ovn_arb_cha_magician_life_1
wh_dlc05_lore_life	ovn_arb_cha_magician_life_2
wh_main_lore_jaffar	ovn_arb_cha_sultan_jaffar_0
wh_main_lore_jaffar	ovn_arb_cha_sultan_jaffar_1
wh_main_lore_jaffar	ovn_arb_cha_sultan_jaffar_2
wh_main_lore_jaffar	ovn_arb_cha_sultan_jaffar_3
ovn_lore_desert	ovn_arb_cha_vizier_desert_0
ovn_lore_desert	ovn_arb_cha_vizier_desert_1
ovn_lore_desert	ovn_arb_cha_vizier_desert_2
ovn_lore_desert	ovn_arb_cha_vizier_desert_3
wh_main_lore_fire	ovn_arb_cha_vizier_fire_0
wh_main_lore_fire	ovn_arb_cha_vizier_fire_1
wh_main_lore_fire	ovn_arb_cha_vizier_fire_2
wh_main_lore_fire	ovn_arb_cha_vizier_fire_3
wh_main_lore_heavens	ovn_arb_cha_vizier_heavens_0
wh_main_lore_heavens	ovn_arb_cha_vizier_heavens_1
wh_main_lore_heavens	ovn_arb_cha_vizier_heavens_2
wh_main_lore_heavens	ovn_arb_cha_vizier_heavens_3
wh_dlc05_lore_life	ovn_arb_cha_vizier_life_0
wh_dlc05_lore_life	ovn_arb_cha_vizier_life_1
wh_dlc05_lore_life	ovn_arb_cha_vizier_life_2
wh_dlc05_lore_life	ovn_arb_cha_vizier_life_3
ovn_djinn_carriage_shared_group	ovn_arb_djinn_carriage
