faction	general_unit	unit	siege_unit_attacker	siege_unit_defender	general_portrait	general_uniform	set_piece_character	campaign_exclusive	armory_item_set
#units_custom_battle_permissions_tables;10;db/units_custom_battle_permissions_tables/ovn_araby_only									
ovn_arb_sultanate_of_all_araby	false	ovn_arb_art_ballista	true	true				false	
ovn_arb_sultanate_of_all_araby	false	ovn_arb_art_grand_bombard	true	true				false	
ovn_arb_sultanate_of_all_araby	false	ovn_arb_art_grand_bombard_ror	true	true				false	
ovn_arb_sultanate_of_all_araby	false	ovn_arb_art_naphtha_thrower	true	true				false	
ovn_arb_sultanate_of_all_araby	false	ovn_arb_veh_naphtha_thrower_ror	true	true				false	
ovn_arb_sultanate_of_all_araby	false	ovn_arb_cav_arabyan_knights	true	true				false	
ovn_arb_sultanate_of_all_araby	false	ovn_arb_cav_arabyan_knights_ror	true	true				false	
ovn_arb_sultanate_of_all_araby	false	ovn_arb_cav_archer_camels	true	true				false	
ovn_arb_sultanate_of_all_araby	false	ovn_arb_cav_bedouin_scouts	true	true				false	
ovn_arb_sultanate_of_all_araby	false	ovn_arb_cav_flying_carpets	true	true				false	
ovn_arb_sultanate_of_all_araby	false	ovn_arb_cav_flying_carpets_ror	true	true				false	
ovn_arb_sultanate_of_all_araby	false	ovn_arb_cav_jezzail_camels	true	true				false	
ovn_arb_sultanate_of_all_araby	false	ovn_arb_cav_lancer_camels	true	true				false	
ovn_arb_sultanate_of_all_araby	false	ovn_arb_cav_lancer_camels_ror	true	true				false	
ovn_arb_sultanate_of_all_araby	false	ovn_arb_cav_sipahis	true	true				false	
ovn_arb_sultanate_of_all_araby	false	ovn_arb_cav_sipahis_ror	true	true				false	
ovn_arb_sultanate_of_all_araby	false	ovn_arb_cha_champion_0	true	true	ui/portraits/portholes/no_culture/ovn_arb_cha_champion.png	ovn_arb_cha_champion	ovn_arb_cha_champion_0	false	
ovn_arb_sultanate_of_all_araby	false	ovn_arb_cha_champion_1	true	true	ui/portraits/portholes/no_culture/ovn_arb_cha_champion.png	ovn_arb_cha_champion	ovn_arb_cha_champion_0	false	
ovn_arb_sultanate_of_all_araby	false	ovn_arb_cha_champion_2	true	true	ui/portraits/portholes/no_culture/ovn_arb_cha_champion.png	ovn_arb_cha_champion	ovn_arb_cha_champion_0	false	
ovn_arb_sultanate_of_all_araby	false	ovn_arb_cha_champion_3	true	true	ui/portraits/portholes/no_culture/ovn_arb_cha_champion.png	ovn_arb_cha_champion	ovn_arb_cha_champion_0	false	
ovn_arb_sultanate_of_all_araby	true	ovn_arb_cha_fatandira_0	true	true	ui/portraits/portholes/no_culture/arb_fatandira.png	ovn_arb_cha_fatandira_0	ovn_arb_cha_fatandira_0	false	
ovn_arb_sultanate_of_all_araby	true	ovn_arb_cha_fatandira_1	true	true	ui/portraits/portholes/no_culture/arb_fatandira.png	ovn_arb_cha_fatandira_0	ovn_arb_cha_fatandira_0	false	
ovn_arb_sultanate_of_all_araby	true	ovn_arb_cha_fatandira_2	true	true	ui/portraits/portholes/no_culture/arb_fatandira.png	ovn_arb_cha_fatandira_0	ovn_arb_cha_fatandira_0	false	
ovn_arb_sultanate_of_all_araby	true	ovn_arb_cha_golden_magus_0	true	true	ui/portraits/portholes/no_culture/arb_golden_magus.png	ovn_arb_cha_golden_magus_0	ovn_arb_cha_golden_magus_0	false	
ovn_arb_sultanate_of_all_araby	true	ovn_arb_cha_golden_magus_1	true	true	ui/portraits/portholes/no_culture/arb_golden_magus.png	ovn_arb_cha_golden_magus_1	ovn_arb_cha_golden_magus_0	false	
ovn_arb_sultanate_of_all_araby	true	ovn_arb_cha_golden_magus_2	true	true	ui/portraits/portholes/no_culture/arb_golden_magus.png	ovn_arb_cha_golden_magus_0	ovn_arb_cha_golden_magus_0	false	
ovn_arb_sultanate_of_all_araby	false	ovn_arb_cha_magician_desert_0	true	true	ui/portraits/portholes/no_culture/araby_wiz.png		ovn_arb_cha_magician_desert_0	false	
ovn_arb_sultanate_of_all_araby	false	ovn_arb_cha_magician_desert_1	true	true	ui/portraits/portholes/no_culture/araby_wiz.png		ovn_arb_cha_magician_desert_0	false	
ovn_arb_sultanate_of_all_araby	false	ovn_arb_cha_magician_desert_2	true	true	ui/portraits/portholes/no_culture/araby_wiz.png		ovn_arb_cha_magician_desert_0	false	
ovn_arb_sultanate_of_all_araby	false	ovn_arb_cha_magician_fire_0	true	true	ui/portraits/portholes/no_culture/araby_wiz_fire.png		ovn_arb_cha_magician_fire_0	false	
ovn_arb_sultanate_of_all_araby	false	ovn_arb_cha_magician_fire_1	true	true	ui/portraits/portholes/no_culture/araby_wiz_fire.png		ovn_arb_cha_magician_fire_0	false	
ovn_arb_sultanate_of_all_araby	false	ovn_arb_cha_magician_fire_2	true	true	ui/portraits/portholes/no_culture/araby_wiz_fire.png		ovn_arb_cha_magician_fire_0	false	
ovn_arb_sultanate_of_all_araby	false	ovn_arb_cha_magician_heavens_0	true	true	ui/portraits/portholes/no_culture/araby_wiz_sky.png		ovn_arb_cha_magician_heavens_0	false	
ovn_arb_sultanate_of_all_araby	false	ovn_arb_cha_magician_heavens_1	true	true	ui/portraits/portholes/no_culture/araby_wiz_sky.png		ovn_arb_cha_magician_heavens_0	false	
ovn_arb_sultanate_of_all_araby	false	ovn_arb_cha_magician_heavens_2	true	true	ui/portraits/portholes/no_culture/araby_wiz_sky.png		ovn_arb_cha_magician_heavens_0	false	
ovn_arb_sultanate_of_all_araby	false	ovn_arb_cha_magician_life_0	true	true	ui/portraits/portholes/no_culture/araby_wiz_life.png		ovn_arb_cha_magician_life_0	false	
ovn_arb_sultanate_of_all_araby	false	ovn_arb_cha_magician_life_1	true	true	ui/portraits/portholes/no_culture/araby_wiz_life.png		ovn_arb_cha_magician_life_0	false	
ovn_arb_sultanate_of_all_araby	false	ovn_arb_cha_magician_life_2	true	true	ui/portraits/portholes/no_culture/araby_wiz_life.png		ovn_arb_cha_magician_life_0	false	
