key	cast_time	completion_payload	cooldown_time	category	slave_cost	global_cooldown_time	start_payload	icon	failure_cooldown_time	required_resources	expended_resources	target	target_expended_resources	target_required_resources	target_cooldown	target_category_cooldown	effects_while_performing	custom_cost_id	on_trigger_vo_event	flags	self_payload
#rituals_tables;0;db/rituals_tables/ovn_araby_crafting																					
ovn_arb_crafting_weapons_01	0	ovn_arb_crafting_weapons_01	0	CRAFTING_RITUAL	0	0			0		ovn_arb_crafting_weapons_common				0	0				default	
ovn_arb_crafting_weapons_02	0	ovn_arb_crafting_weapons_02	0	CRAFTING_RITUAL	0	0			0		ovn_arb_crafting_weapons_common				0	0				default	
ovn_arb_crafting_weapons_03	0	ovn_arb_crafting_weapons_03	0	CRAFTING_RITUAL	0	0			0		ovn_arb_crafting_weapons_uncommon				0	0				default	
ovn_arb_crafting_weapons_04	0	ovn_arb_crafting_weapons_04	9001	CRAFTING_RITUAL	0	0			0		ovn_arb_crafting_weapons_uncommon				0	0				default	
ovn_arb_crafting_weapons_05	0	ovn_arb_crafting_weapons_05	9001	CRAFTING_RITUAL	0	0			0		ovn_arb_crafting_weapons_rare				0	0				default	
ovn_arb_crafting_weapons_06	0	ovn_arb_crafting_weapons_06	9001	CRAFTING_RITUAL	0	0			0		ovn_arb_crafting_weapons_rare				0	0				default	
ovn_arb_crafting_weapons_07	0	ovn_arb_crafting_weapons_07	0	CRAFTING_RITUAL	0	0			0		ovn_arb_crafting_weapons_crafted				0	0				default	
ovn_arb_crafting_weapons_08	0	ovn_arb_crafting_weapons_08	9001	CRAFTING_RITUAL	0	0			0		ovn_arb_crafting_weapons_crafted				0	0				default	
ovn_arb_crafting_weapons_09	0	ovn_arb_crafting_weapons_09	9001	CRAFTING_RITUAL	0	0			0		ovn_arb_crafting_weapons_seeking_bow				0	0				default	
ovn_arb_crafting_weapons_10	0	ovn_arb_crafting_weapons_10	9001	CRAFTING_RITUAL	0	0			0		ovn_arb_crafting_weapons_unique				0	0				default	
ovn_arb_crafting_weapons_11	0	ovn_arb_crafting_weapons_11	9001	CRAFTING_RITUAL	0	0			0		ovn_arb_crafting_weapons_unique				0	0				default	
ovn_arb_crafting_weapons_12	0	ovn_arb_crafting_weapons_12	9001	CRAFTING_RITUAL	0	0			0		ovn_arb_crafting_weapons_unique				0	0				default	
ovn_arb_crafting_armor_01	0	ovn_arb_crafting_armor_01	0	CRAFTING_RITUAL	0	0			0		ovn_arb_crafting_armor_common				0	0				default	
ovn_arb_crafting_armor_02	0	ovn_arb_crafting_armor_02	0	CRAFTING_RITUAL	0	0			0		ovn_arb_crafting_armor_common				0	0				default	
ovn_arb_crafting_armor_03	0	ovn_arb_crafting_armor_03	9001	CRAFTING_RITUAL	0	0			0		ovn_arb_crafting_weapons_uncommon				0	0				default	
ovn_arb_crafting_armor_04	0	ovn_arb_crafting_armor_04	9001	CRAFTING_RITUAL	0	0			0		ovn_arb_crafting_weapons_uncommon				0	0				default	
ovn_arb_crafting_armor_05	0	ovn_arb_crafting_armor_05	9001	CRAFTING_RITUAL	0	0			0		ovn_arb_crafting_armor_rare				0	0				default	
ovn_arb_crafting_armor_06	0	ovn_arb_crafting_armor_06	9001	CRAFTING_RITUAL	0	0			0		ovn_arb_crafting_armor_rare				0	0				default	
ovn_arb_crafting_armor_07	0	ovn_arb_crafting_armor_07	9001	CRAFTING_RITUAL	0	0			0		ovn_arb_crafting_armor_rare				0	0				default	
ovn_arb_crafting_armor_08	0	ovn_arb_crafting_armor_08	9001	CRAFTING_RITUAL	0	0			0		ovn_arb_crafting_armor_unique				0	0				default	
ovn_arb_crafting_armor_09	0	ovn_arb_crafting_armor_09	9001	CRAFTING_RITUAL	0	0			0		ovn_arb_crafting_armor_crafted				0	0				default	
ovn_arb_crafting_armor_10	0	ovn_arb_crafting_armor_10	9001	CRAFTING_RITUAL	0	0			0		ovn_arb_crafting_armor_scorpion				0	0				default	
ovn_arb_crafting_armor_11	0	ovn_arb_crafting_armor_11	9001	CRAFTING_RITUAL	0	0			0		ovn_arb_crafting_armor_unique				0	0				default	
ovn_arb_crafting_armor_12	0	ovn_arb_crafting_armor_12	0	CRAFTING_RITUAL	0	0			0		ovn_arb_crafting_armor_crafted				0	0				default	
ovn_arb_crafting_enchanted_items_01	0	ovn_arb_crafting_enchanted_items_01	0	CRAFTING_RITUAL	0	0			0		ovn_arb_crafting_cheap				0	0				default	
ovn_arb_crafting_enchanted_items_02	0	ovn_arb_crafting_enchanted_items_02	0	CRAFTING_RITUAL	0	0			0		ovn_arb_crafting_enchanted_items_uncommon				0	0				default	
ovn_arb_crafting_enchanted_items_03	0	ovn_arb_crafting_enchanted_items_03	0	CRAFTING_RITUAL	0	0			0		ovn_arb_crafting_enchanted_items_uncommon				0	0				default	
ovn_arb_crafting_enchanted_items_04	0	ovn_arb_crafting_enchanted_items_04	9001	CRAFTING_RITUAL	0	0			0		ovn_arb_crafting_enchanted_items_rare				0	0				default	
ovn_arb_crafting_enchanted_items_05	0	ovn_arb_crafting_enchanted_items_05	9001	CRAFTING_RITUAL	0	0			0		ovn_arb_crafting_enchanted_items_rare				0	0				default	
ovn_arb_crafting_enchanted_items_06	0	ovn_arb_crafting_enchanted_items_06	9001	CRAFTING_RITUAL	0	0			0		ovn_arb_crafting_enchanted_items_crafted				0	0				default	
ovn_arb_crafting_enchanted_items_07	0	ovn_arb_crafting_enchanted_items_07	0	CRAFTING_RITUAL	0	0			0		ovn_arb_crafting_enchanted_items_crafted				0	0				default	
ovn_arb_crafting_enchanted_items_08	0	ovn_arb_crafting_enchanted_items_08	9001	CRAFTING_RITUAL	0	0			0		ovn_arb_crafting_enchanted_items_crafted				0	0				default	
ovn_arb_crafting_enchanted_items_09	0	ovn_arb_crafting_enchanted_items_09	0	CRAFTING_RITUAL	0	0			0		ovn_arb_crafting_enchanted_items_unique				0	0				default	
ovn_arb_crafting_enchanted_items_10	0	ovn_arb_crafting_enchanted_items_10	9001	CRAFTING_RITUAL	0	0			0		ovn_arb_crafting_enchanted_items_unique				0	0				default	
ovn_arb_crafting_enchanted_items_11	0	ovn_arb_crafting_enchanted_items_11	9001	CRAFTING_RITUAL	0	0			0		ovn_arb_crafting_enchanted_items_unique				0	0				default	
ovn_arb_crafting_enchanted_items_12	0	ovn_arb_crafting_enchanted_items_12	9001	CRAFTING_RITUAL	0	0			0		ovn_arb_crafting_enchanted_items_unique				0	0				default	
ovn_arb_crafting_talismans_01	0	ovn_arb_crafting_talismans_01	0	CRAFTING_RITUAL	0	0			0		ovn_arb_crafting_cheap				0	0				default	
ovn_arb_crafting_talismans_02	0	ovn_arb_crafting_talismans_02	9001	CRAFTING_RITUAL	0	0			0		ovn_arb_crafting_talismans_common				0	0				default	
ovn_arb_crafting_talismans_03	0	ovn_arb_crafting_talismans_03	0	CRAFTING_RITUAL	0	0			0		ovn_arb_crafting_talismans_uncommon				0	0				default	
ovn_arb_crafting_talismans_04	0	ovn_arb_crafting_talismans_04	0	CRAFTING_RITUAL	0	0			0		ovn_arb_crafting_talismans_common				0	0				default	
ovn_arb_crafting_talismans_05	0	ovn_arb_crafting_talismans_05	0	CRAFTING_RITUAL	0	0			0		ovn_arb_crafting_talismans_common				0	0				default	
ovn_arb_crafting_talismans_06	0	ovn_arb_crafting_talismans_06	9001	CRAFTING_RITUAL	0	0			0		ovn_arb_crafting_talismans_rare				0	0				default	
ovn_arb_crafting_talismans_07	0	ovn_arb_crafting_talismans_07	9001	CRAFTING_RITUAL	0	0			0		ovn_arb_crafting_talismans_rare				0	0				default	
ovn_arb_crafting_talismans_08	0	ovn_arb_crafting_talismans_08	9001	CRAFTING_RITUAL	0	0			0		ovn_arb_crafting_talismans_unique				0	0				default	
ovn_arb_crafting_talismans_09	0	ovn_arb_crafting_talismans_09	9001	CRAFTING_RITUAL	0	0			0		ovn_arb_crafting_talismans_unique				0	0				default	
ovn_arb_crafting_talismans_10	0	ovn_arb_crafting_talismans_10	9001	CRAFTING_RITUAL	0	0			0		ovn_arb_crafting_talismans_crafted				0	0				default	
ovn_arb_crafting_talismans_11	0	ovn_arb_crafting_talismans_11	0	CRAFTING_RITUAL	0	0			0		ovn_arb_crafting_talismans_crafted				0	0				default	
ovn_arb_crafting_talismans_12	0	ovn_arb_crafting_talismans_12	9001	CRAFTING_RITUAL	0	0			0		ovn_arb_crafting_talismans_crafted				0	0				default	
ovn_arb_crafting_arcane_items_01	0	ovn_arb_crafting_arcane_items_01	0	CRAFTING_RITUAL	0	0			0		ovn_arb_crafting_arcane_items_uncommon				0	0				default	
