key	tech_category_tab	tech_category_position	chain_category	in_encyclopedia	building_superchain	optional_tier_icon	optional_sort_order	optional_required_horde_commander	can_be_dismantled
#building_chains_tables;9;db/building_chains_tables/ovn_araby_only									
ovn_Nehekharan			military	false	ovn_Nehekharan		7		true
ovn_arb_barracks			military	false	wh2_main_sch_military1_barracks		1		true
ovn_arb_industry_basic			money	false	wh2_main_sch_infrastructure2_industry		2		true
ovn_arb_stables			military	false	wh2_main_sch_military2_stables		2		true
ovn_arb_tavern			happiness	false	wh2_main_sch_infrastructure3_order		3		true
ovn_arb_worship			military	false	wh_main_sch_human_wizards		0		true
ovn_arb_forge			military	false	wh2_main_sch_military3_warmachines		7		true
ovn_arb_nomad			military	false	wh2_main_sch_military4_monsters		7		true
ovn_arb_xp			military	false	wh_main_sch_human_worship		7		true
ovn_arb_hosp			money	false	wh2_main_sch_infrastructure4_energy		7		true
ovn_arb_haikk			military	false	ovn_arb_haikk		7		true
ovn_arb_bel			military	false	ovn_arb_bel		7		true
ovn_arb_fyrus			military	false	ovn_arb_fyrus		7		true
ovn_arb_Sabar			military	false	ovn_arb_Sabar		7		true
ovn_arb_Madrasat			military	false	ovn_arb_Madrasat		7		true
ovn_arb_Sartosa			military	false	ovn_arb_Sartosa		7		true
ovn_arb_Magritta			military	false	ovn_arb_Magritta		7		true
ovn_arb_Crypt			military	false	ovn_arb_Crypt		7		true
ovn_arb_Twilight			military	false	ovn_arb_Twilight		7		true
ovn_arb_scy_tmb			military	false	wh_main_sch_special_reiksfort		1		true
arb_flaming_scimitar_main			money	false	arb_flaming_scimitar_main	data\UI\Buildings\tier_icons\tier_coast_ship.png	0		true
arb_flaming_scimitar_barracks			military	false	arb_flaming_scimitar_barracks		1		true
arb_flaming_scimitar_support_monsters			military	false	arb_flaming_scimitar_support_monsters		1		true
arb_flaming_scimitar_support_mages			military	false	arb_flaming_scimitar_support_mages		2		true
arb_flaming_scimitar_structure_movement			military	false	arb_flaming_scimitar_structure_movement		1		true
arb_flaming_scimitar_structure_upkeep			military	false	arb_flaming_scimitar_structure_upkeep		2		true
arb_flaming_scimitar_structure_replenishment			military	false	arb_flaming_scimitar_structure_replenishment		3		true
arb_flaming_scimitar_structure_growth			military	false	arb_flaming_scimitar_structure_growth		4		true
arb_flaming_scimitar_defense_bombardment			military	false	arb_flaming_scimitar_defense_bombardment		1		true
arb_flaming_scimitar_unique_minaret			military	false	arb_flaming_scimitar_unique_minaret		1		true
arb_flaming_scimitar_defense_magical_bombardment			military	false	arb_flaming_scimitar_defense_magical_bombardment		2		true
arb_golden_magus_special_galleon_graveyard			money	false	wh_main_sch_main_settlement		0		true
ovn_araby_walls			military	true	wh_main_sch_teb_walls		0		true
ovn_araby_ch_coffee			money	false	ovn_araby_sch_coffee		1		true
arb_fatandira_landmark			money	false	arb_fatandira_landmark		0		true
ovn_araby_settlement_major			money	true	wh_main_sch_main_settlement		0		true
ovn_araby_settlement_minor			money	true	wh_main_sch_main_settlement		0		true
