key	destroyed_model	destruction_animation	engine_type	gun_animation_table	missile_weapon	model	battle_entity	asset_folder	variant	draught_attachment_point	tech_folder	rider_attachment_point	destruct_model	destruct_anim	destruct_meta	audio_armour_type	riders_shoot_behaviour
#battlefield_engines_tables;22;db/battlefield_engines_tables/ovn_araby_only																	
ovn_arb_art_grand_bombard	warmachines\engines\arb_grand_bombard\arb_grand_bombard_01_destroyed.wsmodel		Generic_3_Crew	wm_grand_bombard01	ovn_arb_grand_bombard	arb_grand_bombard	ovn_arb_grand_bombard										all_riders_shooting
ovn_arb_art_grand_bombard_ror	warmachines\engines\arb_grand_bombard\arb_grand_bombard_ror_01_destroyed.wsmodel		Generic_3_Crew	wm_grand_bombard01	ovn_arb_grand_bombard_ror	arb_grand_bombard_ror	ovn_arb_grand_bombard_ror										all_riders_shooting
ovn_arb_veh_djinn_carriage	warmachines/engines/arb_djinn_carriage/arb_djinn_carriage_01_destroyed.wsmodel		Generic_No_Crew_Rotate	wm_djinn_carriage01		arb_djinn_carriage	ovn_arb_djinn_carriage				warmachines/engines/arb_djinn_carriage/tech/	ap_crewposition					all_riders_shooting
ovn_arb_art_trebuchet	warmachines\engines\arb_trebuchet\arb_trebuchet_01_destroyed.rigid_model_v2		Generic_3_Crew	wm_trebuchet01	wh_main_brt_trebuchet	arb_trebuchet	wh_main_brt_art_trebuchet										all_riders_shooting
ovn_arb_veh_golden_magus_ship	warmachines/chariot/arb_golden_magus_ship/arb_golden_magus_ship_01_destroyed.wsmodel		Generic_No_Crew_Rotate	wm_mortisengine01		arb_ship	ovn_arb_mnt_djinn_skiff				warmachines/chariot/arb_golden_magus_ship/tech	ap_crewposition					all_riders_shooting
ovn_arb_art_ballista	warmachines/engines/akp_bolt_thrower/arb_bolt_thrower_destroyed.rigid_model_v2		Generic_3_Crew	arb_boltthrower1b_ballista	arb_ballista	ovn_arb_art_ballista	wh2_main_hef_art_eagle_claw_bolt_thrower										all_riders_shooting
ovn_arb_art_naphtha_thrower	warmachines/engines/cth_grand_cannon/cth_grand_cannon_destroyed_01.wsmodel		Generic_3_Crew	wm_naphtha_thrower01	ovn_arb_naphtha_thrower	arb_naphtha_thrower	ovn_arb_naphtha_thrower										all_riders_shooting
ovn_arb_veh_naphtha_thrower_ror	warmachines/engines/cth_grand_cannon/cth_grand_cannon_destroyed_01.wsmodel		Generic_No_Crew_Rotate	wm_naphtha_thrower01		arb_naphtha_thrower_ror	ovn_arb_naphtha_thrower_ror					ap_crewposition					all_riders_shooting
ovn_arb_art_quadballista	warmachines/engines/arb_quadballista/arb_quadballista_destroyed.wsmodel	arb_quadballista_destruct	Generic_3_Crew	wm_bolt_thrower04	ovn_arb_quadballista_bolts	arb_quadballista	ovn_arb_art_quadballista										all_riders_shooting
ovn_arb_art_quadballista_ror	warmachines/engines/arb_quadballista/arb_quadballista_ror_destroyed.wsmodel	arb_quadballista_destruct	Generic_3_Crew	wm_bolt_thrower04_ror	ovn_arb_quadballista_bolts_ror	arb_quadballista_ror	ovn_arb_art_quadballista										all_riders_shooting
