key	animation	entity	audio_armour_type	variant	voiceover
#mounts_tables;10;db/mounts_tables/ovn_araby_only					
ovn_arb_mnt_camel	cm1_camel	ovn_arb_mnt_camel	body	ovn_arb_mnt_camel	wh_main_vo_culture_Stag
ovn_arb_mnt_camel_armoured	cm1_camel	ovn_arb_mnt_camel	chainmail	ovn_arb_mnt_camel_armoured	wh_main_vo_culture_Stag
ovn_arb_mnt_camel_armoured_ror	cm1_camel	ovn_arb_mnt_camel	chainmail	ovn_arb_mnt_camel_armoured_ror	wh_main_vo_culture_Stag
ovn_arb_mnt_elephant	el1_elephant	ovn_arb_mon_elephant_blood	body	ovn_arb_mnt_elephant	vo_culture_Invalid
ovn_arb_mnt_fatandira_roc	bi1_eagle	wh_dlc05_wef_mon_great_eagle_blood	body	ovn_arb_mnt_fatandira_roc	wh_main_vo_culture_Hawk
ovn_arb_mnt_fatandira_warhorse	hr1_warhorse	ovn_arb_mnt_fatandira_warhorse	leather	ovn_arb_mnt_fatandira_warhorse	wh_main_vo_culture_Horse
ovn_arb_mnt_flying_carpet	fc2_flying_carpet	ovn_arb_cav_flying_carpet	leather	ovn_arb_mnt_flying_carpet	vo_culture_Invalid
ovn_arb_mnt_flying_carpet_ror	fc2_flying_carpet	ovn_arb_cav_flying_carpet	leather	ovn_arb_mnt_flying_carpet_ror	vo_culture_Invalid
ovn_arb_mnt_griffon	bc2_deathclaw	wh_main_flying_griffon_blood	plate	wh_dlc03_emp_amber_wizard_griffon	wh_main_vo_culture_Griffin_DemiGryph_Hippogryph
ovn_arb_mnt_knight_warhorse	hr1_warhorse	wh_main_brt_cavalry_blood	plate	ovn_arb_mnt_knight_warhorse	wh_main_vo_culture_Horse
ovn_arb_mnt_knight_warhorse_ror	hr1_warhorse	wh_main_brt_cavalry_blood	plate	ovn_arb_mnt_knight_warhorse_ror	wh_main_vo_culture_Horse
ovn_arb_mnt_royal_war_elephant	el1_elephant	ovn_arb_mon_royal_elephant_blood	chainmail	ovn_arb_mnt_royal_war_elephant	vo_culture_Invalid
ovn_arb_mnt_scorpion	sc1_scorpion01	ovn_arb_mon_scorpion	bone	ovn_arb_mnt_scorpion	vo_culture_None
ovn_arb_mnt_sipahis_warhorse	hr1_warhorse	ovn_arb_mnt_sipahis_warhorse	plate	ovn_arb_mnt_sipahis_warhorse	wh_main_vo_culture_Horse
ovn_arb_mnt_sipahis_warhorse_ror	hr1_warhorse	ovn_arb_mnt_sipahis_warhorse	plate	ovn_arb_mnt_sipahis_warhorse_ror	wh_main_vo_culture_Horse
ovn_arb_mnt_war_elephant	el1_elephant	ovn_arb_mon_war_elephant_blood	body	ovn_arb_mnt_war_elephant	vo_culture_Invalid
ovn_arb_mnt_war_elephant_ror_1	el1_elephant	ovn_arb_mon_elephant_ror_blood	body	ovn_arb_mnt_war_elephant_ror_1	vo_culture_Invalid
ovn_arb_mnt_war_elephant_ror_2	el1_elephant	ovn_arb_mon_war_elephant_cannon_blood	body	ovn_arb_mnt_war_elephant_ror_2	vo_culture_Invalid
ovn_arb_mnt_giant_vulture_mir	bi2_wyvern	wh_main_flying_wyvern_blood	leather	ovn_arb_mnt_giant_vulture_mir	wh_main_vo_culture_Dragon_Small
ovn_arb_mnt_hippo	bo1_warboar	ovn_arb_cav_hippo_blood	body	ovn_arb_mnt_hippo	wh_dlc03_vo_culture_Boar
ovn_arb_mnt_horse	hr1_warhorse	wh2_main_hef_cavalry_fast_blood	leather	ovn_arb_horse	wh_main_vo_culture_Horse
ovn_arb_mnt_horse_desert_dog	hr1_warhorse	wh2_dlc10_hef_cavalry_heralds_blood	leather	ovn_arb_horse_desert_dogs	wh_main_vo_culture_Horse
ovn_arb_mnt_air_skiff	bl3_araby_air_skiff	ovn_arb_flying_air_skiff	leather	ovn_arb_veh_air_skiff	vo_culture_None
