id	art_set_id	level	age	portrait	season	uniform	card	info	sea_uniform	navy_uniform	land_animation	sea_animation	navy_animation	land_animation_vfx_filter	sea_animation_vfx_filter	navy_animation_vfx_filter
#campaign_character_arts_tables;0;db/campaign_character_arts_tables/ovn_araby_only																
7078	ovn_art_set_arb_sultan_jaffar	0	0		none	ovn_arb_cha_sultan_jaffar_0			ovn_campaign_arb_ship_army	ovn_campaign_arb_ship_army	cam_hu1_empire_staff_and_sword	cam_light_ship_05	cam_light_ship_05	0	0	0
290598903	ovn_art_set_arb_sheikh_01	0	0		none	ovn_arb_cha_sheikh_01			ovn_campaign_arb_ship_army	ovn_campaign_arb_ship_army	cam_hu1e_sword_lord	cam_light_ship_05	cam_light_ship_05	0	0	0
290588884	ovn_art_set_arb_sheikh_02	0	0		none	ovn_arb_cha_sheikh_02			ovn_campaign_arb_ship_army	ovn_campaign_arb_ship_army	cam_hu1e_sword_lord	cam_light_ship_05	cam_light_ship_05	0	0	0
290588984	ovn_art_set_arb_sheikh_03	0	0		none	ovn_arb_cha_sheikh_03			ovn_campaign_arb_ship_army	ovn_campaign_arb_ship_army	cam_hu1e_sword_lord	cam_light_ship_05	cam_light_ship_05	0	0	0
1325400312	ovn_art_set_arb_magician_life	0	0		none	ovn_uniform_arb_magician_life			ovn_campaign_arb_ship_agent	ovn_campaign_arb_ship_agent	cam_hu1_empire_staff_and_sword	cam_light_ship_05	cam_light_ship_05	0	0	0
1325400313	ovn_art_set_arb_magician_desert	0	0		none	ovn_uniform_arb_magicican_desert			ovn_campaign_arb_ship_agent	ovn_campaign_arb_ship_agent	cam_hu1_empire_staff_and_sword	cam_light_ship_05	cam_light_ship_05	0	0	0
1325400314	ovn_art_set_arb_magician_fire	0	0		none	ovn_uniform_arb_magicican_fire			ovn_campaign_arb_ship_agent	ovn_campaign_arb_ship_agent	cam_hu1_empire_staff_and_sword	cam_light_ship_05	cam_light_ship_05	0	0	0
1325400315	ovn_art_set_arb_magician_heavens	0	0		none	ovn_uniform_arb_magician_heavens			ovn_campaign_arb_ship_agent	ovn_campaign_arb_ship_agent	cam_hu1_empire_staff_and_sword	cam_light_ship_05	cam_light_ship_05	0	0	0
32823068	ovn_art_set_arb_champion	0	0		none	ovn_arb_cha_champion			ovn_campaign_arb_ship_army	ovn_campaign_arb_ship_army	cam_hu1_arabya_hammer	cam_light_ship_05	cam_light_ship_05	0	0	0
32823069	ovn_art_set_arb_champion_guard	0	0		none	ovn_arb_cha_champion_guard			ovn_campaign_arb_ship_army	ovn_campaign_arb_ship_army	cam_hu1_arabya_hammer	cam_light_ship_05	cam_light_ship_05	0	0	0
32823070	ovn_art_set_arb_champion_warrior	0	0		none	ovn_arb_cha_champion_warrior			ovn_campaign_arb_ship_army	ovn_campaign_arb_ship_army	cam_hu1_empire_sword_and_shield	cam_light_ship_05	cam_light_ship_05	0	0	0
32823071	ovn_art_set_arb_champion_sergeant	0	0		none	ovn_arb_cha_champion_sergeant			ovn_campaign_arb_ship_army	ovn_campaign_arb_ship_army	cam_hu1_empire_sword_and_shield	cam_light_ship_05	cam_light_ship_05	0	0	0
32823073	ovn_art_set_arb_nomad_01	0	0		none	ovn_arb_cha_nomad_uniform_01			ovn_campaign_arb_ship_army	ovn_campaign_arb_ship_army	cam_hu1_empire_sword_and_shield	cam_light_ship_05	cam_light_ship_05	0	0	0
32823074	ovn_art_set_arb_nomad_02	0	0		none	ovn_arb_cha_nomad_uniform_02			ovn_campaign_arb_ship_army	ovn_campaign_arb_ship_army	cam_hu1_empire_sword_and_shield	cam_light_ship_05	cam_light_ship_05	0	0	0
32823075	ovn_art_set_arb_nomad_03	0	0		none	ovn_arb_cha_nomad_uniform_03			ovn_campaign_arb_ship_army	ovn_campaign_arb_ship_army	cam_hu1_empire_sword_and_shield	cam_light_ship_05	cam_light_ship_05	0	0	0
32823076	ovn_art_set_arb_nomad_assassin_01	0	0		none	ovn_arb_cha_nomad_assassin_uniform_01			ovn_campaign_arb_ship_army	ovn_campaign_arb_ship_army	cam_hu1_arch_lector_dual_hammer	cam_light_ship_05	cam_light_ship_05	0	0	0
32823077	ovn_art_set_arb_nomad_assassin_02	0	0		none	ovn_arb_cha_nomad_assassin_uniform_02			ovn_campaign_arb_ship_army	ovn_campaign_arb_ship_army	cam_hu1_arch_lector_dual_hammer	cam_light_ship_05	cam_light_ship_05	0	0	0
32823078	ovn_art_set_arb_nomad_assassin_03	0	0		none	ovn_arb_cha_nomad_assassin_uniform_03			ovn_campaign_arb_ship_army	ovn_campaign_arb_ship_army	cam_hu1_arch_lector_dual_hammer	cam_light_ship_05	cam_light_ship_05	0	0	0
32823079	ovn_art_set_arb_nomad_jezzail_01	0	0		none	ovn_arb_cha_nomad_jezzail_uniform_01			ovn_campaign_arb_ship_army	ovn_campaign_arb_ship_army	cam_hero_hu1_cst_gunnery_rifle	cam_light_ship_05	cam_light_ship_05	0	0	0
32823080	ovn_art_set_arb_nomad_jezzail_02	0	0		none	ovn_arb_cha_nomad_jezzail_uniform_02			ovn_campaign_arb_ship_army	ovn_campaign_arb_ship_army	cam_hero_hu1_cst_gunnery_rifle	cam_light_ship_05	cam_light_ship_05	0	0	0
32823081	ovn_art_set_arb_nomad_jezzail_03	0	0		none	ovn_arb_cha_nomad_jezzail_uniform_03			ovn_campaign_arb_ship_army	ovn_campaign_arb_ship_army	cam_hero_hu1_cst_gunnery_rifle	cam_light_ship_05	cam_light_ship_05	0	0	0
7546893275	ovn_art_set_arb_vizier_fire_01	0	0		none	ovn_arb_cha_vizier_fire_01			ovn_campaign_arb_ship_army	ovn_campaign_arb_ship_army	cam_hu1_empire_staff_and_sword	cam_light_ship_05	cam_light_ship_05	0	0	0
7546893276	ovn_art_set_arb_vizier_life_01	0	0		none	ovn_arb_cha_vizier_life_01			ovn_campaign_arb_ship_army	ovn_campaign_arb_ship_army	cam_hu1_empire_staff_and_sword	cam_light_ship_05	cam_light_ship_05	0	0	0
7546893277	ovn_art_set_arb_vizier_heavens_01	0	0		none	ovn_arb_cha_vizier_heavens_01			ovn_campaign_arb_ship_army	ovn_campaign_arb_ship_army	cam_hu1_empire_staff_and_sword	cam_light_ship_05	cam_light_ship_05	0	0	0
7546893278	ovn_art_set_arb_vizier_fire_02	0	0		none	ovn_arb_cha_vizier_fire_02			ovn_campaign_arb_ship_army	ovn_campaign_arb_ship_army	cam_hu1_empire_staff_and_sword	cam_light_ship_05	cam_light_ship_05	0	0	0
7546893279	ovn_art_set_arb_vizier_life_02	0	0		none	ovn_arb_cha_vizier_life_02			ovn_campaign_arb_ship_army	ovn_campaign_arb_ship_army	cam_hu1_empire_staff_and_sword	cam_light_ship_05	cam_light_ship_05	0	0	0
7546893280	ovn_art_set_arb_vizier_heavens_02	0	0		none	ovn_arb_cha_vizier_heavens_02			ovn_campaign_arb_ship_army	ovn_campaign_arb_ship_army	cam_hu1_empire_staff_and_sword	cam_light_ship_05	cam_light_ship_05	0	0	0
7546893281	ovn_art_set_arb_vizier_desert_02	0	0		none	ovn_arb_cha_vizier_desert_02			ovn_campaign_arb_ship_army	ovn_campaign_arb_ship_army	cam_hu1_empire_staff_and_sword	cam_light_ship_05	cam_light_ship_05	0	0	0
7546893282	ovn_art_set_arb_vizier_desert_01	0	0		none	ovn_arb_cha_vizier_desert_01			ovn_campaign_arb_ship_army	ovn_campaign_arb_ship_army	cam_hu1_empire_staff_and_sword	cam_light_ship_05	cam_light_ship_05	0	0	0
87497939	ovn_art_set_arb_fatandira	0	0		none	ovn_arb_cha_fatandira_0			ovn_campaign_arb_ship_army	ovn_campaign_arb_ship_army	cam_lord_hu1b_elf_sword_and_bow	cam_light_ship_05	cam_light_ship_05	0	0	0
889387935	ovn_art_set_arb_golden_magus	0	0		none	ovn_arb_cha_golden_magus_0			ovn_campaign_arb_ship_flaming_scimitar_army	ovn_campaign_arb_ship_flaming_scimitar_army	cam_hu1_empire_staff_and_sword	cam_light_ship_05	cam_light_ship_05	0	0	0
