from	to
#building_upgrades_junction_tables;0;db/building_upgrades_junction_tables/ovn_araby_only	
ovn_arb_hosp_1	ovn_arb_hosp_2
ovn_arb_nomad_1	ovn_arb_nomad_2
ovn_arb_nomad_2	ovn_arb_nomad_3
ovn_arb_nomad_3	ovn_arb_nomad_4
ovn_arb_forge_1	ovn_arb_forge_2
ovn_arb_forge_2	ovn_arb_forge_3
ovn_arb_barracks_1	ovn_arb_barracks_2
ovn_arb_barracks_2	ovn_arb_barracks_3
ovn_arb_industry_basic_1	ovn_arb_industry_basic_2
ovn_arb_industry_basic_2	ovn_arb_industry_basic_3
ovn_arb_stables_1	ovn_arb_stables_2
ovn_arb_stables_2	ovn_arb_stables_3
ovn_arb_tavern_1	ovn_arb_tavern_2
ovn_arb_tavern_2	ovn_arb_tavern_3
ovn_arb_worship_1	ovn_arb_worship_2
ovn_araby_walls_1	ovn_araby_walls_2
ovn_araby_walls_2	ovn_araby_walls_3
ovn_araby_coffee_1	ovn_araby_coffee_2
ovn_araby_coffee_2	ovn_araby_coffee_3
arb_flaming_scimitar_main_1	arb_flaming_scimitar_main_2
arb_flaming_scimitar_main_2	arb_flaming_scimitar_main_3
arb_flaming_scimitar_main_3	arb_flaming_scimitar_main_4
arb_flaming_scimitar_main_4	arb_flaming_scimitar_main_5
arb_flaming_scimitar_barracks_1	arb_flaming_scimitar_barracks_2
arb_flaming_scimitar_barracks_2	arb_flaming_scimitar_barracks_3
arb_flaming_scimitar_support_monsters_1	arb_flaming_scimitar_support_monsters_2
arb_flaming_scimitar_support_monsters_2	arb_flaming_scimitar_support_monsters_3
arb_flaming_scimitar_support_mages_1	arb_flaming_scimitar_support_mages_2
arb_flaming_scimitar_structure_movement_1	arb_flaming_scimitar_structure_movement_2
arb_flaming_scimitar_structure_movement_2	arb_flaming_scimitar_structure_movement_3
arb_flaming_scimitar_structure_upkeep_1	arb_flaming_scimitar_structure_upkeep_2
arb_flaming_scimitar_structure_upkeep_2	arb_flaming_scimitar_structure_upkeep_3
arb_flaming_scimitar_structure_replenishment_1	arb_flaming_scimitar_structure_replenishment_2
arb_flaming_scimitar_structure_replenishment_2	arb_flaming_scimitar_structure_replenishment_3
arb_flaming_scimitar_structure_growth_1	arb_flaming_scimitar_structure_growth_2
arb_flaming_scimitar_structure_growth_2	arb_flaming_scimitar_structure_growth_3
arb_flaming_scimitar_defense_magical_bombardment_1	arb_flaming_scimitar_defense_magical_bombardment_2
arb_golden_magus_special_galleon_graveyard_ruin	arb_golden_magus_special_galleon_graveyard_1
ovn_araby_settlement_major_1	ovn_araby_settlement_major_2
ovn_araby_settlement_major_2	ovn_araby_settlement_major_3
ovn_araby_settlement_major_3	ovn_araby_settlement_major_4
ovn_araby_settlement_major_4	ovn_araby_settlement_major_5
ovn_araby_settlement_major_ruin	ovn_araby_settlement_major_1
ovn_araby_settlement_minor_1	ovn_araby_settlement_minor_2
ovn_araby_settlement_minor_2	ovn_araby_settlement_minor_3
ovn_araby_settlement_minor_ruin	ovn_araby_settlement_minor_1
