key	skeleton
#battle_animations_table_tables;0;db/battle_animations_table_tables/ovn_araby_only	
el1_elephant	elephant01
wm_elephant_cannon01	elephantcannon01
wm_grand_bombard01	grandbombard01
wm_djinn_carriage01	djinncarriage01
fc1_flying_carpet	flyingcarpet01
gh1_araby_genie	ghost01
gh4_araby_desert_spirit	ghost04
hc7_araby_tempest_djinn	hybridcreature07
hu1b_araby_sea_nymph	humanoid01b
hu9b_araby_fire_efreet	humanoid09b
hu2_waghzen_bo1_hippo_club	humanoid02
hc1_enchanted_rope	hybridcreature01
cm1_camel	camel01
hu1_araby_cm1_camel_sword_and_bow	humanoid01
hu1_araby_cm1_camel_sword_and_jezzail	humanoid01
hu1_araby_cm1_camel_spear_and_shield	humanoid01
wm_naphtha_thrower01	naphthathrower01
fc2_flying_carpet	flyingcarpet02
hu1_araby_fc2_carpet_halberd_and_bow	humanoid01
hu1_araby_fc2_carpet_staff_and_sword	humanoid01
hu1_mirage_spear_and_shield	humanoid01
hu1_arabyan_sword_and_longbow	humanoid01
hu1b_fatandira_dualswords_bow	humanoid01b
hu1b_hr1_fatandira_dualswords_bow	humanoid01b
hu1b_fatandira_bi1_eagle_wb_sword_and_bow	humanoid01b
arb_hu1_elephant_mahout_rider	humanoid01
hu1_arb_corsairs_dual_swords_pistol	humanoid01
hu1_arb_southlander_2h_sword	humanoid01
arb_boltthrower1b_ballista	boltthrower01b
arb_hu1_jaffar_staff_and_sword	humanoid01
arb_djinn_carriage_djinn_cultist	humanoid01
hu1_arb_sorcerer_staff_and_sword	humanoid01
hu1_arb_jezzail_ror_rifle_2h_mace	humanoid01
arb_hu1_golden_magus_sword_lamp	humanoid01
hu1_hr1_arb_sipahi_ror_lance	humanoid01
hu1_arb_dual_hammer_dervish	humanoid01
hu1_hr1_arb_javelin_shield	humanoid01
hu1_fc7_arb_sword_naffatun_ror	humanoid01
hu1_ravager_kasabar_crew_naffatun	humanoid01
bl3_araby_air_skiff	balloon03
gh1_arb_jaffar_genie	ghost01
hu1e_arb_sheikh_sword	humanoid01e
wm_bolt_thrower04	boltthrower04
wm_bolt_thrower04_ror	boltthrower04
arb_hu1_emir_2h_halberd	humanoid01
hu1_arb_dual_words_handbow_hashishin	humanoid01
