key	precursor	default_projectile	audio_type	use_secondary_ammo_pool
#missile_weapons_tables;11;db/missile_weapons_tables/ovn_araby_only				
ovn_arb_flying_carpet_naphtha	false	ovn_arb_flying_carpet_naphtha		false
ovn_arb_flying_carpet_bow	false	ovn_arb_flying_carpet_arrow	bow	false
ovn_arb_flying_carpet_bow_ror	false	ovn_arb_flying_carpet_arrow_ror	bow	false
ovn_arb_elephant_cannon	false	ovn_arb_elephant_cannon_ball	cannon	false
ovn_arb_grand_bombard	false	ovn_arb_grand_bombard_projectile	great_cannon	false
ovn_arb_grand_bombard_ror	false	ovn_arb_grand_bombard_projectile_ror	great_cannon	false
araby_nomad_ranger_bow	false	araby_nomad_ranger_arrow	bow	false
roy_arb_nomard_bow	false	roy_arb_nomad_bow_arrow	crossbow	false
ovn_arb_inf_jezzails_nomad	false	ovn_arb_inf_jezzails_bullet_nomad		false
ovn_arb_inf_jezzails	false	ovn_arb_inf_jezzails_bullet	repeater_rifle	false
ovn_arb_inf_jezzails_ror	false	ovn_arb_inf_jezzails_bullet_ror	repeater_rifle	false
arb_fatandira_bow	false	arb_fatandira_bow_arrow	bow_LH	false
ovn_arb_tempest_djinn	false	ovn_arb_tempest_djinn_shot	cannon	false
ovn_arb_tempest_djinn_ror	false	ovn_arb_tempest_djinn_shot_ror	cannon	false
ovn_arb_naphtha_thrower	false	ovn_arb_naphtha_thrower_shot		false
ovn_arb_naphtha_thrower_ror	false	ovn_arb_naphtha_thrower_shot_ror		false
arb_corsair_pistol	true	wh_dlc04_emp_free_company_pistol_bullet	pistol	false
arb_ballista	false	arb_ballista_projectile	bolt_large	false
arb_nomad_rider_javelin	false	arb_nomad_rider_javelin	javelin	false
arb_napthta_bomb	false	arb_napthta_bomb		false
arb_magus_skiff_cannons	false	arb_djinn_skiff_cannon_ball	cannon	false
ovn_arb_quadballista_bolts	false	ovn_arb_quadballista_bolts	bolt_launcher_eagle_claw	false
ovn_arb_quadballista_bolts_ror	false	ovn_arb_quadballista_bolts_ror	bolt_launcher_eagle_claw	false
