phase	stat	value	how
#special_ability_phase_stat_effects_tables;3;db/special_ability_phase_stat_effects_tables/ovn_araby_only			
ovn_spell_desert_curse_of_the_djinn	stat_armour	-24.0000	add
ovn_spell_desert_curse_of_the_djinn_upgraded	stat_resistance_magic	-30.0000	add
ovn_spell_desert_curse_of_the_djinn_upgraded	stat_armour	-24.0000	add
blood_howl	stat_morale	-4.0000	add
arb_jaffar_aura_will	stat_morale	8.0000	add
ovn_unit_contact_pressure_of_the_abyss	stat_melee_defence	-8.0000	add
ovn_unit_contact_pocket_sand	stat_morale	-7.0000	add
ovn_unit_contact_four_winds	stat_melee_attack	-9.0000	add
ovn_arb_baz_wep_08_matyr_shard_ability	stat_melee_damage_base	1.9000	mult
ovn_arb_baz_wep_08_matyr_shard_ability	stat_melee_attack	44.0000	add
ovn_arb_baz_wep_10_vengeful_sword_heal	stat_melee_damage_base	1.8000	mult
ovn_arb_baz_arm_09_faith_shield_ability	stat_melee_attack	-12.0000	add
ovn_arb_baz_arm_09_faith_shield_ability	stat_melee_damage_base	0.5000	mult
ovn_arb_baz_escape	stat_morale	10.0000	add
arb_golden_magus_burning_scimitar_ability	scalar_missile_damage_base	1.2500	mult
arb_golden_magus_burning_scimitar_ability	stat_melee_damage_base	1.3000	mult
arb_golden_magus_mistral	stat_resistance_all	12.0000	add
arb_golden_magus_wrath_djinn_passive	scalar_miscast_chance	1.5000	mult
arb_fatandira_desert_feint	scalar_speed	1.3600	mult
arb_fatandira_blades_demise_skill	stat_melee_damage_base	1.2500	mult
arb_fatandira_blades_demise_skill	scalar_missile_damage_base	1.2500	mult
ovn_arb_dervish_charge	scalar_speed	2.0000	mult
ovn_arb_dervish_charge	stat_charge_bonus	15.0000	add
ovn_arb_dervish_dance_1	stat_melee_attack	7.0000	add
ovn_arb_dervish_dance_1	stat_damage_reflection	3.0000	add
ovn_arb_dervish_dance_1	stat_melee_defence	-5.0000	add
ovn_arb_dervish_dance_2	stat_melee_attack	10.0000	add
ovn_arb_dervish_dance_2	stat_damage_reflection	6.0000	add
ovn_arb_dervish_dance_2	stat_melee_defence	-13.0000	add
ovn_arb_dervish_dance_3	stat_melee_attack	22.0000	add
ovn_arb_dervish_dance_3	stat_damage_reflection	9.0000	add
ovn_arb_dervish_dance_3	stat_melee_defence	-25.0000	add
ovn_arb_people_nomads	scalar_speed	1.1000	mult
ovn_arb_people_nomads	stat_reloading	1.1000	mult
ovn_arb_people_nomads	stat_charge_bonus	1.1000	mult
arb_guard_ror_jaffar_elite	stat_melee_attack	8.0000	add
arb_guard_ror_jaffar_elite	stat_melee_damage_ap	1.1200	mult
arb_guard_ror_jaffar_elite	stat_melee_damage_base	1.1200	mult
