campaign	source	target	attitude_base	negative_attitude_multiplier	positive_attitude_multiplier
#campaign_cultural_relations_tables;0;db/campaign_cultural_relations_tables/ovn_araby_only					
	ovn_sc_arb_araby	wh2_dlc09_sc_tmb_tomb_kings	-100.0000	2.0000	0.5000
	ovn_sc_arb_araby	wh2_dlc11_sc_cst_vampire_coast	-10.0000	1.0000	1.0000
	ovn_sc_arb_araby	wh2_main_sc_def_dark_elves	-40.0000	1.5000	0.7500
	ovn_sc_arb_araby	wh2_main_sc_hef_high_elves	0.0000	1.0000	1.0000
	ovn_sc_arb_araby	wh2_main_sc_lzd_lizardmen	-10.0000	1.2000	0.8500
	ovn_sc_arb_araby	wh2_main_sc_skv_skaven	0.0000	1.2000	0.7500
	ovn_sc_arb_araby	wh3_main_sc_cth_cathay	10.0000	1.0000	1.0000
	ovn_sc_arb_araby	wh3_main_sc_dae_daemons	-20.0000	1.2000	0.7500
	ovn_sc_arb_araby	wh3_main_sc_kho_khorne	-20.0000	1.2000	0.7500
	ovn_sc_arb_araby	wh3_main_sc_ksl_kislev	-10.0000	1.0000	1.0000
	ovn_sc_arb_araby	wh3_main_sc_nur_nurgle	-20.0000	1.2000	0.7500
	ovn_sc_arb_araby	wh3_main_sc_ogr_ogre_kingdoms	10.0000	1.0000	1.0000
	ovn_sc_arb_araby	wh3_main_sc_sla_slaanesh	-20.0000	1.2000	0.7500
	ovn_sc_arb_araby	wh3_main_sc_tze_tzeentch	-20.0000	1.2000	0.7500
	ovn_sc_arb_araby	wh_dlc03_sc_bst_beastmen	-100.0000	2.0000	0.5000
	ovn_sc_arb_araby	wh_dlc05_sc_wef_wood_elves	-10.0000	1.0000	1.0000
	ovn_sc_arb_araby	wh_dlc08_sc_nor_norsca	-20.0000	1.2000	0.7500
	ovn_sc_arb_araby	wh_main_sc_brt_bretonnia	-100.0000	2.0000	0.5000
	ovn_sc_arb_araby	wh_main_sc_chs_chaos	-10.0000	1.2000	0.7000
	ovn_sc_arb_araby	wh_main_sc_dwf_dwarfs	0.0000	1.0000	1.0000
	ovn_sc_arb_araby	wh_main_sc_emp_empire	-25.0000	1.0000	0.7500
	ovn_sc_arb_araby	wh_main_sc_grn_greenskins	-100.0000	2.0000	0.5000
	ovn_sc_arb_araby	wh_main_sc_grn_savage_orcs	-100.0000	2.0000	0.5000
	ovn_sc_arb_araby	wh_main_sc_teb_teb	-50.0000	2.0000	0.5000
	ovn_sc_arb_araby	wh_main_sc_vmp_vampire_counts	-50.0000	2.0000	0.5000
	ovn_sc_arb_araby	ovn_sc_ama_amazon	0.0000	1.0000	1.0000
	ovn_sc_arb_araby	ovn_sc_arb_araby	10.0000	1.0000	1.0000
	ovn_sc_arb_araby	ovn_sc_halflings	0.0000	1.0000	1.0000
	ovn_sc_arb_araby	ovn_sc_troll_troll	-30.0000	2.0000	0.5000
	ovn_sc_arb_araby	ovn_sc_fim_fimir	-25.0000	2.0000	1.0000
	ovn_sc_arb_araby	ovn_sc_mar_marienburg	10.0000	1.0000	1.0000
	wh2_dlc11_sc_cst_vampire_coast	ovn_sc_arb_araby	-20.0000	1.0000	1.0000
	wh2_main_sc_def_dark_elves	ovn_sc_arb_araby	-40.0000	2.0000	0.5000
	wh2_main_sc_hef_high_elves	ovn_sc_arb_araby	-10.0000	1.0000	0.5000
	wh2_main_sc_lzd_lizardmen	ovn_sc_arb_araby	-20.0000	1.3000	0.9000
	wh2_main_sc_skv_skaven	ovn_sc_arb_araby	-10.0000	1.0000	1.0000
	wh3_main_sc_cth_cathay	ovn_sc_arb_araby	0.0000	1.0000	1.0000
	wh3_main_sc_dae_daemons	ovn_sc_arb_araby	-50.0000	1.5000	0.7000
	wh3_main_sc_kho_khorne	ovn_sc_arb_araby	-50.0000	1.5000	0.7000
	wh3_main_sc_ksl_kislev	ovn_sc_arb_araby	-5.0000	1.0000	1.0000
	wh3_main_sc_nur_nurgle	ovn_sc_arb_araby	-50.0000	1.5000	0.7000
	wh3_main_sc_ogr_ogre_kingdoms	ovn_sc_arb_araby	0.0000	1.2000	1.0000
	wh3_main_sc_sla_slaanesh	ovn_sc_arb_araby	-50.0000	1.5000	0.7000
	wh3_main_sc_tze_tzeentch	ovn_sc_arb_araby	-50.0000	1.5000	0.7000
	wh_dlc03_sc_bst_beastmen	ovn_sc_arb_araby	-60.0000	2.0000	0.5000
	wh_dlc05_sc_wef_wood_elves	ovn_sc_arb_araby	0.0000	1.0000	1.0000
	wh_dlc08_sc_nor_norsca	ovn_sc_arb_araby	-25.0000	2.0000	0.5000
	wh_main_sc_brt_bretonnia	ovn_sc_arb_araby	-100.0000	2.0000	0.5000
	wh_main_sc_chs_chaos	ovn_sc_arb_araby	-45.0000	1.4000	0.8000
	wh_main_sc_dwf_dwarfs	ovn_sc_arb_araby	-5.0000	1.0000	1.0000
	wh_main_sc_emp_empire	ovn_sc_arb_araby	-25.0000	1.4000	0.8000
	wh_main_sc_grn_greenskins	ovn_sc_arb_araby	-40.0000	1.5000	0.7500
	wh_main_sc_grn_savage_orcs	ovn_sc_arb_araby	-40.0000	1.5000	0.7500
	wh_main_sc_teb_teb	ovn_sc_arb_araby	-50.0000	2.0000	0.5000
	wh_main_sc_vmp_vampire_counts	ovn_sc_arb_araby	-40.0000	2.0000	0.5000
	wh2_dlc09_sc_tmb_tomb_kings	ovn_sc_arb_araby	-30.0000	2.0000	0.5000
