child_key	parent_key	initial_descent_tiers	parent_link_position	child_link_position	parent_link_position_offset	child_link_position_offset	visible_in_ui
#technology_node_links_tables;0;db/technology_node_links_tables/ovn_araby_only							
araby_tech_bad_2	araby_tech_bad_1	0	2	4	0.0000	0.0000	true
araby_tech_bad_3	araby_tech_bad_2	0	2	4	0.0000	0.0000	true
araby_tech_bad_4	araby_tech_bad_2	0	2	4	0.0000	0.0000	true
araby_tech_bad_5	araby_tech_bad_2	0	2	4	0.0000	0.0000	true
araby_tech_bad_7	araby_tech_bad_3	0	2	4	0.0000	0.0000	true
araby_tech_bad_8	araby_tech_bad_4	0	2	4	0.0000	0.0000	true
araby_tech_bad_6	araby_tech_bad_7	0	1	3	0.0000	0.0000	true
araby_tech_good_2	araby_tech_good_1	0	2	4	0.0000	0.0000	true
araby_tech_good_3	araby_tech_good_2	0	2	4	0.0000	0.0000	true
araby_tech_good_4	araby_tech_good_2	0	2	4	0.0000	0.0000	true
araby_tech_good_5	araby_tech_good_2	0	2	4	0.0000	0.0000	true
araby_tech_good_6	araby_tech_good_4	0	2	4	0.0000	0.0000	true
araby_tech_good_7	araby_tech_good_5	0	2	4	0.0000	0.0000	true
araby_tech_good_8	araby_tech_good_7	0	3	1	0.0000	0.0000	true
araby_tech_neu_eco_3	araby_tech_neu_eco_4	0	1	3	0.0000	0.0000	true
araby_tech_good_9	araby_tech_good_2	0	1	3	0.0000	0.0000	true
araby_tech_bad_9	araby_tech_bad_2	0	3	1	0.0000	0.0000	true
scimitar_tech_bad_2	scimitar_tech_bad_1	0	2	4	0.0000	0.0000	true
scimitar_tech_bad_3	scimitar_tech_bad_2	0	2	4	0.0000	0.0000	true
scimitar_tech_bad_4	scimitar_tech_bad_2	0	2	4	0.0000	0.0000	true
scimitar_tech_bad_5	scimitar_tech_bad_2	0	2	4	0.0000	0.0000	true
scimitar_tech_bad_7	scimitar_tech_bad_3	0	2	4	0.0000	0.0000	true
scimitar_tech_bad_8	scimitar_tech_bad_4	0	2	4	0.0000	0.0000	true
scimitar_tech_bad_6	scimitar_tech_bad_7	0	1	3	0.0000	0.0000	true
scimitar_tech_good_2	scimitar_tech_good_1	0	2	4	0.0000	0.0000	true
scimitar_tech_good_3	scimitar_tech_good_2	0	2	4	0.0000	0.0000	true
scimitar_tech_good_4	scimitar_tech_good_2	0	2	4	0.0000	0.0000	true
scimitar_tech_good_5	scimitar_tech_good_2	0	2	4	0.0000	0.0000	true
scimitar_tech_good_6	scimitar_tech_good_4	0	2	4	0.0000	0.0000	true
scimitar_tech_good_7	scimitar_tech_good_5	0	2	4	0.0000	0.0000	true
scimitar_tech_good_8	scimitar_tech_good_7	0	3	1	0.0000	0.0000	true
scimitar_tech_neu_eco_3	scimitar_tech_neu_eco_4	0	1	3	0.0000	0.0000	true
scimitar_tech_good_9	scimitar_tech_good_2	0	1	3	0.0000	0.0000	true
scimitar_tech_bad_9	scimitar_tech_bad_2	0	3	1	0.0000	0.0000	true
scythan_tech_bad_2	scythan_tech_bad_1	0	2	4	0.0000	0.0000	true
scythan_tech_bad_3	scythan_tech_bad_2	0	2	4	0.0000	0.0000	true
scythan_tech_bad_4	scythan_tech_bad_2	0	2	4	0.0000	0.0000	true
scythan_tech_bad_5	scythan_tech_bad_2	0	2	4	0.0000	0.0000	true
scythan_tech_bad_7	scythan_tech_bad_3	0	2	4	0.0000	0.0000	true
scythan_tech_bad_8	scythan_tech_bad_4	0	2	4	0.0000	0.0000	true
scythan_tech_bad_6	scythan_tech_bad_7	0	1	3	0.0000	0.0000	true
scythan_tech_good_2	scythan_tech_good_1	0	2	4	0.0000	0.0000	true
scythan_tech_good_3	scythan_tech_good_2	0	2	4	0.0000	0.0000	true
scythan_tech_good_4	scythan_tech_good_2	0	2	4	0.0000	0.0000	true
scythan_tech_good_5	scythan_tech_good_2	0	2	4	0.0000	0.0000	true
scythan_tech_good_6	scythan_tech_good_4	0	2	4	0.0000	0.0000	true
scythan_tech_good_7	scythan_tech_good_5	0	2	4	0.0000	0.0000	true
scythan_tech_good_8	scythan_tech_good_7	0	3	1	0.0000	0.0000	true
scythan_tech_neu_eco_3	scythan_tech_neu_eco_4	0	1	3	0.0000	0.0000	true
scythan_tech_good_9	scythan_tech_good_2	0	1	3	0.0000	0.0000	true
scythan_tech_bad_9	scythan_tech_bad_2	0	3	1	0.0000	0.0000	true
