effect	bonus_value_id	agent
#effect_bonus_value_agent_junction_tables;0;db/effect_bonus_value_agent_junction_tables/ovn_fimir_only		
ovn_fim_effect_agent_xp_increase_elo_boglar_shaman	recruitment_level	wizard
ovn_fim_effect_agent_enable_recruitment_elo_boglar_shaman	availability	wizard
ovn_fim_effect_agent_cap_increase_elo_boglar_shaman	cap	wizard
ovn_fim_effect_agent_xp_increase_finmor	recruitment_level	champion
ovn_fim_effect_agent_enable_recruitment_finmor	availability	champion
ovn_fim_effect_agent_cap_increase_champion_finmor	cap	champion
ovn_fim_effect_agent_recruitment_xp_dignitary_fimir_balefiend	recruitment_level	dignitary
ovn_fim_effect_agent_enable_recruitment_dignitary_fimir_balefiend	availability	dignitary
ovn_fim_effect_agent_cap_increase_dignitary_fimir_balefiend	cap	dignitary
