key	building_level_key	building_model_id
#campaign_settlement_display_building_ids_tables;3;db/campaign_settlement_display_building_ids_tables/ovn_araby_golden_magus		
ovn_arb_flaming_scimitar_main_1	ovn_arb_flaming_scimitar_main_1	ovn_arb_flaming_scimitar_main_1
ovn_arb_flaming_scimitar_main_2	ovn_arb_flaming_scimitar_main_2	ovn_arb_flaming_scimitar_main_2
ovn_arb_flaming_scimitar_main_3	ovn_arb_flaming_scimitar_main_3	ovn_arb_flaming_scimitar_main_3
ovn_arb_flaming_scimitar_main_4	ovn_arb_flaming_scimitar_main_4	ovn_arb_flaming_scimitar_main_4
ovn_arb_flaming_scimitar_main_5	ovn_arb_flaming_scimitar_main_5	ovn_arb_flaming_scimitar_main_5
ovn_special_golden_magus_paradise_1	ovn_special_golden_magus_paradise_1	wh2_dlc11_special_galleons_graveyard
ovn_special_golden_magus_paradise_2	ovn_special_golden_magus_paradise_2	wh2_dlc11_special_galleons_graveyard
ovn_special_golden_magus_paradise_3	ovn_special_golden_magus_paradise_3	wh2_dlc11_special_galleons_graveyard
ovn_special_golden_magus_paradise_4	ovn_special_golden_magus_paradise_4	wh2_dlc11_special_galleons_graveyard
ovn_special_golden_magus_paradise_5	ovn_special_golden_magus_paradise_5	wh2_dlc11_special_galleons_graveyard
ovn_special_golden_magus_paradise_ruin	ovn_special_golden_magus_paradise_ruin	wh2_dlc11_special_galleons_graveyard_ruin
