key	building_level_key	building_model_id
#campaign_settlement_display_building_ids_tables;3;db/campaign_settlement_display_building_ids_tables/ovn_araby_primary		
ovn_araby_settlement_major_1	ovn_arb_settlement_major_1	ovn_building_arb_settlement_major_1
ovn_araby_settlement_major_2	ovn_arb_settlement_major_2	ovn_building_arb_settlement_major_2
ovn_araby_settlement_major_3	ovn_arb_settlement_major_3	ovn_building_arb_settlement_major_3
ovn_araby_settlement_major_4	ovn_arb_settlement_major_4	ovn_building_arb_settlement_major_4
ovn_araby_settlement_major_5	ovn_arb_settlement_major_5	ovn_building_arb_settlement_major_5
ovn_araby_settlement_major_ruin	ovn_arb_settlement_major_ruin	wh_main_building_human_ruin
ovn_araby_settlement_minor_1	ovn_arb_settlement_minor_1	ovn_building_arb_settlement_minor_1
ovn_araby_settlement_minor_2	ovn_arb_settlement_minor_2	ovn_building_arb_settlement_minor_2
ovn_araby_settlement_minor_3	ovn_arb_settlement_minor_3	ovn_building_arb_settlement_minor_3
ovn_araby_settlement_minor_ruin	ovn_arb_settlement_minor_ruin	wh_main_building_human_ruin
ovn_araby_special_settlement_al_haikk_1	ovn_arb_special_settlement_al_haikk_1	ovn_building_arb_special_settlement_al_haikk_1
ovn_araby_special_settlement_al_haikk_2	ovn_arb_special_settlement_al_haikk_2	ovn_building_arb_special_settlement_al_haikk_2
ovn_araby_special_settlement_al_haikk_3	ovn_arb_special_settlement_al_haikk_3	ovn_building_arb_special_settlement_al_haikk_3
ovn_araby_special_settlement_al_haikk_4	ovn_arb_special_settlement_al_haikk_4	ovn_building_arb_special_settlement_al_haikk_4
ovn_araby_special_settlement_al_haikk_5	ovn_arb_special_settlement_al_haikk_5	ovn_building_arb_special_settlement_al_haikk_5
ovn_araby_special_settlement_al_haikk_ruin	ovn_arb_special_settlement_al_haikk_ruin	wh_main_building_human_ruin
