base_battlefield_building	battlefield_building_logic	settlement_level	settlement_layer_group_id
#battlefield_building_to_settlement_levels_tables;3;db/battlefield_building_to_settlement_levels_tables/ovn_araby_settlement_map_and_walls			
arb_wall_tower	arb_wall_tower	1	settlement_level_1
arb_wall_tower	arb_wall_tower_01	2	settlement_towers_level_1
arb_wall_tower	arb_wall_tower_02	3	settlement_towers_level_2
arb_wall_tower	arb_wall_tower_03	4	settlement_towers_level_3
arb_wall_tower	arb_wall_tower_03	5	settlement_towers_level_3
arb_wall_straight_20m_01	arb_wall_straight_20m_01	1	settlement_level_1
arb_wall_straight_20m_01	arb_wall_straight_20m_02	2	settlement_towers_level_1
arb_wall_straight_20m_01	arb_wall_straight_20m_02	3	settlement_towers_level_2
arb_wall_straight_20m_01	arb_wall_straight_20m_03	4	settlement_towers_level_3
arb_wall_straight_20m_01	arb_wall_straight_20m_03	5	settlement_towers_level_3
arb_wall_gatehouse_60	arb_wall_gatehouse_60	1	settlement_level_1
arb_wall_gatehouse_60	arb_wall_gatehouse_60_02	2	settlement_towers_level_1
arb_wall_gatehouse_60	arb_wall_gatehouse_60_02	3	settlement_towers_level_2
arb_wall_gatehouse_60	arb_wall_gatehouse_60_03	4	settlement_towers_level_3
arb_wall_gatehouse_60	arb_wall_gatehouse_60_03	5	settlement_towers_level_3
