member	pooled_resource
#campaign_group_member_criteria_pooled_resources_tables;0;db/campaign_group_member_criteria_pooled_resources_tables/rhox_albion	
rhox_albion_wanted_level_0	rhox_albion_wanted
rhox_albion_wanted_level_1	rhox_albion_wanted
rhox_albion_wanted_level_2	rhox_albion_wanted
rhox_albion_wanted_level_3	rhox_albion_wanted
rhox_albion_wanted_level_4	rhox_albion_wanted
rhox_albion_wanted_level_5	rhox_albion_wanted
rhox_albion_progress_level_0	rhox_albion_progress
rhox_albion_progress_level_1	rhox_albion_progress
rhox_albion_progress_level_2	rhox_albion_progress
rhox_albion_progress_level_3	rhox_albion_progress
rhox_albion_progress_level_4	rhox_albion_progress
rhox_albion_progress_level_5	rhox_albion_progress
