id	art_set_id	level	age	portrait	season	uniform	card	info	sea_uniform	navy_uniform	land_animation	sea_animation	navy_animation	land_animation_vfx_filter	sea_animation_vfx_filter	navy_animation_vfx_filter
#campaign_character_arts_tables;0;db/campaign_character_arts_tables/ovn_araby_only																
159255510	ovn_art_set_arb_sultan_jaffar	0	0		none	ovn_arb_cha_sultan_jaffar_0			ovn_campaign_arb_ship_army	ovn_campaign_arb_ship_army	cam_hu1_empire_staff_and_sword	cam_light_ship_05	cam_light_ship_05	0	0	0
159255511	ovn_art_set_arb_sheikh_01	0	0		none	ovn_arb_cha_sheikh_01			ovn_campaign_arb_ship_army	ovn_campaign_arb_ship_army	cam_hu1e_sword_lord	cam_light_ship_05	cam_light_ship_05	0	0	0
159255512	ovn_art_set_arb_sheikh_02	0	0		none	ovn_arb_cha_sheikh_02			ovn_campaign_arb_ship_army	ovn_campaign_arb_ship_army	cam_hu1e_sword_lord	cam_light_ship_05	cam_light_ship_05	0	0	0
159255513	ovn_art_set_arb_sheikh_03	0	0		none	ovn_arb_cha_sheikh_03			ovn_campaign_arb_ship_army	ovn_campaign_arb_ship_army	cam_hu1e_sword_lord	cam_light_ship_05	cam_light_ship_05	0	0	0
159255514	ovn_art_set_arb_magician_life	0	0		none	ovn_uniform_arb_magician_life			ovn_campaign_arb_ship_agent	ovn_campaign_arb_ship_agent	cam_hu1_empire_staff_and_sword	cam_light_ship_05	cam_light_ship_05	0	0	0
159255515	ovn_art_set_arb_magician_desert	0	0		none	ovn_uniform_arb_magicican_desert			ovn_campaign_arb_ship_agent	ovn_campaign_arb_ship_agent	cam_hu1_empire_staff_and_sword	cam_light_ship_05	cam_light_ship_05	0	0	0
159255516	ovn_art_set_arb_magician_fire	0	0		none	ovn_uniform_arb_magicican_fire			ovn_campaign_arb_ship_agent	ovn_campaign_arb_ship_agent	cam_hu1_empire_staff_and_sword	cam_light_ship_05	cam_light_ship_05	0	0	0
159255517	ovn_art_set_arb_magician_heavens	0	0		none	ovn_uniform_arb_magician_heavens			ovn_campaign_arb_ship_agent	ovn_campaign_arb_ship_agent	cam_hu1_empire_staff_and_sword	cam_light_ship_05	cam_light_ship_05	0	0	0
159255518	ovn_art_set_arb_champion_01	0	0		none	ovn_arb_cha_champion_01			ovn_campaign_arb_ship_agent	ovn_campaign_arb_ship_agent	cam_hu1_arabya_hammer	cam_light_ship_05	cam_light_ship_05	0	0	0
