key	building_level_key	building_model_id
#campaign_settlement_display_building_ids_tables;3;db/campaign_settlement_display_building_ids_tables/ovn_fimir_buildings		
ovn_fimir_settlement_major_1	ovn_fimir_settlement_major_1	wh3_main_dae_settlement_major_1
ovn_fimir_settlement_major_2	ovn_fimir_settlement_major_2	wh3_main_dae_settlement_major_2
ovn_fimir_settlement_major_3	ovn_fimir_settlement_major_3	wh3_main_dae_settlement_major_3
ovn_fimir_settlement_major_4	ovn_fimir_settlement_major_4	wh3_main_dae_settlement_major_4
ovn_fimir_settlement_major_5	ovn_fimir_settlement_major_5	wh3_main_dae_settlement_major_5
ovn_fimir_settlement_major_ruin	ovn_fimir_settlement_major_ruin	wh_main_building_human_ruin
ovn_fimir_settlement_minor_1	ovn_fimir_settlement_minor_1	wh3_main_dae_settlement_minor_1
ovn_fimir_settlement_minor_2	ovn_fimir_settlement_minor_2	wh3_main_dae_settlement_minor_2
ovn_fimir_settlement_minor_3	ovn_fimir_settlement_minor_3	wh3_main_dae_settlement_minor_3
ovn_fimir_settlement_minor_ruin	ovn_fimir_settlement_minor_ruin	wh_main_building_human_ruin
