key	position_x	position_y	available_contracts	active_contracts_count	rounds_to_refresh
#campaign_map_route_nodes_tables;1;db/campaign_map_route_nodes_tables/ovn_araby_only_tow					
ovn_arb_jellabas_way_cr_oldworld_region_akendorf	1065	907		1	0
ovn_arb_jellabas_way_cr_oldworld_region_barak_varr	970	821		1	0
ovn_arb_jellabas_way_cr_oldworld_region_khypris	850	840		1	0
ovn_arb_jellabas_way_cr_oldworld_region_myrmidens	700	698		1	0
ovn_arb_jellabas_way_cr_oldworld_region_thessos	768	783		1	0
ovn_arb_jellabas_way_cr_oldworld_region_miragliano	560	863		1	0
ovn_arb_jellabas_way_cr_oldworld_region_remas	563	793		1	0
ovn_arb_jellabas_way_cr_oldworld_region_luccini	522	693		1	0
ovn_arb_jellabas_way_cr_oldworld_region_sartosa	483	640		1	0
ovn_arb_jellabas_way_cr_oldworld_region_alhaikk	51	455		1	0
ovn_arb_jellabas_way_cr_oldworld_region_fyrus	152	478		1	0
ovn_arb_jellabas_way_cr_oldworld_region_elkhabbath	236	406		1	0
ovn_arb_jellabas_way_cr_oldworld_region_djambiya	350	379		1	0
ovn_arb_jellabas_way_cr_oldworld_region_wadieltuareg	54	361		1	0
ovn_arb_jellabas_way_cr_oldworld_region_leshert	619	334		1	0
ovn_arb_jellabas_way_cr_oldworld_region_soqotra	621	531		1	0
ovn_arb_jellabas_way_cr_oldworld_region_grontimingrol	713	611		1	0
ovn_arb_jellabas_way_cr_oldworld_region_citadelofmyrmidia	856	778		1	0
ovn_arb_jellabas_way_cr_oldworld_region_magritta	303	865		1	0
ovn_arb_jellabas_way_cr_oldworld_region_gorgazan	603	460		1	0
ovn_arb_jellabas_way_cr_oldworld_region_bilbali	248	1003		1	0
ovn_arb_jellabas_way_cr_oldworld_region_wadielassad	81	423		1	0
ovn_arb_jellabas_way_cr_oldworld_region_hashashinslair	183	406		1	0
ovn_arb_jellabas_way_cr_oldworld_region_gobialain	303	386		1	0
ovn_arb_jellabas_way_cr_oldworld_region_wreckdesolation	509	376		1	0
ovn_arb_jellabas_way_cr_oldworld_region_stoneminetower	763	641		1	0
ovn_arb_jellabas_way_cr_oldworld_region_dokkaraz	939	803		1	0
ovn_arb_jellabas_way_cr_oldworld_region_isleofzul	1008	841		1	0
ovn_arb_jellabas_way_cr_oldworld_region_tileancoast	467	662		1	0
ovn_arb_jellabas_way_cr_oldworld_region_mintopua	537	641		1	0
ovn_arb_jellabas_way_cr_oldworld_region_riffraffa	583	744		1	0
ovn_arb_jellabas_way_cr_oldworld_region_urbimo	580	817		1	0
ovn_arb_jellabas_way_cr_oldworld_region_siernos	248	936		1	0
