key	position_x	position_y	available_contracts	active_contracts_count	rounds_to_refresh
#campaign_map_route_nodes_tables;1;db/campaign_map_route_nodes_tables/ovn_araby_only					
ovn_arb_jellabas_way_al_haik	507	326		1	0
ovn_arb_jellabas_way_lashiek	455	313		1	0
ovn_arb_jellabas_way_wizard_caliph	428	270		1	0
ovn_arb_jellabas_way_el_kalabad	538	275		1	0
ovn_arb_jellabas_way_pirate_coast	495	368		1	0
ovn_arb_jellabas_way_black_pyramid_of_nagash	583	278		1	0
ovn_arb_jellabas_way_springs_of_eternal_life	629	276		1	0
ovn_arb_jellabas_way_khemri	619	294		1	0
ovn_arb_jellabas_way_quatar	673	279		1	0
ovn_arb_jellabas_way_karag_orrud	713	312		1	0
ovn_arb_jellabas_way_granite_massif	745	307		1	0
ovn_arb_jellabas_way_numas	660	296		1	0
ovn_arb_jellabas_way_sudenburg	559	256		1	0
ovn_arb_jellabas_way_bhagar	606	253		1	0
ovn_arb_jellabas_way_ka_sabar	643	241		1	0
ovn_arb_jellabas_way_karak_zorn	677	221		1	0
ovn_arb_jellabas_way_lost_plateau	702	239		1	0
ovn_arb_jellabas_way_mount_arachnos	715	277		1	0
ovn_arb_jellabas_way_plain_of_tuskers	568	229		1	0
ovn_arb_jellabas_way_antoch	599	216		1	0
ovn_arb_jellabas_way_oreons_camp	643	210		1	0
ovn_arb_jellabas_way_the_golden_tower	674	199		1	0
ovn_arb_jellabas_way_teotiqua	722	193		1	0
ovn_arb_jellabas_way_tlaqua	555	210		1	0
ovn_arb_jellabas_way_deaths_head_monoliths	505	201		1	0
ovn_arb_jellabas_way_sun_tree_glades	600	198		1	0
ovn_arb_jellabas_way_cuexotl	646	176		1	0
ovn_arb_jellabas_way_nahuontl	602	155		1	0
ovn_arb_jellabas_way_nahuontl_leaf	563	153		1	0
ovn_arb_jellabas_way_zlatlan	640	125		1	0
ovn_arb_jellabas_way_yuatek	595	103		1	0
ovn_arb_jellabas_way_dawns_light	585	79		1	0
ovn_arb_jellabas_way_dawns_light_leaf	579	58		1	0
ovn_arb_jellabas_way_fortress_of_dawn	549	74		1	0
ovn_arb_jellabas_way_tor_surpindar	604	69		1	0
ovn_arb_jellabas_way_caverns_of_sotek	675	96		1	0
ovn_arb_jellabas_way_caverns_of_sotek_leaf	668	107		1	0
ovn_arb_jellabas_way_temple_avenue_of_gold	703	131		1	0
ovn_arb_jellabas_way_soteks_trail	719	159		1	0
ovn_arb_jellabas_way_the_cursed_jungle	757	211		1	0
ovn_arb_jellabas_way_serpent_coast	790	227		1	0
ovn_arb_jellabas_way_temple_of_skulls	780	252		1	0
ovn_arb_jellabas_way_doom_glade	797	283		1	0
ovn_arb_jellabas_way_doom_glade_leaf	813	279		1	0
ovn_arb_jellabas_way_lybaras	806	319		1	0
ovn_arb_jellabas_way_lahmia	799	350		1	0
ovn_arb_jellabas_way_lybaras_leaf	823	321		1	0
ovn_arb_jellabas_way_rasetra	775	287		1	0
ovn_arb_jellabas_way_mahrak	770	315		1	0
ovn_arb_jellabas_way_tower_of_the_stars	927	171		1	0
ovn_arb_jellabas_way_the_cursed_jungle_leaf	740	219		1	0
ovn_arb_jellabas_way_teotiqua_leaf	738	183		1	0
ovn_arb_jellabas_way_temple_avenue_of_gold_leaf	713	124		1	0
ovn_arb_jellabas_way_tor_surpindar_leaf	612	80		1	0
ovn_arb_jellabas_way_yuatek_leaf	608	101		1	0
ovn_arb_jellabas_way_zlatlan_leaf	610	119		1	0
ovn_arb_jellabas_way_statues_of_the_gods	552	177		1	0
ovn_arb_jellabas_way_sun_tree_glades_leaf	614	178		1	0
ovn_arb_jellabas_way_tlaqua_leaf	546	198		1	0
ovn_arb_jellabas_way_sartosa	498	387		1	0
ovn_arb_jellabas_way_tilean_sea	471	414		1	0
ovn_arb_jellabas_way_miragliano	499	462		1	0
ovn_arb_jellabas_way_magritta	415	435		1	0
ovn_arb_jellabas_way_black_gulf	572	416		1	0
ovn_arb_jellabas_way_myrmidens	579	439		1	0
ovn_arb_jellabas_way_deeper_black_gulf	637	500		1	0
ovn_arb_jellabas_way_akendorf	673	532		1	0
ovn_arb_jellabas_way_karag_orrud_leaf	727	309		1	0
