attrition	faction
#campaign_map_attrition_faction_immunities_tables;0;db/campaign_map_attrition_faction_immunities_tables/ovn_fimir	
chaos_territory	ovn_fim_rancor_hold
disease	ovn_fim_rancor_hold
swamp	ovn_fim_rancor_hold
non_vampire_territory	ovn_fim_rancor_hold
nurgle_plague	ovn_fim_rancor_hold
mountain	ovn_fim_rancor_hold
chaos_wastes	ovn_fim_rancor_hold
chaos_territory	ovn_fim_tendrils_of_doom
disease	ovn_fim_tendrils_of_doom
swamp	ovn_fim_tendrils_of_doom
non_vampire_territory	ovn_fim_tendrils_of_doom
nurgle_plague	ovn_fim_tendrils_of_doom
mountain	ovn_fim_tendrils_of_doom
chaos_wastes	ovn_fim_tendrils_of_doom
chaos_territory	ovn_fim_mist_dragons
disease	ovn_fim_mist_dragons
swamp	ovn_fim_mist_dragons
non_vampire_territory	ovn_fim_mist_dragons
nurgle_plague	ovn_fim_mist_dragons
mountain	ovn_fim_mist_dragons
chaos_wastes	ovn_fim_mist_dragons
chaos_territory	ovn_fim_marsh_hornets
disease	ovn_fim_marsh_hornets
swamp	ovn_fim_marsh_hornets
non_vampire_territory	ovn_fim_marsh_hornets
nurgle_plague	ovn_fim_marsh_hornets
mountain	ovn_fim_marsh_hornets
chaos_wastes	ovn_fim_marsh_hornets
ovn_fimir_mist	ovn_fim_rancor_hold
ovn_fimir_mist	ovn_fim_tendrils_of_doom
ovn_fimir_mist	ovn_fim_mist_dragons
ovn_fimir_mist	ovn_fim_marsh_hornets
chaos_territory	mixer_fim_fimir_dummy
disease	mixer_fim_fimir_dummy
swamp	mixer_fim_fimir_dummy
non_vampire_territory	mixer_fim_fimir_dummy
nurgle_plague	mixer_fim_fimir_dummy
mountain	mixer_fim_fimir_dummy
chaos_wastes	mixer_fim_fimir_dummy
ovn_fimir_mist	mixer_fim_fimir_dummy
chaos_territory	ovn_fim_thunderous_sight
disease	ovn_fim_thunderous_sight
swamp	ovn_fim_thunderous_sight
non_vampire_territory	ovn_fim_thunderous_sight
nurgle_plague	ovn_fim_thunderous_sight
mountain	ovn_fim_thunderous_sight
chaos_wastes	ovn_fim_thunderous_sight
ovn_fimir_mist	ovn_fim_thunderous_sight
chaos_territory	ovn_fim_fen_serpents
disease	ovn_fim_fen_serpents
swamp	ovn_fim_fen_serpents
non_vampire_territory	ovn_fim_fen_serpents
nurgle_plague	ovn_fim_fen_serpents
mountain	ovn_fim_fen_serpents
chaos_wastes	ovn_fim_fen_serpents
ovn_fimir_mist	ovn_fim_fen_serpents
chaos_territory	ovn_fim_hell_gate
disease	ovn_fim_hell_gate
swamp	ovn_fim_hell_gate
non_vampire_territory	ovn_fim_hell_gate
nurgle_plague	ovn_fim_hell_gate
mountain	ovn_fim_hell_gate
chaos_wastes	ovn_fim_hell_gate
ovn_fimir_mist	ovn_fim_hell_gate
