agent_subtype	ancillary
#ancillaries_included_agent_subtypes_tables;0;db/ancillaries_included_agent_subtypes_tables/ovn_grudgebringers	
morgan_bernhardt	morgan_bernhardt_mount
luther_flamenstrike	luther_flamenstrike_mount
morgan_bernhardt	grudge_item_enchanted_shield
morgan_bernhardt	grudge_item_grudgebringer_sword
ludwig_uberdorf_agent_subtype	ludwig_uberdorf_steam_tank
ludwig_uberdorf_agent_subtype	ludwig_uberdorf_mechanical_steed
ludwig_uberdorf_agent_subtype	ludwig_uberdorf_mount
ceridan	grudge_item_sword_of_eilor
dwarf_envoy	grudge_anc_rune_rune_of_fury
dwarf_envoy	grudge_anc_rune_rune_of_might
dwarf_envoy	grudge_anc_rune_rune_of_parrying
dwarf_envoy	grudge_anc_rune_rune_of_striking
ice_mage_vladimir_stormbringer	vladimir_stormbringer_mount
allor	allor_griffon
ceridan	ceridan_eagle
matthias	matthias_war_wagon
dwarf_envoy	dwarf_envoy_oath_stone
