key	type	applies_to	transferrable	unique_to_world	unique_to_faction	precedence	start_date	end_date	avatar_skill	avatar_special_ability	legendary_item	mp_exclusive	is_wife_ancillary	category	min_starting_age	max_starting_age	min_expiry_age	max_expiry_age	immortal	provided_bodyguard_unit	provided_banner	uniqueness_score	turns_before_swap_allowed	subcategory	randomly_dropped	can_be_stolen	can_be_destroyed	faction_set
#ancillaries_tables;0;db/ancillaries_tables/ovn_araby_only																												
ovn_anc_mount_arb_magician_life_magic_carpet	wh_main_anc_mount_magic_carpet	.	false	false	false	1	0	9999			false	false	false	mount	16	30	30	50	true	ovn_arb_cha_magician_life_2		1	0		false	false	true	anc_set_exclusive_sc_araby
ovn_anc_mount_arb_magician_life_djinn_vessel	ovn_anc_arb_camel	.	false	false	false	1	0	9999			false	false	false	mount	16	30	30	50	true	ovn_arb_cha_magician_life_1		1	0		false	false	true	anc_set_exclusive_sc_araby
ovn_anc_mount_arb_magician_desert_magic_carpet	wh_main_anc_mount_magic_carpet	.	false	false	false	1	0	9999			false	false	false	mount	16	30	30	50	true	ovn_arb_cha_magician_desert_2		1	0		false	false	true	anc_set_exclusive_sc_araby
ovn_anc_mount_arb_magician_desert_djinn_vessel	ovn_anc_arb_camel	.	false	false	false	1	0	9999			false	false	false	mount	16	30	30	50	true	ovn_arb_cha_magician_desert_1		1	0		false	false	true	anc_set_exclusive_sc_araby
ovn_anc_mount_arb_magician_fire_magic_carpet	wh_main_anc_mount_magic_carpet	.	false	false	false	1	0	9999			false	false	false	mount	16	30	30	50	true	ovn_arb_cha_magician_fire_2		1	0		false	false	true	anc_set_exclusive_sc_araby
ovn_anc_mount_arb_magician_fire_djinn_vessel	ovn_anc_arb_camel	.	false	false	false	1	0	9999			false	false	false	mount	16	30	30	50	true	ovn_arb_cha_magician_fire_1		1	0		false	false	true	anc_set_exclusive_sc_araby
ovn_anc_mount_arb_magician_heavens_magic_carpet	wh_main_anc_mount_magic_carpet	.	false	false	false	1	0	9999			false	false	false	mount	16	30	30	50	true	ovn_arb_cha_magician_heavens_2		1	0		false	false	true	anc_set_exclusive_sc_araby
ovn_anc_mount_arb_magician_heavens_djinn_vessel	ovn_anc_arb_camel	.	false	false	false	1	0	9999			false	false	false	mount	16	30	30	50	true	ovn_arb_cha_magician_heavens_1		1	0		false	false	true	anc_set_exclusive_sc_araby
ovn_araby_Serpent_Staff	wh_main_anc_weapon	.	false	false	false	1	0	9999			true	false	false	weapon	16	30	30	50	true			200	0		false	false	false	anc_set_exclusive_sc_araby
