key	generate	localised_description	localised_title	ui_image	prioritized	event_category	sound_popup_override	sound_click_override	override_icon	is_large_dilemma
#dilemmas_tables;3;db/dilemmas_tables/rhox_araby										
rhox_araby_jaffar_dilemma_cathay_caravan	false	A lonely Caravan has been spotted trundling through nearby land, bearing the banners of Cathay. No doubt the products of the so-called Celestial Empire would be worth snatching for ourselves, yet such spoils are not likely to lie unguarded.\n\nA choice between killing or caution. It seems the answer is clear...	Convoy Encounter! Cathay Caravan	cst/legendary_pirate_attacks	false	Event	UI_CAM_EVENT_Dilemma		ovn_arb_event_caravan_neutral.png	false
rhox_araby_jaffar_dilemma_dwarfs	false	A wandering Convoy of our weak-willed former kin has stumbled into our lands. Their very presence here is an offence to the Father of Darkness, one that should be wiped away with blood! Now, do we slaughter them all or massacre them? Annihilation perhaps? So many choices...	Convoy Encounter! A Dwarf Too Far	cst/legendary_pirate_attacks	false	Event	UI_CAM_EVENT_Dilemma		ovn_arb_event_caravan_neutral.png	false
rhox_araby_jaffar_dilemma_far_from_home	false	Signs of a troop column have been spotted ahead. Judging by the tracks, it looks as though this force has been moving without sleep or pause. Cresting the next hill, the gleam of bone and gold can be seen throughout the army. A host of Tomb Kings, richly adorned, is marching through this area. Their destination is unclear, but their opulence is not. We could descend upon them, and claim their riches for ourselves!	Convoy Encounter! Unceasing March	cst/legendary_pirate_attacks	false	Event	UI_CAM_EVENT_Dilemma		ovn_arb_event_caravan_neutral.png	false
rhox_araby_jaffar_dilemma_fresh_battlefield	false	An eager tribe of half-brained Hobgoblins have appeared from seemingly nowhere, intending to offer their services; Hashut only knows where they were hiding! Despite their frankly annoying enthusiasm, their blades could come in handy... or perhaps you could make use of this 'blessing' they keep rambling on about...	Convoy Encounter! Hobgoblin Tribute	cst/legendary_pirate_attacks	false	Event	UI_CAM_EVENT_Dilemma		ovn_arb_event_caravan_neutral.png	false
rhox_araby_jaffar_dilemma_hungry_daemons	false	Traversing realms is hungry work if these Daemons we've encountered are to be believed. You could choose to sate their gluttonous appetites in the hopes of avoiding a fight. Yet, on the other hand, death would solve their hunger too…	Convoy Encounter! Hungry Daemons	cst/legendary_pirate_attacks	false	Event	UI_CAM_EVENT_Dilemma		ovn_arb_event_caravan_neutral.png	false
rhox_araby_jaffar_dilemma_localised_elfs	false	Unfortunate wretches of many races toil amid the poisoned air and burning ash of the Dark Lands. Yet while out on assignment, even our Convoy knows not to pass up the opportunity to attain more of the "right tools" for the job, having encountered a High Elf host from whom much profit could be forcibly reaped – both in long-limbed Labourers and loot reaped from beardless corpses.	Convoy Encounter! Elfy Profits	cst/legendary_pirate_attacks	false	Event	UI_CAM_EVENT_Dilemma		ovn_arb_event_caravan_neutral.png	false
rhox_araby_jaffar_dilemma_offence_or_defence	false	A Hobgoblin Wolf Raider is being readied to ride out with a resupply of improved Hell-Forge Armoury surplus for the Convoy. While ensuring he delivers as much as his scrawny frame can carry, we also need to decide which equipment will give the Convoy the greatest chance of successfully repelling any threats.	Convoy Encounter! Hell-Forge in a Handbasket	cst/legendary_pirate_attacks	false	Event	UI_CAM_EVENT_Dilemma		ovn_arb_event_caravan_neutral.png	false
rhox_araby_jaffar_dilemma_ogre_mercenaries	false	The strength of an Ogre is unmatched anywhere! At least, that's what this group of rotund mercenaries assured us when offering to guard our trade Convoy on its route. Though the might of the Dawi-Zharr no doubt puts their claim to shame, the extra muscle wouldn't go amiss. Ogres' services, however, certainly would not come free of charge.	Convoy Encounter! Ogre Mercenaries	cst/legendary_pirate_attacks	false	Event	UI_CAM_EVENT_Dilemma		ovn_arb_event_caravan_neutral.png	false
rhox_araby_jaffar_dilemma_power_overwhelming	false	Without warning, a chasm in the earth spontaneously appears in front of the Convoy forming a gaping mouth of razor-sharp teeth. A torrent of whispers floods the heads of the warriors, all repeating the same thing.\n\n[[i]]"Feed me, and overwhelming power shall be yours…"[[/i]]	Convoy Encounter! One Maw for the Road	cst/legendary_pirate_attacks	false	Event	UI_CAM_EVENT_Dilemma		ovn_arb_event_caravan_neutral.png	false
