key	num_instances
#building_instances_tables;0;db/building_instances_tables/ovn_araby_special	
ovn_special_tomb_of_the_death_scarab	1
ovn_special_palace_of_the_great_sultan	1
ovn_special_gardens_of_bel-aliad	1
ovn_special_tomb_of_mullah_akland	1
ovn_special_ivory_palace_of_ka-sabar	1
ovn_special_madrasat_el-sehr	1
ovn_special_fortress_of_nafel_muq	1
ovn_special_the_black-gold_tower	1
ovn_special_crypt_of_abdul_ben_rachid	1
ovn_special_portal_of_twilight	1
ovn_special_galleons_graveyard_wreck	1
ovn_special_copher_port_araby	1
ovn_special_college_of_sorcerers	1
ovn_special_great_slave_market	1
ovn_special_atalan_mountain_peaks	1
ovn_special_galleons_graveyard_magus	1
