key	num_instances
#building_instances_tables;0;db/building_instances_tables/ovn_araby_golden_magus	
ovn_arb_flaming_scimitar_main	1
ovn_arb_flaming_scimitar_barracks	1
ovn_arb_flaming_scimitar_nomad_infantry	1
ovn_arb_flaming_scimitar_support_monsters	1
ovn_arb_flaming_scimitar_support_mages	1
ovn_arb_flaming_scimitar_structure_movement	1
ovn_arb_flaming_scimitar_structure_upkeep	1
ovn_arb_flaming_scimitar_structure_replenishment	1
ovn_arb_flaming_scimitar_structure_growth	1
ovn_arb_flaming_scimitar_defense_bombardment	1
ovn_arb_flaming_scimitar_unique_minaret	1
