uniform_name	filename	battle_filename	campaign_porthole_filename	campaign_politician_filename	campaign_override_skeleton
#agent_uniforms_tables;10;db/agent_uniforms_tables/ovn_grudgebringers_only					
ice_mage_vladimir_stormbringer	ice_mage_vladimir_stormbringer	ice_mage_vladimir_stormbringer	ice_mage_vladimir_stormbringer		
ceridan	ceridan	ceridan	ceridan		
morgan_bernhardt	morgan_bernhardt	morgan_bernhardt	morgan_bernhardt		
dwarf_envoy	dwarf_envoy	dwarf_envoy	dwarf_envoy		
gaston	gaston	gaston	gaston		
ludwig_uberdorf_agent_uniforms	ludwig_uberdorf_variant_name	ludwig_uberdorf_variant_name	ludwig_uberdorf_variant_name		
ludwig_uberdorf_mount_agent_uniforms	cam_ludwig_uberdorf_mount_variant_name	ludwig_uberdorf_mount_variant_name	ludwig_uberdorf_variant_name		
ludwig_uberdorf_gyrobomber_agent_uniforms	ludwig_uberdorf_gyrobomber_variant_name	ludwig_uberdorf_gyrobomber_variant_name	ludwig_uberdorf_variant_name		
ludwig_uberdorf_mechanical_steed	ludwig_uberdorf_mechanical_steed	ludwig_uberdorf_mechanical_steed	ludwig_uberdorf_variant_name		
ludwig_uberdorf_steam_tank_agent_uniforms	ludwig_uberdorf_variant_name	ludwig_uberdorf_steam_tank_variant_name	ludwig_uberdorf_variant_name		
ovn_troll_hag_lord_1	wh2_dlc15_grn_river_troll_hag_campaign_01	wh2_dlc15_grn_river_troll_hag_campaign_01	wh2_dlc15_grn_river_troll_hag_campaign_01		
matthias	matthias	matthias	matthias		
luther_flamenstrike	luther_flamenstrike	luther_flamenstrike	luther_flamenstrike		
ilmarin	ilmarin	ilmarin	ilmarin		
allor	allor	allor	allor		
