displayed_trait	displayed_trait_set
#cai_personality_displayed_trait_set_junctions_tables;0;db/cai_personality_displayed_trait_set_junctions_tables/ovn_araby	
wh3_cai_displayed_trait_aggressive	ovn_arb_sultanate_of_all_araby
ovn_araby_empire_builder	ovn_arb_sultanate_of_all_araby
wh3_cai_displayed_trait_vengeful	ovn_arb_sultanate_of_all_araby
wh3_cai_displayed_trait_slaver	ovn_arb_sultanate_of_all_araby
wh3_cai_displayed_trait_greedy	ovn_arb_golden_fleet
wh3_cai_displayed_trait_naval_aggressor	ovn_arb_golden_fleet
wh3_cai_displayed_trait_raider	ovn_arb_golden_fleet
wh3_cai_displayed_trait_slaver	ovn_arb_golden_fleet
wh3_cai_displayed_trait_diplomat	ovn_arb_aswad_scythans
wh3_cai_displayed_trait_guardian	ovn_arb_aswad_scythans
wh3_cai_displayed_trait_protective	ovn_arb_aswad_scythans
wh3_cai_displayed_trait_slaver	ovn_arb_minor
wh3_cai_displayed_trait_caravan_master	ovn_arb_minor
wh3_cai_displayed_trait_slaver	ovn_arb_minor_no_caravan
wh3_cai_displayed_trait_protective	ovn_arb_minor_no_caravan
