id	settlement_option	captive_option_outcome	settlement_type	acting_army_faction_effect_bundle	acting_army_faction_effect_bundle_turns	target_settlement_faction_effect_bundle	target_settlement_faction_effect_bundle_turns	group	acting_army_effect_bundle	acting_army_effect_bundle_turns	tooltip	icon	base_loot	building_loot_mod	resource_transaction	uses_small_ui_template	sort_order_override	disable_gaining_action_points_for_a_turn	required_resources	resource_loot_multiplier	required_tag	required_diplomatic_stance	audio_override	allowed_building_chains	capturing_force_resource_transaction	capturing_force_resource_loot_multiplier	captured_region_resource_transaction	captured_region_resource_loot_multiplier	captured_region_resource_building_level_multiplier	allowed_regions_groups
#culture_settlement_occupation_options_tables;7;db/culture_settlement_occupation_options_tables/ovn_araby_only																														
1791181982	occupation_decision_occupy	kill			0		0	rhox_araby_occupation_group		0		occupy	0.0000	1.0000		false	-1	true		0.0000						0.0000		0.0000	-1.0000	
1791181983	occupation_decision_resettle	none			0		0	rhox_araby_occupation_group		0		colonise	0.0000	1.0000		false	-1	true		0.0000						0.0000		0.0000	-1.0000	
1791181984	occupation_decision_raze_without_occupy	kill			0		0	rhox_araby_occupation_group		0		ovn_sc_arb_araby_raze	100.0000	0.2000		false	-1	true		0.0000						0.0000		0.0000	-1.0000	
1791181985	occupation_decision_sack	enslave			0		0	rhox_araby_occupation_group		0		sack	0.0000	1.0000		false	-1	true		0.0000						0.0000		0.0000	-1.0000	
1791181986	occupation_decision_do_nothing	none			0		0	rhox_araby_occupation_group		0		desolation	0.0000	1.0000		false	-1	true		0.0000						0.0000		0.0000	-1.0000	
1791181987	occupation_decision_colonise	none			0		0	rhox_araby_occupation_group	wh3_main_bundle_vulnerable_colonize	1		colonise	0.0000	1.0000		false	-1	true		0.0000						0.0000		0.0000	-1.0000	
1791181988	occupation_decision_loot	enslave			0		0	rhox_araby_occupation_group		0		loot	0.0000	1.0000		false	-1	true		0.5000						0.0000		0.0000	-1.0000	
1791181989	occupation_decision_raze_without_occupy	kill			0		0	rhox_araby_gm_occupation_group		0	Raze||All buildings are destroyed and the settlement is torched. The previous owners will like you a lot less.	ovn_sc_arb_araby_raze	0.0000	1.0000	wh3_main_occupation_reward_vampire_coast	false	-1	true		0.0000						0.0000		0.0000	-1.0000	
1791181990	occupation_decision_gift_to_another_faction	enslave		rhox_fatandira_friendship	5		0	rhox_araby_fatandira_numas_gift		0		scythan_transfer	0.0000	1.0000		false	-1	true		0.0000						0.0000		0.0000	-1.0000	
