bonus_value_id	effect	subculture
#effect_bonus_value_subculture_junctions_tables;0;db/effect_bonus_value_subculture_junctions_tables/ovn_araby_only		
diplomatic_mod	wh_main_faction_political_diplomacy_mod	ovn_sc_arb_araby
diplomatic_mod	wh3_main_faction_trait_diplomacy_mod_mazdamundi	ovn_sc_arb_araby
diplomatic_mod_tech	wh_main_faction_political_diplomacy_mod_technology	ovn_sc_arb_araby
favour_points_generation_percentage_mod	ovn_effect_allegiance_points_mod_araby	ovn_sc_arb_araby
diplomatic_mod	wh2_main_diplomatic_relations_crusaders_bad	ovn_sc_arb_araby
diplomatic_mod	wh2_main_diplomatic_relations_araby	ovn_sc_arb_araby
diplomatic_mod	wh2_main_faction_political_diplomacy_mod_men_high_elves	ovn_sc_arb_araby
diplomatic_mod	wh3_dlc25_effect_diplomacy_emp_ksl_cth_brt_teb_dwarfs	ovn_sc_arb_araby
diplomatic_mod	wh3_main_faction_political_diplomacy_mod_ogres_men	ovn_sc_arb_araby
diplomatic_mod_imperium	wh_main_effect_faction_imperium_diplomacy_penalty	ovn_sc_arb_araby
