building_chain	settlement_type	exclude
#settlement_type_to_building_chains_junctions_tables;1;db/settlement_type_to_building_chains_junctions_tables/ovn_araby_outpost		
ovn_arb_allied_outpost	wh3_dlc23_chd_factory	false
ovn_arb_allied_outpost	wh3_dlc23_chd_outpost	false
ovn_arb_allied_outpost	wh3_dlc23_chd_tower	false
ovn_arb_allied_outpost	wh3_main_dae_khorne	false
ovn_arb_allied_outpost	wh3_main_dae_nurgle	false
ovn_arb_allied_outpost	wh3_main_dae_slaanesh	false
ovn_arb_allied_outpost	wh3_main_dae_tzeentch	false
ovn_arb_allied_outpost	wh3_dlc27_dechala_thrall_camp	false
ovn_arb_allied_outpost	wh3_dlc27_dechala_war_pit	false
ovn_arb_allied_outpost	wh3_dlc27_norsca_altars_kho	false
ovn_arb_allied_outpost	wh3_dlc27_norsca_altars_nur	false
ovn_arb_allied_outpost	wh3_dlc27_norsca_altars_sla	false
ovn_arb_allied_outpost	wh3_dlc27_norsca_altars_tze	false
ovn_arb_allied_outpost	wh3_dlc27_norsca_altars_und	false
ovn_arb_allied_outpost	wh3_dlc27_norsca_core_settlement	false
