loading_quote	campaign
#loading_screen_quotes_to_campaigns_tables;2;db/loading_screen_quotes_to_campaigns_tables/ovn_grudgebringers	
ovn_grudgebringers_lore_1	wh3_main_combi_map_2
ovn_grudgebringers_lore_2	wh3_main_combi_map_2
ovn_grudgebringers_lore_3	wh3_main_combi_map_2
ovn_grudgebringers_lore_4	wh3_main_combi_map_2
ovn_grudgebringers_lore_5	wh3_main_combi_map_2
ovn_grudgebringers_lore_6	wh3_main_combi_map_2
ovn_grudgebringers_lore_1	wh3_main_combi_map_1
ovn_grudgebringers_lore_2	wh3_main_combi_map_1
ovn_grudgebringers_lore_3	wh3_main_combi_map_1
ovn_grudgebringers_lore_4	wh3_main_combi_map_1
ovn_grudgebringers_lore_5	wh3_main_combi_map_1
ovn_grudgebringers_lore_6	wh3_main_combi_map_1
