bullet_point	unit_key
#ui_unit_bullet_point_unit_overrides_tables;0;db/ui_unit_bullet_point_unit_overrides_tables/ovn_araby_only	
spellcaster	ovn_arb_cha_sultan_jaffar_0
armour_piercing	ovn_arb_cha_sultan_jaffar_djinn
terror	ovn_arb_cha_sultan_jaffar_djinn
anti_infantry	ovn_arb_cha_fatandira_0
melee_expert	ovn_arb_cha_fatandira_0
anti_large	ovn_arb_cha_fatandira_0
fire_whilst_moving	ovn_arb_cha_fatandira_0
melee_expert	ovn_arb_cha_fatandira_1
very_fast	ovn_arb_cha_fatandira_1
anti_large	ovn_arb_cha_fatandira_1
fire_whilst_moving	ovn_arb_cha_fatandira_1
melee_expert	ovn_arb_cha_fatandira_2
very_fast	ovn_arb_cha_fatandira_2
anti_large	ovn_arb_cha_fatandira_2
fire_whilst_moving	ovn_arb_cha_fatandira_2
spellcaster	ovn_arb_cha_golden_magus_0
spellcaster	ovn_arb_cha_golden_magus_1
spellcaster	ovn_arb_cha_golden_magus_2
always_flying	ovn_arb_cha_golden_magus_2
armoured	ovn_arb_cha_caravan_master
melee_expert	ovn_arb_cha_caravan_master
armoured	ovn_arb_cha_sheikh_0
melee_expert	ovn_arb_cha_sheikh_0
armoured	ovn_arb_cha_sheikh_1
melee_expert	ovn_arb_cha_sheikh_1
armoured	ovn_arb_cha_sheikh_2
melee_expert	ovn_arb_cha_sheikh_2
very_fast	ovn_arb_cha_sheikh_2
anti_infantry	ovn_arb_cha_sheikh_3
damage_dealer	ovn_arb_cha_sheikh_3
terror	ovn_arb_cha_sheikh_3
armoured	ovn_arb_cha_sheikh_mehmed_0
melee_expert	ovn_arb_cha_sheikh_mehmed_0
armoured	ovn_arb_cha_sheikh_mehmed_1
melee_expert	ovn_arb_cha_sheikh_mehmed_1
armoured	ovn_arb_cha_sheikh_mehmed_2
melee_expert	ovn_arb_cha_sheikh_mehmed_2
very_fast	ovn_arb_cha_sheikh_mehmed_2
anti_infantry	ovn_arb_cha_sheikh_mehmed_3
damage_dealer	ovn_arb_cha_sheikh_mehmed_3
terror	ovn_arb_cha_sheikh_mehmed_3
spellcaster	ovn_arb_cha_vizier_desert_0
spellcaster	ovn_arb_cha_vizier_desert_1
spellcaster	ovn_arb_cha_vizier_desert_2
very_fast	ovn_arb_cha_vizier_desert_2
spellcaster	ovn_arb_cha_vizier_desert_3
armoured	ovn_arb_cha_vizier_desert_3
magical_aura	ovn_arb_cha_vizier_desert_3
spellcaster	ovn_arb_cha_vizier_fire_0
spellcaster	ovn_arb_cha_vizier_fire_1
