child_key	parent_key	initial_descent_tiers	parent_link_position	child_link_position	parent_link_position_offset	child_link_position_offset	visible_in_ui
#technology_node_links_tables;0;db/technology_node_links_tables/ovn_araby_only							
jaffar_tech_unique_2	jaffar_tech_unique_1	0	2	4	0.0000	0.0000	true
jaffar_tech_unique_1	araby_tech_good_mil_1	0	2	4	0.0000	0.0000	true
scimitar_tech_unique_2	scimitar_tech_unique_1	0	2	4	0.0000	0.0000	true
scimitar_tech_unique_1	araby_tech_good_mil_1	0	2	4	0.0000	0.0000	true
scythan_tech_unique_2	scythan_tech_unique_1	0	2	4	0.0000	0.0000	true
scythan_tech_unique_1	araby_tech_good_mil_1	0	2	4	0.0000	0.0000	true
araby_tech_good_civ_1	scythan_tech_unique_0	0	2	4	0.0000	0.0000	true
araby_tech_good_civ_1	araby_tech_good_civ_0	0	2	4	0.0000	0.0000	true
araby_tech_good_civ_2	araby_tech_good_civ_1	0	1	3	0.0000	0.0000	true
araby_tech_good_civ_3	araby_tech_good_civ_1	0	2	4	0.0000	0.0000	true
araby_tech_good_civ_4	araby_tech_good_civ_1	0	2	4	0.0000	0.0000	true
araby_tech_good_civ_5	araby_tech_good_civ_1	0	2	4	0.0000	0.0000	true
araby_tech_good_civ_6	araby_tech_good_civ_4	0	2	4	0.0000	0.0000	true
araby_tech_good_civ_7	araby_tech_good_civ_5	0	2	4	0.0000	0.0000	true
araby_tech_good_civ_8	araby_tech_good_civ_7	0	3	1	0.0000	0.0000	true
araby_tech_good_final_0	araby_tech_good_civ_8	0	3	1	0.0000	0.0000	true
araby_tech_bad_civ_1	araby_tech_bad_civ_0	0	4	2	0.0000	0.0000	true
araby_tech_bad_civ_2	araby_tech_bad_civ_1	0	1	3	0.0000	0.0000	true
araby_tech_bad_civ_3	araby_tech_bad_civ_1	0	4	2	0.0000	0.0000	true
araby_tech_bad_civ_4	araby_tech_bad_civ_1	0	4	2	0.0000	0.0000	true
araby_tech_bad_civ_5	araby_tech_bad_civ_1	0	4	2	0.0000	0.0000	true
araby_tech_bad_civ_6	araby_tech_bad_civ_4	0	4	2	0.0000	0.0000	true
araby_tech_bad_civ_7	araby_tech_bad_civ_5	0	4	2	0.0000	0.0000	true
araby_tech_bad_civ_8	araby_tech_bad_civ_7	0	3	1	0.0000	0.0000	true
araby_tech_bad_final_0	araby_tech_bad_civ_8	0	3	1	0.0000	0.0000	true
araby_tech_good_mil_1	araby_tech_good_mil_0	0	2	4	0.0000	0.0000	true
araby_tech_good_mil_2	araby_tech_good_mil_1	0	3	1	0.0000	0.0000	true
araby_tech_good_mil_3	araby_tech_good_mil_1	0	2	4	0.0000	0.0000	true
araby_tech_good_mil_4	araby_tech_good_mil_1	0	2	4	0.0000	0.0000	true
araby_tech_good_mil_5	araby_tech_good_mil_1	0	2	4	0.0000	0.0000	true
araby_tech_good_mil_7	araby_tech_good_mil_3	0	2	4	0.0000	0.0000	true
araby_tech_good_mil_8	araby_tech_good_mil_4	0	2	4	0.0000	0.0000	true
araby_tech_good_mil_6	araby_tech_good_mil_7	0	1	3	0.0000	0.0000	true
araby_tech_good_final_0	araby_tech_good_mil_6	0	1	3	0.0000	0.0000	true
araby_tech_bad_mil_1	araby_tech_bad_mil_0	0	4	2	0.0000	0.0000	true
araby_tech_bad_mil_2	araby_tech_bad_mil_1	0	3	1	0.0000	0.0000	true
araby_tech_bad_mil_3	araby_tech_bad_mil_1	0	4	2	0.0000	0.0000	true
araby_tech_bad_mil_4	araby_tech_bad_mil_1	0	4	2	0.0000	0.0000	true
araby_tech_bad_mil_5	araby_tech_bad_mil_1	0	4	2	0.0000	0.0000	true
araby_tech_bad_mil_7	araby_tech_bad_mil_3	0	4	2	0.0000	0.0000	true
araby_tech_bad_mil_8	araby_tech_bad_mil_4	0	4	2	0.0000	0.0000	true
araby_tech_bad_mil_6	araby_tech_bad_mil_7	0	1	3	0.0000	0.0000	true
araby_tech_bad_final_0	araby_tech_bad_mil_6	0	1	3	0.0000	0.0000	true
