set	constraint
#pooled_resource_constraint_set_junctions_tables;0;db/pooled_resource_constraint_set_junctions_tables/experimental	
ovn_arb_growth_1	wh3_dlc23_constraint_slaves_5
ovn_arb_growth_2	wh3_dlc23_constraint_slaves_10
ovn_arb_growth_3	wh3_dlc23_constraint_slaves_15
ovn_arb_income_1	wh3_dlc23_constraint_slaves_15
ovn_arb_income_2	wh3_dlc23_constraint_slaves_25
ovn_arb_income_3	wh3_dlc23_constraint_slaves_35
ovn_arb_order_1	wh3_dlc23_constraint_slaves_10
ovn_arb_order_2	wh3_dlc23_constraint_slaves_15
ovn_arb_order_3	wh3_dlc23_constraint_slaves_20
ovn_arb_port_1	wh3_dlc23_constraint_slaves_10
ovn_arb_port_2	wh3_dlc23_constraint_slaves_30
ovn_arb_port_3	wh3_dlc23_constraint_slaves_50
