id	duration	effect_type	requested_stance	unbreakable	cant_move	freeze_fatigue	fatigue_change_ratio	inspiration_aura_range_mod	ability_recharge_change	hp_change_frequency	damage_amount	max_damaged_entities	resurrect	mana_regen_mod	mana_max_depletion_mod	imbue_magical	imbue_ignition	imbue_contact	phase_display	phase_audio	is_hidden_in_ui	affects_allies	affects_enemies	replenish_ammo	composite_scene_group	spreading	freeze_recharge	heal_amount	barrier_heal_amount	remove_magical	execute_ratio
#special_ability_phases_tables;43;db/special_ability_phases_tables/ovn_albion_only																															
war_fury	-1.0000	positive		false	false	false	0.0000	0.0000	0.0000	0.0000	0	0	false	0.0000	0.0000	false	0		wh_main_generic_buff_attack_passive		false	true	true	0.0000			false	0.0000	0.0000	false	0.0000
war_fury_2	-1.0000	negative		false	false	false	0.0000	0.0000	0.0000	0.0000	0	0	false	0.0000	0.0000	false	0		wh_main_generic_debuff_morale		false	true	true	0.0000			false	0.0000	0.0000	false	0.0000
woad_paint	-1.0000	positive		false	false	false	0.0000	0.0000	0.0000	0.0000	0	0	false	0.0000	0.0000	false	0		wh_main_generic_ward_save_all_passive		false	true	true	0.0000			false	0.0000	0.0000	false	0.0000
druid_bound_awakening_of_the_wood	12.0000	negative		false	false	false	0.0000	0.0000	0.0000	0.0000	0	-1	false	0.0000	0.0000	false	0				false	true	true	0.0000			false	0.0000	0.0000	false	0.0000
devestating_charge	-1.0000	positive		false	false	false	0.0000	0.0000	0.0000	0.0000	0	0	false	0.0000	0.0000	false	0		wh_main_generic_buff_attack_passive		false	true	true	0.0000			false	0.0000	0.0000	false	0.0000
spell_truth_gift_life	25.0000	positive		false	false	false	0.0000	0.0000	0.0000	1.0000	0	0	true	0.0000	0.0000	false	0		wh_dlc05_spell_life_regrowth	wh_dlc05_spell_life_regrowth	false	true	true	0.0000			false	0.0080	0.0000	false	0.0000
spell_truth_gift_life_upgraded	25.0000	positive		false	false	false	0.0000	0.0000	0.0000	1.0000	0	0	true	0.0000	0.0000	false	0		wh_dlc05_spell_life_regrowth	wh_dlc05_spell_life_regrowth	false	true	true	0.0000			false	0.0160	0.0000	false	0.0000
wh2_main_lore_passive_truthsayer	15.0000	positive		false	false	false	0.0000	0.0000	0.0000	0.0000	0	-1	false	0.0000	0.0000	false	0				false	true	true	0.0000			false	0.0000	0.0000	false	0.0000
spell_truth_valor	44.0000	positive		false	false	false	0.0000	0.0000	0.0000	0.0000	0	0	false	0.0000	0.0000	false	0		wh_main_spell_heavens_harmonic_convergence	wh_main_spell_heavens_harmonic_convergence	false	true	true	0.0000			false	0.0000	0.0000	false	0.0000
spell_truth_valor_upgraded	22.0000	positive		false	false	false	0.0000	0.0000	0.0000	0.0000	0	0	false	0.0000	0.0000	false	0		wh_main_spell_heavens_harmonic_convergence	wh_main_spell_heavens_harmonic_convergence	false	true	true	0.0000			false	0.0000	0.0000	false	0.0000
spell_truth_protection	30.0000	positive		false	false	false	0.0000	0.0000	0.0000	0.0000	0	0	false	0.0000	0.0000	false	0		wh_main_spell_light_phas_protection	wh_main_spell_light_phas_protection	false	true	true	0.0000			false	0.0000	0.0000	false	0.0000
spell_truth_protection_upgraded	30.0000	positive		false	false	false	0.0000	0.0000	0.0000	0.0000	0	0	false	0.0000	0.0000	false	0		wh_main_spell_light_phas_protection	wh_main_spell_light_phas_protection	false	true	true	0.0000			false	0.0000	0.0000	false	0.0000
spell_truth_voice_command	22.0000	negative		false	true	false	0.0000	0.0000	0.0000	0.0000	0	0	false	0.0000	0.0000	false	0		wh_main_spell_death_doom_and_darkness	wh_main_spell_death_doom_and_darkness	false	true	true	0.0000			false	0.0000	0.0000	false	0.0000
spell_truth_voice_command_upgraded	22.0000	negative		false	true	false	0.0000	0.0000	0.0000	0.0000	0	0	false	0.0000	0.0000	false	0		wh_main_spell_death_doom_and_darkness	wh_main_spell_death_doom_and_darkness	false	true	true	0.0000			false	0.0000	0.0000	false	0.0000
spell_truth_boon_courage	22.0000	positive		false	false	false	0.0000	0.0000	0.0000	0.0000	0	0	false	0.0000	0.0000	false	0		wh_main_spell_light_light_of_battle	wh_main_spell_light_light_of_battle	false	true	true	0.0000			false	0.0000	0.0000	false	0.0000
spell_truth_boon_courage_upgraded	44.0000	positive		false	false	false	0.0000	0.0000	0.0000	0.0000	0	0	false	0.0000	0.0000	false	0		wh_main_spell_light_light_of_battle	wh_main_spell_light_light_of_battle	false	true	true	0.0000			false	0.0000	0.0000	false	0.0000
magic_siphon	-1.0000	positive		false	false	false	0.0000	0.0000	0.0000	0.0000	0	0	false	0.0000	0.0000	false	0		wh_main_generic_buff_morale		false	true	true	0.0000			false	0.0000	0.0000	false	0.0000
embodiment_albion	-1.0000	negative		false	false	false	0.0000	0.0000	0.0000	0.0000	0	0	false	0.0000	0.0000	false	0		wh_main_generic_debuff_defence		false	true	true	0.0000			false	0.0000	0.0000	false	0.0000
albion_warcry	18.0000	positive		false	false	false	0.0000	0.0000	0.0000	0.0000	0	-1	false	0.0000	0.0000	false	0		wh_main_generic_buff_defence	wh_ability_positive	false	true	true	0.0000			false	0.0000	0.0000	false	0.0000
omen_of_doom	-1.0000	negative		false	false	false	0.0000	0.0000	0.0000	0.0000	0	0	false	0.0000	0.0000	false	0		wh_main_generic_debuff_morale_passive	wh_ability_positive	false	true	true	0.0000			false	0.0000	0.0000	false	0.0000
omen_of_war	-1.0000	positive		false	false	false	0.0000	0.0000	0.0000	0.0000	0	0	false	0.0000	0.0000	false	0		wh_main_generic_buff_attack_passive	wh_ability_positive	false	true	true	0.0000			false	0.0000	0.0000	false	0.0000
murder_crows	15.0000	negative		false	false	false	0.0000	0.0000	0.0000	1.0000	6	8	false	0.0000	0.0000	false	0		wh_dlc03_spell_beast_flock_of_doom	wh_dlc03_spell_beasts_flock_of_doom	false	true	true	0.0000			false	0.0000	0.0000	false	0.0000
howling_shields	-1.0000	negative		false	false	false	0.0000	0.0000	0.0000	0.0000	0	0	false	0.0000	0.0000	false	0		wh_main_generic_debuff_morale_passive	wh_ability_positive	false	true	true	0.0000			false	0.0000	0.0000	false	0.0000
darkened_skies	-1.0000	negative		false	false	false	0.0000	0.0000	0.0000	1.0000	4	-1	false	0.0000	0.0000	false	0		wh_dlc03_spell_beast_flock_of_doom	wh_dlc03_spell_beasts_flock_of_doom	false	true	true	0.0000			false	0.0000	0.0000	false	0.0000
murder_crows_upgraded	-1.0000	negative		false	false	false	0.0000	0.0000	0.0000	1.0000	6	8	false	0.0000	0.0000	false	0		wh_dlc03_spell_beast_flock_of_doom	wh_dlc03_spell_beasts_flock_of_doom	false	true	true	0.0000			false	0.0000	0.0000	false	0.0000
morrigan_hunters_dmg	-1.0000	positive		false	false	false	0.0000	0.0000	0.0000	0.0000	0	-1	false	0.0000	0.0000	false	0		wh_main_generic_buff_attack_passive		false	true	true	0.0000			false	0.0000	0.0000	false	0.0000
lesser_shield_of_the_old_ones	25.0000	positive		false	false	false	0.0000	0.0000	0.0000	0.0000	0	0	false	0.0000	0.0000	false	0		wh_main_generic_buff_defence	wh2_main_ability_shield_of_the_old_ones	false	true	true	0.0000			false	0.0000	0.0000	false	0.0000
elo_staff_of_dural_durak	30.0000	negative		false	false	false	0.0000	0.0000	30.0000	0.0000	0	0	false	0.0000	0.0000	false	0				false	true	true	0.0000			false	0.0000	0.0000	false	0.0000
elo_amulet_old_ones	1.1000	positive		false	false	false	0.0000	0.0000	0.0000	1.0000	0	0	false	15.0000	50.0000	false	0		wh2_main_unit_passive_rebirth		false	true	true	0.0000			false	0.1833	0.0000	false	0.0000
elo_albion_freedom	10.0000	positive		false	false	false	0.0000	0.0000	0.0000	0.0000	0	0	false	0.0000	0.0000	false	0		wh_main_generic_buff_defence	wh_ability_positive	false	true	true	0.0000			false	0.0000	0.0000	false	0.0000
elo_champion_of_albion	-1.0000	positive		false	false	false	0.0000	0.0000	0.0000	0.0000	0	-1	false	0.0000	0.0000	false	0		wh_main_generic_buff_morale		false	true	true	0.0000			false	0.0000	0.0000	false	0.0000
elo_albion_bologs	60.0000	positive		false	false	false	0.0000	0.0000	0.0000	0.0000	0	-1	false	0.0000	0.0000	false	0		wh_main_generic_buff_attack	wh_ability_positive	false	true	true	0.0000			false	0.0000	0.0000	false	0.0000
elo_hengus_blessing	1.0000	positive		false	false	false	0.0000	0.0000	0.0000	1.0000	0	0	false	0.0000	0.0000	false	0		wh_main_generic_buff_attack	wh_ability_positive	false	true	true	0.0000			false	0.0167	0.0000	false	0.0000
elo_albion_something_prove	-1.0000	positive		false	false	false	0.0000	0.0000	0.0000	0.0000	0	-1	false	0.0000	0.0000	false	0		wh_main_generic_buff_attack	wh_ability_positive	false	true	true	0.0000			false	0.0000	0.0000	false	0.0000
cr_unit_formation_shieldwall	-1.0000	positive		false	false	false	0.0000	0.0000	0.0000	0.0000	0	-1	false	0.0000	0.0000	false	0				false	true	true	0.0000			false	0.0000	0.0000	false	0.0000
elo_albion_holy_warriors_unbreakable	-1.0000	positive		false	false	false	0.0000	0.0000	0.0000	0.0000	0	-1	false	0.0000	0.0000	false	0		wh_main_generic_buff_defence_morale_passive		false	true	true	0.0000			false	0.0000	0.0000	false	0.0000
elo_albion_protectors_world	-1.0000	positive		false	false	false	0.0000	0.0000	0.0000	0.0000	0	-1	false	0.0000	0.0000	false	0		wh_main_generic_buff_defence_morale_passive		false	true	true	0.0000			false	0.0000	0.0000	false	0.0000
alb_highlander_ror_pikeline	15.0000	positive		false	false	false	0.0000	0.0000	0.0000	0.0000	0	0	false	0.0000	0.0000	false	0				false	true	true	0.0000			false	0.0000	0.0000	false	0.0000
alb_blood_woad_paint_ror	-1.0000	positive		false	false	false	0.0000	0.0000	0.0000	0.0000	0	0	false	0.0000	0.0000	false	0				false	true	true	0.0000			false	0.0000	0.0030	false	0.0000
alb_horned_man_lord_forest	-1.0000	negative		false	false	false	0.0000	0.0000	0.0000	1.0000	8	4	false	0.0000	0.0000	false	0		wh_main_generic_hp_damage_passive		false	true	true	0.0000			false	0.0000	0.0000	false	0.0000
alb_horned_man_power_trees	-1.0000	positive		false	false	false	0.0000	0.0000	0.0000	0.0000	0	0	false	0.0000	0.0000	false	0				false	true	true	0.0000			false	0.0000	0.0000	false	0.0000
