character_item	character_name
#battle_set_piece_armies_characters_items_tables;0;db/battle_set_piece_armies_characters_items_tables/ovn_araby_only	
ovn_araby_Serpent_Staff	ovn_arb_cha_sultan_jaffar_0
arb_fatandira_blades_demise	ovn_arb_cha_fatandira_0
arb_fatandira_blades_demise	ovn_arb_cha_fatandira_1
arb_fatandira_blades_demise	ovn_arb_cha_fatandira_2
arb_golden_magus_fire_scimitar	ovn_arb_cha_golden_magus_0
arb_golden_magus_fire_scimitar	ovn_arb_cha_golden_magus_1
arb_golden_magus_fire_scimitar	ovn_arb_cha_golden_magus_2
ovn_arb_baz_wep_01_golden_scimitar	ovn_arb_cha_sheikh_0
ovn_arb_baz_arm_10_scorpion_armour	ovn_arb_cha_sheikh_0
ovn_arb_baz_wep_01_golden_scimitar	ovn_arb_cha_sheikh_1
ovn_arb_baz_arm_10_scorpion_armour	ovn_arb_cha_sheikh_1
ovn_arb_baz_wep_01_golden_scimitar	ovn_arb_cha_sheikh_2
ovn_arb_baz_arm_10_scorpion_armour	ovn_arb_cha_sheikh_2
ovn_arb_baz_wep_01_golden_scimitar	ovn_arb_cha_sheikh_3
ovn_arb_baz_arm_10_scorpion_armour	ovn_arb_cha_sheikh_3
ovn_arb_baz_wep_12_weeping_blade	ovn_arb_cha_sheikh_mehmed_0
ovn_arb_baz_arm_08_gorgon_shield	ovn_arb_cha_sheikh_mehmed_0
ovn_arb_baz_wep_12_weeping_blade	ovn_arb_cha_sheikh_mehmed_1
ovn_arb_baz_arm_08_gorgon_shield	ovn_arb_cha_sheikh_mehmed_1
ovn_arb_baz_wep_12_weeping_blade	ovn_arb_cha_sheikh_mehmed_2
ovn_arb_baz_arm_08_gorgon_shield	ovn_arb_cha_sheikh_mehmed_2
ovn_arb_baz_wep_12_weeping_blade	ovn_arb_cha_sheikh_mehmed_3
ovn_arb_baz_arm_08_gorgon_shield	ovn_arb_cha_sheikh_mehmed_3
