loading_quote	campaign
#loading_screen_quotes_to_campaigns_tables;2;db/loading_screen_quotes_to_campaigns_tables/ovn_fimir_only	
ovn_fimir_lore_1	wh3_main_combi_map_2
ovn_fimir_lore_2	wh3_main_combi_map_2
ovn_fimir_lore_3	wh3_main_combi_map_2
ovn_fimir_lore_4	wh3_main_combi_map_2
ovn_fimir_lore_5	wh3_main_combi_map_2
ovn_fimir_lore_6	wh3_main_combi_map_2
ovn_fimir_lore_1	wh3_main_combi_map_1
ovn_fimir_lore_2	wh3_main_combi_map_1
ovn_fimir_lore_3	wh3_main_combi_map_1
ovn_fimir_lore_4	wh3_main_combi_map_1
ovn_fimir_lore_5	wh3_main_combi_map_1
ovn_fimir_lore_6	wh3_main_combi_map_1
ovn_fimir_lore_1	wh3_main_combi_map_3
ovn_fimir_lore_2	wh3_main_combi_map_3
ovn_fimir_lore_3	wh3_main_combi_map_3
ovn_fimir_lore_4	wh3_main_combi_map_3
ovn_fimir_lore_5	wh3_main_combi_map_3
ovn_fimir_lore_6	wh3_main_combi_map_3
ovn_fimir_lore_1	cr_oldworld_map_1
ovn_fimir_lore_2	cr_oldworld_map_1
ovn_fimir_lore_3	cr_oldworld_map_1
ovn_fimir_lore_4	cr_oldworld_map_1
ovn_fimir_lore_5	cr_oldworld_map_1
ovn_fimir_lore_6	cr_oldworld_map_1
ovn_fimir_lore_1	cr_combi_expanded_map_1
ovn_fimir_lore_2	cr_combi_expanded_map_1
ovn_fimir_lore_3	cr_combi_expanded_map_1
ovn_fimir_lore_4	cr_combi_expanded_map_1
ovn_fimir_lore_5	cr_combi_expanded_map_1
ovn_fimir_lore_6	cr_combi_expanded_map_1
ovn_fimir_lore_1	cr_oldworldclassic_map_1
ovn_fimir_lore_2	cr_oldworldclassic_map_1
ovn_fimir_lore_3	cr_oldworldclassic_map_1
ovn_fimir_lore_4	cr_oldworldclassic_map_1
ovn_fimir_lore_5	cr_oldworldclassic_map_1
ovn_fimir_lore_6	cr_oldworldclassic_map_1
