agent	faction	subtype
#faction_agent_permitted_subtypes_tables;0;db/faction_agent_permitted_subtypes_tables/ovn_albion_buildings		
general	ovn_alb_order_of_the_truthsayers	albion_morrigan
general	ovn_alb_order_of_the_truthsayers	albion_warleader
general	ovn_alb_order_of_the_truthsayers	albion_truthsayer_beast
general	ovn_alb_order_of_the_truthsayers	albion_truthsayer_life
general	ovn_alb_order_of_the_truthsayers	albion_truthsayer_light
general	ovn_alb_order_of_the_truthsayers	albion_truthsayer_truth
wizard	ovn_alb_order_of_the_truthsayers	albion_wyrd_druid
champion	ovn_alb_order_of_the_truthsayers	albion_chief
colonel	ovn_alb_order_of_the_truthsayers	albion_warleader
general	ovn_alb_order_of_the_truthsayers	bl_elo_dural_durak
general	ovn_alb_host_ravenqueen	albion_morrigan
general	ovn_alb_host_ravenqueen	albion_warleader
general	ovn_alb_host_ravenqueen	albion_truthsayer_beast
general	ovn_alb_host_ravenqueen	albion_truthsayer_life
general	ovn_alb_host_ravenqueen	albion_truthsayer_light
general	ovn_alb_host_ravenqueen	albion_truthsayer_truth
wizard	ovn_alb_host_ravenqueen	albion_wyrd_druid
champion	ovn_alb_host_ravenqueen	albion_chief
general	ovn_alb_host_ravenqueen	bl_elo_dural_durak
colonel	ovn_alb_host_ravenqueen	albion_warleader
