phase	stat	value	how
#special_ability_phase_stat_effects_tables;3;db/special_ability_phase_stat_effects_tables/ovn_araby_only			
ovn_spell_desert_curse_of_the_djinn	stat_armour	-30.0000	add
ovn_spell_desert_curse_of_the_djinn_upgraded	stat_resistance_magic	-30.0000	add
ovn_spell_desert_curse_of_the_djinn_upgraded	stat_armour	-40.0000	add
ovn_spell_desert_quicksand_1	scalar_charge_speed	0.7500	mult
ovn_spell_desert_quicksand_1	scalar_speed	0.7500	mult
ovn_spell_desert_quicksand_upgraded_1	scalar_charge_speed	0.7500	mult
ovn_spell_desert_quicksand_upgraded_1	scalar_speed	0.7500	mult
arb_jaffar_aura_will	stat_morale	8.0000	add
ovn_unit_contact_pressure_of_the_abyss	stat_melee_defence	-5.0000	add
ovn_unit_contact_pocket_sand	stat_morale	-8.0000	add
ovn_unit_contact_four_winds	stat_melee_attack	-10.0000	add
ovn_arb_baz_wep_08_matyr_shard_ability	stat_melee_attack	24.0000	add
ovn_arb_baz_wep_08_matyr_shard_ability	stat_melee_damage_ap	1.2500	mult
ovn_arb_baz_wep_08_matyr_shard_ability	stat_melee_damage_base	1.2500	mult
ovn_arb_baz_wep_10_vengeful_sword_heal	stat_melee_damage_base	1.2500	mult
ovn_arb_baz_wep_10_vengeful_sword_heal	stat_melee_damage_ap	1.2500	mult
ovn_arb_baz_arm_09_faith_shield_ability	stat_resistance_all	5.0000	add
ovn_arb_baz_escape	stat_morale	10.0000	add
smokeleaf_smokescreen	scalar_charge_speed	0.4000	mult
smokeleaf_smokescreen	scalar_speed	0.4000	mult
arb_golden_magus_burning_scimitar_ability	stat_melee_damage_base	1.3000	mult
arb_golden_magus_burning_scimitar_ability	stat_melee_damage_ap	1.3000	mult
arb_golden_magus_mistral	stat_resistance_magic	20.0000	add
arb_golden_magus_scirocco	stat_melee_attack	-6.0000	add
arb_fatandira_desert_feint	scalar_speed	1.2500	mult
arb_fatandira_blades_demise_skill	stat_melee_damage_base	1.2500	mult
arb_fatandira_blades_demise_skill	stat_melee_damage_ap	1.2500	mult
arb_fatandira_blades_demise_skill	scalar_missile_damage_base	1.2500	mult
arb_fatandira_blades_demise_skill	scalar_missile_damage_ap	1.2500	mult
ovn_arb_dervish_dance_1	stat_melee_attack	14.0000	add
ovn_arb_dervish_dance_1	stat_damage_reflection	14.0000	add
ovn_arb_dervish_dance_1	stat_resistance_physical	20.0000	add
arb_guard_ror_jaffar_elite	stat_melee_attack	10.0000	add
ovn_arb_loyal_guards	stat_morale	10.0000	add
ovn_arb_pitfighters_enrage	stat_melee_damage_ap	1.1000	mult
ovn_arb_pitfighters_enrage	stat_melee_damage_base	1.1000	mult
ovn_arb_al_muktar	stat_morale	-8.0000	add
ovn_arb_passive_impetuous_charge	stat_melee_damage_ap	1.1500	mult
ovn_arb_passive_impetuous_charge	stat_melee_damage_base	1.1500	mult
ovn_arb_rope_contact_1	scalar_speed	0.9000	mult
ovn_arb_rope_contact_2	scalar_speed	0.8000	mult
ovn_arb_rope_contact_3	scalar_speed	0.8000	mult
ovn_arb_rope_contact_3	stat_melee_defence	0.9000	mult
ovn_unit_abilities_doomed_vulture	stat_melee_defence	-10.0000	add
ovn_arb_unit_passive_djinn_strong_binding	stat_melee_damage_ap	1.3000	mult
ovn_arb_unit_passive_djinn_strong_binding	stat_melee_damage_base	1.3000	mult
ovn_unit_passive_incarnate_curse_of_the_djinn	stat_resistance_magic	-10.0000	add
ovn_unit_passive_incarnate_curse_of_the_djinn	stat_armour	-15.0000	add
ovn_unit_passive_incarnate_curse_of_the_midnight_wind	stat_armour	-10.0000	add
ovn_unit_passive_incarnate_curse_of_the_midnight_wind	stat_melee_attack	-8.0000	add
ovn_unit_passive_incarnate_quicksand	scalar_speed	0.7000	mult
ovn_unit_passive_incarnate_cascading_fire_cloak	stat_melee_damage_ap	1.1000	mult
ovn_unit_passive_incarnate_cascading_fire_cloak	stat_melee_defence	8.0000	add
ovn_unit_passive_incarnate_swiftwing	scalar_missile_range	1.1000	mult
ovn_unit_passive_incarnate_swiftwing	stat_accuracy	10.0000	add
ovn_unit_passive_incarnate_blessing_of_the_djinn	stat_resistance_magic	25.0000	add
ovn_unit_passive_incarnate_blessing_of_the_djinn	stat_armour	20.0000	add
ovn_mehmed_massacre_them	stat_melee_defence	-24.0000	add
ovn_mehmed_massacre_them	stat_armour	-30.0000	add
ovn_djinn_carriage_djinn_blessing	stat_morale	12.0000	add
ovn_contact_bloodhowl	stat_morale	-8.0000	add
ovn_weeping_blade_ability	stat_melee_attack	8.0000	add
ovn_weeping_blade_ability	stat_melee_damage_ap	1.5000	mult
ovn_weeping_blade_ability	stat_melee_damage_base	1.5000	mult
ovn_golden_scimitar_ability	stat_melee_attack	6.0000	add
ovn_golden_scimitar_ability	stat_melee_defence	6.0000	add
ovn_golden_scimitar_ability	scalar_speed	1.2000	mult
arb_golden_magus_wrath_djinn_passive	scalar_miscast_chance	1.5000	mult
