ancillary	subculture
#ancillary_included_subcultures_tables;0;db/ancillary_included_subcultures_tables/ovn_albion_only	
albion_hunting_dog	ovn_sc_alb_albion
albion_lone_huntress	ovn_sc_alb_albion
albion_woad_raider	ovn_sc_alb_albion
albion_tame_raven	ovn_sc_alb_albion
albion_druid_advisor	ovn_sc_alb_albion
albion_chief	ovn_sc_alb_albion
albion_old_warrior	ovn_sc_alb_albion
albion_scavanger	ovn_sc_alb_albion
albion_woman	ovn_sc_alb_albion
fenbeast_follower	ovn_sc_alb_albion
hearthguard_follower	ovn_sc_alb_albion
druid_neophyte	ovn_sc_alb_albion
albion_hardened_warrior	ovn_sc_alb_albion
albion_scary_banner	ovn_sc_alb_albion
anc_albion_triskele_banner	ovn_sc_alb_albion
anc_danu_banner	ovn_sc_alb_albion
anc_albion_hunter_banner	ovn_sc_alb_albion
anc_albion_staff_of_light	ovn_sc_alb_albion
anc_albion_talisman_triskele	ovn_sc_alb_albion
anc_albion_hammer_giant	ovn_sc_alb_albion
anc_hunter_spear	ovn_sc_alb_albion
anc_dagger_shadow	ovn_sc_alb_albion
anc_albion_chainmail	ovn_sc_alb_albion
anc_albion_helmet_leader	ovn_sc_alb_albion
anc_albion_talisman_danu	ovn_sc_alb_albion
anc_albion_talisman_belakor	ovn_sc_alb_albion
anc_albion_scepter_old_ones	ovn_sc_alb_albion
anc_albion_staff_of_darkness	ovn_sc_alb_albion
anc_albion_ogham_shard	ovn_sc_alb_albion
anc_albion_hound_statue	ovn_sc_alb_albion
anc_albion_skull_trophies	ovn_sc_alb_albion
wh_main_anc_follower_all_student	ovn_sc_alb_albion
mount_horse_warleader	ovn_sc_alb_albion
mount_chariot_warleader	ovn_sc_alb_albion
mount_horse_truthsayer_beasts	ovn_sc_alb_albion
mount_horse_truthsayer_light	ovn_sc_alb_albion
mount_horse_truthsayer_life	ovn_sc_alb_albion
mount_horse_truthsayer_truth	ovn_sc_alb_albion
mount_horse_chief	ovn_sc_alb_albion
mount_chariot_chief	ovn_sc_alb_albion
mount_horse_wyrd	ovn_sc_alb_albion
mount_raven_morrigan	ovn_sc_alb_albion
anc_morrigan_staff	ovn_sc_alb_albion
