chain	set	super_chain	remove
#building_chain_set_items_tables;0;db/building_chain_set_items_tables/ovn_albion_buildings			
ovn_Waystone	ovn_Waystone		false
ovn_Waystone_marker	ovn_Waystone_marker		false
ovn_albion_military	wh3_main_secondary_core_generic_minor		false
ovn_albion_stables	wh3_main_secondary_core_generic_minor		false
elo_ogham_stone	wh3_main_secondary_core_generic_minor		false
elo_temple_danu	wh3_main_secondary_core_generic_minor		false
albion_hunters	wh3_main_secondary_core_generic_minor		false
albion_order	wh3_main_secondary_core_generic_minor		false
albion_smith	wh3_main_secondary_core_generic_minor		false
albion_hall_heroes	wh3_main_secondary_core_generic_minor		false
albion_gryphon_eyrie	wh3_main_secondary_core_generic_minor		false
elo_great_ogham	elo_great_ogham		false
elo_forge_old_ones	elo_forge_old_ones		false
elo_citadel_lead	elo_citadel_lead		false
albion_oracle_hall	wh3_main_secondary_core_generic_minor		false
ovn_albion_foreign_slot_discovery	wh3_main_secondary_core_generic_minor		false
ovn_albion_walls	wh3_main_secondary_addon_garrison_major		false
ovn_albion_walls	wh3_main_secondary_addon_garrison_minor		false
alb_resource_marble	wh3_main_secondary_addon_res_marble		false
alb_resource_wood	wh3_main_secondary_addon_res_timber		false
alb_resource_gold	wh3_main_secondary_addon_res_gold		false
alb_resource_iron	wh3_main_secondary_addon_res_iron		false
alb_resource_pottery	wh3_main_secondary_addon_res_pottery		false
alb_resource_medicine	wh3_main_secondary_addon_res_medicinal_plants		false
ovn_albion_settlement_major	wh3_main_primary_core_generic_major		false
ovn_albion_settlement_minor	wh3_main_primary_core_generic_minor		false
