key	generate	ui_image	prioritised	event_category	override_icon	is_large_incident	additional_sound_event	sepia_fade
#incidents_tables;6;db/incidents_tables/rhox_albion								
rhox_albion_extra_reinforcement_1	false	imperial_supplies	false	Quest		false		0.0000
rhox_albion_extra_reinforcement_2	false	imperial_supplies	false	Quest		false		0.0000
rhox_albion_extra_reinforcement_3	false	imperial_supplies	false	Quest		false		0.0000
rhox_albion_wanted_level_0	false	faction	false	Quest		false		0.0000
rhox_albion_wanted_level_1	false	faction	false	Quest		false		0.0000
rhox_albion_wanted_level_2	false	faction	false	Quest		false		0.0000
rhox_albion_wanted_level_3	false	faction	false	Quest		false		0.0000
rhox_albion_wanted_level_4	false	faction	false	Quest		false		0.0000
rhox_albion_wanted_level_5	false	faction	false	Quest		false		0.0000
rhox_albion_wanted_level_decreased	false	faction	false	Quest		false		0.0000
rhox_albion_wanted_level_reset	false	faction	false	Quest		false		0.0000
rhox_albion_progress_level_increase	false	wulfhart_mandate	false	Quest		false		0.0000
rhox_albion_incident_hostility_invasion	false	elector_invasion	false	Event		false		0.0000
