bonus_value_id	effect	ritual
#effect_bonus_value_ritual_junctions_tables;0;db/effect_bonus_value_ritual_junctions_tables/ovn_araby		
percentage_cost_mod	ovn_effect_arb_rite_cost_mod_crafting	ovn_arb_crafting_weapons_01
percentage_cost_mod	ovn_effect_arb_rite_cost_mod_crafting	ovn_arb_crafting_weapons_02
percentage_cost_mod	ovn_effect_arb_rite_cost_mod_crafting	ovn_arb_crafting_weapons_03
percentage_cost_mod	ovn_effect_arb_rite_cost_mod_crafting	ovn_arb_crafting_weapons_04
percentage_cost_mod	ovn_effect_arb_rite_cost_mod_crafting	ovn_arb_crafting_weapons_05
percentage_cost_mod	ovn_effect_arb_rite_cost_mod_crafting	ovn_arb_crafting_weapons_06
percentage_cost_mod	ovn_effect_arb_rite_cost_mod_crafting	ovn_arb_crafting_weapons_07
percentage_cost_mod	ovn_effect_arb_rite_cost_mod_crafting	ovn_arb_crafting_weapons_08
percentage_cost_mod	ovn_effect_arb_rite_cost_mod_crafting	ovn_arb_crafting_weapons_09
percentage_cost_mod	ovn_effect_arb_rite_cost_mod_crafting	ovn_arb_crafting_weapons_10
percentage_cost_mod	ovn_effect_arb_rite_cost_mod_crafting	ovn_arb_crafting_weapons_11
percentage_cost_mod	ovn_effect_arb_rite_cost_mod_crafting	ovn_arb_crafting_weapons_12
percentage_cost_mod	ovn_effect_arb_rite_cost_mod_crafting	ovn_arb_crafting_armor_01
percentage_cost_mod	ovn_effect_arb_rite_cost_mod_crafting	ovn_arb_crafting_armor_02
percentage_cost_mod	ovn_effect_arb_rite_cost_mod_crafting	ovn_arb_crafting_armor_03
percentage_cost_mod	ovn_effect_arb_rite_cost_mod_crafting	ovn_arb_crafting_armor_04
percentage_cost_mod	ovn_effect_arb_rite_cost_mod_crafting	ovn_arb_crafting_armor_05
percentage_cost_mod	ovn_effect_arb_rite_cost_mod_crafting	ovn_arb_crafting_armor_06
percentage_cost_mod	ovn_effect_arb_rite_cost_mod_crafting	ovn_arb_crafting_armor_07
percentage_cost_mod	ovn_effect_arb_rite_cost_mod_crafting	ovn_arb_crafting_armor_08
percentage_cost_mod	ovn_effect_arb_rite_cost_mod_crafting	ovn_arb_crafting_armor_09
percentage_cost_mod	ovn_effect_arb_rite_cost_mod_crafting	ovn_arb_crafting_armor_10
percentage_cost_mod	ovn_effect_arb_rite_cost_mod_crafting	ovn_arb_crafting_armor_11
percentage_cost_mod	ovn_effect_arb_rite_cost_mod_crafting	ovn_arb_crafting_armor_12
percentage_cost_mod	ovn_effect_arb_rite_cost_mod_crafting	ovn_arb_crafting_enchanted_items_01
percentage_cost_mod	ovn_effect_arb_rite_cost_mod_crafting	ovn_arb_crafting_enchanted_items_02
percentage_cost_mod	ovn_effect_arb_rite_cost_mod_crafting	ovn_arb_crafting_enchanted_items_03
percentage_cost_mod	ovn_effect_arb_rite_cost_mod_crafting	ovn_arb_crafting_enchanted_items_04
percentage_cost_mod	ovn_effect_arb_rite_cost_mod_crafting	ovn_arb_crafting_enchanted_items_05
percentage_cost_mod	ovn_effect_arb_rite_cost_mod_crafting	ovn_arb_crafting_enchanted_items_06
percentage_cost_mod	ovn_effect_arb_rite_cost_mod_crafting	ovn_arb_crafting_enchanted_items_07
percentage_cost_mod	ovn_effect_arb_rite_cost_mod_crafting	ovn_arb_crafting_enchanted_items_08
percentage_cost_mod	ovn_effect_arb_rite_cost_mod_crafting	ovn_arb_crafting_enchanted_items_09
percentage_cost_mod	ovn_effect_arb_rite_cost_mod_crafting	ovn_arb_crafting_enchanted_items_10
percentage_cost_mod	ovn_effect_arb_rite_cost_mod_crafting	ovn_arb_crafting_enchanted_items_11
percentage_cost_mod	ovn_effect_arb_rite_cost_mod_crafting	ovn_arb_crafting_enchanted_items_12
percentage_cost_mod	ovn_effect_arb_rite_cost_mod_crafting	ovn_arb_crafting_talismans_01
percentage_cost_mod	ovn_effect_arb_rite_cost_mod_crafting	ovn_arb_crafting_talismans_02
percentage_cost_mod	ovn_effect_arb_rite_cost_mod_crafting	ovn_arb_crafting_talismans_03
percentage_cost_mod	ovn_effect_arb_rite_cost_mod_crafting	ovn_arb_crafting_talismans_04
percentage_cost_mod	ovn_effect_arb_rite_cost_mod_crafting	ovn_arb_crafting_talismans_05
percentage_cost_mod	ovn_effect_arb_rite_cost_mod_crafting	ovn_arb_crafting_talismans_06
percentage_cost_mod	ovn_effect_arb_rite_cost_mod_crafting	ovn_arb_crafting_talismans_07
percentage_cost_mod	ovn_effect_arb_rite_cost_mod_crafting	ovn_arb_crafting_talismans_08
percentage_cost_mod	ovn_effect_arb_rite_cost_mod_crafting	ovn_arb_crafting_talismans_09
percentage_cost_mod	ovn_effect_arb_rite_cost_mod_crafting	ovn_arb_crafting_talismans_10
percentage_cost_mod	ovn_effect_arb_rite_cost_mod_crafting	ovn_arb_crafting_talismans_11
percentage_cost_mod	ovn_effect_arb_rite_cost_mod_crafting	ovn_arb_crafting_talismans_12
percentage_cost_mod	ovn_effect_arb_rite_cost_mod_crafting	ovn_arb_crafting_arcane_items_01
percentage_cost_mod	ovn_effect_arb_rite_cost_mod_crafting	ovn_arb_crafting_arcane_items_02
percentage_cost_mod	ovn_effect_arb_rite_cost_mod_crafting	ovn_arb_crafting_arcane_items_03
percentage_cost_mod	ovn_effect_arb_rite_cost_mod_crafting	ovn_arb_crafting_arcane_items_04
percentage_cost_mod	ovn_effect_arb_rite_cost_mod_crafting	ovn_arb_crafting_arcane_items_05
percentage_cost_mod	ovn_effect_arb_rite_cost_mod_crafting	ovn_arb_crafting_arcane_items_06
percentage_cost_mod	ovn_effect_arb_rite_cost_mod_crafting	ovn_arb_crafting_arcane_items_07
percentage_cost_mod	ovn_effect_arb_rite_cost_mod_crafting	ovn_arb_crafting_arcane_items_08
percentage_cost_mod	ovn_effect_arb_rite_cost_mod_crafting	ovn_arb_crafting_arcane_items_09
percentage_cost_mod	ovn_effect_arb_rite_cost_mod_crafting	ovn_arb_crafting_arcane_items_10
percentage_cost_mod	ovn_effect_arb_rite_cost_mod_crafting	ovn_arb_crafting_arcane_items_11
percentage_cost_mod	ovn_effect_arb_rite_cost_mod_crafting	ovn_arb_crafting_arcane_items_12
