member	context	culture
#campaign_group_member_criteria_cultures_tables;1;db/campaign_group_member_criteria_cultures_tables/ovn_araby_only		
event_feed_cult_ovn_araby	ACTOR	ovn_araby
event_feed_cult_ovn_araby_attrition_desertion	ACTOR	ovn_araby
event_feed_cult_ovn_araby_battle_attack_outcome_defeat	ACTOR	ovn_araby
event_feed_cult_ovn_araby_battle_attack_outcome_draw	ACTOR	ovn_araby
event_feed_cult_ovn_araby_battle_attack_outcome_victory	ACTOR	ovn_araby
event_feed_agent_action_all_failure_critical_hinder_army_ovn_araby	ACTOR	ovn_araby
event_feed_agent_action_all_failure_critical_hinder_character_ovn_araby	ACTOR	ovn_araby
event_feed_agent_action_all_failure_critical_hinder_province_ovn_araby	ACTOR	ovn_araby
event_feed_agent_action_all_failure_hinder_army_ovn_araby	ACTOR	ovn_araby
event_feed_agent_action_all_failure_hinder_character_ovn_araby	ACTOR	ovn_araby
event_feed_agent_action_all_failure_hinder_province_ovn_araby	ACTOR	ovn_araby
event_feed_agent_action_all_hinder_character_ovn_araby	ACTOR	ovn_araby
event_feed_agent_action_all_success_critical_hinder_character_ovn_araby	ACTOR	ovn_araby
event_feed_agent_action_champion_hinder_army_ovn_araby	ACTOR	ovn_araby
event_feed_agent_action_champion_hinder_settlement_ovn_araby	ACTOR	ovn_araby
event_feed_agent_action_champion_hinder_settlement_plague_priest_ovn_araby	ACTOR	ovn_araby
event_feed_agent_action_champion_hinder_settlement_warlock_engineer_ovn_araby	ACTOR	ovn_araby
event_feed_agent_action_dignitary_hinder_army_ovn_araby	ACTOR	ovn_araby
event_feed_agent_action_dignitary_hinder_settlement_ovn_araby	ACTOR	ovn_araby
event_feed_agent_action_engineer_hinder_settlement_ovn_araby	ACTOR	ovn_araby
event_feed_agent_action_hinder_settlement_gain_influence_ovn_araby	ACTOR	ovn_araby
event_feed_agent_action_spy_hinder_army_ovn_araby	ACTOR	ovn_araby
event_feed_agent_action_spy_hinder_settlement_ovn_araby	ACTOR	ovn_araby
event_feed_agent_action_wizard_hinder_army_ovn_araby	ACTOR	ovn_araby
event_feed_cult_character_dies_battle_ovn_araby	ORIGINATOR	ovn_araby
rhox_araby_captive_group	ORIGINATOR	ovn_araby
wh3_dlc20_chs_souls_factor_fighting_non_daemon_ovn_araby	ACTOR	wh_main_chs_chaos
wh3_dlc20_chs_souls_factor_fighting_non_daemon_ovn_araby	ORIGINATOR	ovn_araby
wh3_dlc20_chs_captive_option_release_chaos_vs_non_daemon_non_daemon_ovn_araby	ACTOR	ovn_araby
wh3_dlc20_chs_captive_option_release_chaos_vs_non_daemon_non_daemon_ovn_araby	ORIGINATOR	wh_main_chs_chaos
wh_dlc10_feed_agent_action_shadow_walker_hinder_character_ovn_araby	ACTOR	ovn_araby
diplomacy_Faction_minor_Araby_&_Negative	ORIGINATOR	ovn_araby
diplomacy_Faction_minor_Araby_&_Positive	ORIGINATOR	ovn_araby
diplomacy_Faction_minor_Araby	ORIGINATOR	ovn_araby
rhox_araby_urban_meter	ACTOR	ovn_araby
event_feed_agent_action_champion_hinder_army_araby	ACTOR	ovn_araby
event_feed_agent_action_dignitary_hinder_army_araby	ACTOR	ovn_araby
event_feed_agent_action_spy_hinder_army_araby	ACTOR	ovn_araby
event_feed_agent_action_wizard_hinder_army_araby	ACTOR	ovn_araby
rhox_araby_rebel_group	ACTOR	ovn_araby
wh3_dlc25_dwf_grudge_points_enemy_settlements_ovn_araby	ACTOR	ovn_araby
wh3_dlc25_captive_option_salvage_guns_araby	ACTOR	ovn_araby
